Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
39.0,41.0,38.0,38.0,,,,,,,,,,,,
38.0,43.0,36.0,41.0,,,,,,,,,,,,
41.0,42.0,38.0,40.0,,,,,,,,,,,,
40.0,44.0,37.0,43.0,,,,,,,,,,,,
43.0,43.0,39.0,42.0,,,,,,,,,,,,
42.0,47.0,39.0,45.0,,,,,,,,,,,,
45.0,47.0,44.0,44.0,,,,,,,,,,,,
44.0,45.0,43.0,43.0,,,,,,,,,,,,
43.0,48.0,40.0,46.0,,,,,,,,,,,,
46.0,47.0,43.0,45.0,,,,,,,,,,,,
45.0,45.0,42.0,44.0,,,,,,,,,,,,
44.0,48.0,42.0,47.0,,,,,,,,,,,,
47.0,52.0,45.0,50.0,,,,,,,,,,,,
50.0,50.0,47.0,49.0,,,,,,,,,,,,
49.0,51.0,48.0,48.0,,,,,,,,,,,,
48.0,51.0,46.0,51.0,,,,,,,,,,,,
51.0,53.0,50.0,50.0,,,,,,,,,,,,
50.0,53.0,48.0,53.0,,,,,,,,,,,,
53.0,53.0,49.0,52.0,,,,,,,,,,,,
52.0,57.0,49.0,55.0,,,,,,,,,,,,
55.0,57.0,53.0,54.0,,,,,,,,,,,,
54.0,55.0,51.0,53.0,,,,,,,,,,,,
53.0,58.0,50.0,56.0,,,,,,,,,,,,
56.0,56.0,53.0,55.0,,,,,,,,,,,,
55.0,58.0,53.0,58.0,,,,,,,,,,,,
58.0,62.0,55.0,61.0,,,,,,,,,,,,
61.0,64.0,59.0,64.0,,,,,,,,,,,,
64.0,66.0,62.0,63.0,,,,,,,,,,,,
63.0,64.0,62.0,62.0,,,,,,,,,,,,
62.0,65.0,60.0,65.0,,,,,,,,,,,,
65.0,65.0,63.0,64.0,,,,,,,,,,,,
64.0,68.0,62.0,67.0,,,,,,,,,,,,
67.0,68.0,65.0,66.0,,,,,,,,,,,,
66.0,67.0,63.0,65.0,,,,,,,,,,,,
65.0,66.0,63.0,64.0,,,,,,,,,,,,
64.0,68.0,63.0,67.0,,,,,,,,,,,,
67.0,72.0,65.0,70.0,,,,,,,,,,,,
70.0,70.0,67.0,69.0,,,,,,,,,,,,
69.0,69.0,67.0,68.0,,,,,,,,,,,,
68.0,72.0,65.0,71.0,,,,,,,,,,,,
71.0,76.0,70.0,74.0,,,,,,,,,,,,
74.0,78.0,72.0,77.0,,,,,,,,,,,,
77.0,81.0,75.0,80.0,,,,,,,,,,,,
80.0,84.0,77.0,83.0,,,,,,,,,,,,
83.0,83.0,81.0,82.0,,,,,,,,,,,,
83.0,85.03077469731613,82.7635636233222,50.252169358773585,-6.794425087108014,-12.630662020905925,-16.376306620209057,-20.818815331010455,-24.843205574912897,-28.426248548199773,0.625,0.5333333333333333,0.5454545454545454,0.5172413793103449,0.5,0.4883720930232558
50.252169358773585,109.27330931218196,47.675972004314076,108.67947333091305,47.04473059400822,40.186153999991106,35.720477594211864,29.010220747091765,22.994102796939476,17.135533929377765,0.625,0.4666666666666667,0.5,0.4827586206896552,0.5,0.46511627906976744
108.67947333091305,110.1014326613189,106.58449076137491,44.07012058485055,-27.055269476430123,-32.374426299255454,-35.15524762289213,-38.48451830359087,-41.50737617962144,-44.377027653317924,0.625,0.5333333333333333,0.5,0.5172413793103449,0.5,0.4883720930232558
44.07012058485055,141.74716409151796,43.41148263715635,140.93507722481377,70.18390442558575,63.376285321379044,57.75743875128645,50.814991668581854,43.86175834759742,37.11923772695851,0.5,0.5333333333333333,0.45454545454545453,0.4827586206896552,0.4722222222222222,0.46511627906976744
140.93507722481377,142.5881965099349,138.13845939761504,55.0529454325656,-40.30312679160537,-45.01334221892898,-48.03629509067875,-50.63743232353506,-53.1509343368884,-55.485467013732894,0.5,0.6,0.5,0.5172413793103449,0.5,0.4883720930232558
55.0529454325656,109.79214704007926,53.484030264444876,108.31738108118255,46.34997053433851,39.21530803550644,32.425749335915135,26.50093797436588,20.299248437447993,14.478100738333644,0.375,0.5333333333333333,0.5,0.5172413793103449,0.5,0.4883720930232558
