Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
33.0,38.0,32.0,36.0,,,,,,,,,,,,
36.0,36.0,32.0,35.0,,,,,,,,,,,,
35.0,39.0,33.0,38.0,,,,,,,,,,,,
38.0,39.0,35.0,37.0,,,,,,,,,,,,
37.0,38.0,36.0,36.0,,,,,,,,,,,,
36.0,36.0,32.0,35.0,,,,,,,,,,,,
35.0,39.0,34.0,38.0,,,,,,,,,,,,
38.0,38.0,34.0,37.0,,,,,,,,,,,,
37.0,41.0,36.0,40.0,,,,,,,,,,,,
40.0,43.0,38.0,43.0,,,,,,,,,,,,
43.0,45.0,40.0,42.0,,,,,,,,,,,,
42.0,47.0,39.0,45.0,,,,,,,,,,,,
45.0,49.0,42.0,48.0,,,,,,,,,,,,
48.0,53.0,46.0,51.0,,,,,,,,,,,,
51.0,51.0,49.0,50.0,,,,,,,,,,,,
50.0,53.0,47.0,53.0,,,,,,,,,,,,
53.0,58.0,51.0,56.0,,,,,,,,,,,,
56.0,60.0,53.0,59.0,,,,,,,,,,,,
59.0,64.0,56.0,62.0,,,,,,,,,,,,
62.0,63.0,61.0,61.0,,,,,,,,,,,,
61.0,62.0,59.0,60.0,,,,,,,,,,,,
60.0,64.0,58.0,63.0,,,,,,,,,,,,
63.0,67.0,61.0,66.0,,,,,,,,,,,,
66.0,67.0,63.0,65.0,,,,,,,,,,,,
65.0,68.0,63.0,68.0,,,,,,,,,,,,
68.0,68.0,65.0,67.0,,,,,,,,,,,,
67.0,67.0,63.0,66.0,,,,,,,,,,,,
66.0,70.0,63.0,69.0,,,,,,,,,,,,
69.0,74.0,66.0,72.0,,,,,,,,,,,,
72.0,73.0,71.0,71.0,,,,,,,,,,,,
71.0,75.0,68.0,74.0,,,,,,,,,,,,
74.0,79.0,72.0,77.0,,,,,,,,,,,,
77.0,77.0,73.0,76.0,,,,,,,,,,,,
76.0,77.0,74.0,75.0,,,,,,,,,,,,
75.0,77.0,72.0,74.0,,,,,,,,,,,,
74.0,76.0,73.0,73.0,,,,,,,,,,,,
73.0,75.0,70.0,72.0,,,,,,,,,,,,
72.0,73.0,69.0,71.0,,,,,,,,,,,,
71.0,71.0,68.0,70.0,,,,,,,,,,,,
70.0,75.0,68.0,73.0,,,,,,,,,,,,
73.0,77.0,71.0,76.0,,,,,,,,,,,,
76.0,76.0,74.0,75.0,,,,,,,,,,,,
75.0,79.0,73.0,78.0,,,,,,,,,,,,
78.0,83.0,76.0,81.0,,,,,,,,,,,,
81.0,83.0,80.0,80.0,,,,,,,,,,,,
81.0,82.41218507198447,78.43764730852304,47.63197983002436,-4.8214285714285765,-6.1607142857142865,-8.452380952380945,-11.875000000000002,-17.17857142857143,-23.065476190476186,0.5,0.3333333333333333,0.4090909090909091,0.4482758620689655,0.5,0.4883720930232558
47.63197983002436,172.963481612747,47.492585877597904,172.11150443936563,53.14800256113177,53.20319059885783,51.72199386547835,47.15743399660377,39.44005015870899,29.74636293738282,0.5,0.26666666666666666,0.36363636363636365,0.41379310344827586,0.5,0.4883720930232558
172.11150443936563,174.62242821092178,169.60458144242878,15.10245329158532,-49.389663217329236,-53.612153606452594,-55.10265307212712,-56.98918950784001,-59.29974927332844,-62.209666493771486,0.5,0.3333333333333333,0.4090909090909091,0.41379310344827586,0.5,0.5116279069767442
15.10245329158532,1047.0986791034545,12.583808157742855,1044.4256278536352,419.1644098803258,400.31887305090015,395.6135609585162,379.30858328311643,357.6070032861465,327.5316014656631,0.375,0.3333333333333333,0.4090909090909091,0.41379310344827586,0.4722222222222222,0.5116279069767442
1044.4256278536352,1045.9926843438786,1043.1495899534877,795.3259019667651,-79.23299351030781,-86.12859197217433,-88.38609061887908,-89.70291323935292,-90.66535034209033,-91.52354432847936,0.5,0.4,0.4090909090909091,0.4482758620689655,0.4722222222222222,0.5116279069767442
795.3259019667651,797.0911974409154,794.7238010026149,582.0295407612364,-59.84400030490724,-75.29676234808352,-80.41774621487451,-83.18929268885778,-85.06417321826352,-86.59849330674449,0.375,0.4,0.36363636363636365,0.41379310344827586,0.4722222222222222,0.5116279069767442
582.0295407612364,584.5756809478257,582.0047808423238,412.44989839996356,-32.83043418421248,-59.984517478540475,-69.06042323166342,-73.86223114962118,-76.99367138153468,-79.46992190719249,0.25,0.4,0.36363636363636365,0.3793103448275862,0.4444444444444444,0.4883720930232558
412.44989839996356,414.78755078988,410.7223022086582,295.0208448160091,6.301288902814672,-37.61879719008152,-52.432007095190336,-60.10704291933373,-65.06535407707234,-68.89621117824424,0.25,0.4,0.3181818181818182,0.3793103448275862,0.4166666666666667,0.46511627906976744
295.0208448160091,297.6774258788229,294.4059991254877,244.981027903884,60.59232180680496,-7.340742221951679,-29.97915671793977,-41.479949198003894,-48.87433651727302,-54.4737758084221,0.25,0.4,0.2727272727272727,0.3448275862068966,0.3888888888888889,0.46511627906976744
244.981027903884,246.00919690927032,243.2054636044025,243.2403939077297,97.64418517239233,16.60024724245379,-12.392073439783369,-26.931968946053154,-36.2973553386992,-43.23098998395986,0.125,0.3333333333333333,0.2727272727272727,0.3448275862068966,0.3611111111111111,0.4418604651162791
243.2403939077297,254.8193324072187,243.14297714847828,253.85593741893504,112.45726604001165,22.345726330266903,-8.471515456478162,-23.806722791476354,-33.70087118352904,-40.913644001908644,0.125,0.26666666666666666,0.2727272727272727,0.3448275862068966,0.3611111111111111,0.4186046511627907
253.85593741893504,255.49298131236316,250.97100752210625,243.00427866036728,59.08367860228656,22.262119969314664,-8.925189168053837,-24.392225240162148,-34.291470644464994,-41.48185389802118,0.125,0.3333333333333333,0.3181818181818182,0.3448275862068966,0.3888888888888889,0.4186046511627907
243.00427866036728,244.56286575883286,242.4368494356973,235.46119914949531,33.717923134489006,32.57201578369595,-1.526731154649319,-18.50261973312134,-29.240759258273275,-36.97760008188622,0.125,0.26666666666666666,0.3181818181818182,0.3103448275862069,0.3611111111111111,0.4186046511627907
235.46119914949531,237.95864692899175,235.41014132199518,232.54395746031776,16.974903916260843,41.50467875835806,4.933689350755444,-13.397308755529968,-24.917679967785432,-33.11363267077542,0.125,0.2,0.3181818181818182,0.3103448275862069,0.3333333333333333,0.3953488372093023
232.54395746031776,236.4429451536112,231.5510451395937,233.53609353515387,7.390303960982902,47.96540584256566,9.558079015423315,-9.875955589713092,-21.917256722849455,-30.46696551248822,0.125,0.2,0.3181818181818182,0.27586206896551724,0.3333333333333333,0.37209302325581395
233.53609353515387,240.59701260359972,232.72253519904274,238.03519446329582,3.172971344577058,53.022802716951766,12.42721487328824,-7.864950977396101,-20.223764488612282,-28.98292983170556,0.25,0.26666666666666666,0.36363636363636365,0.27586206896551724,0.3333333333333333,0.37209302325581395
238.03519446329582,242.88215576710272,235.40072480523463,242.5791510558586,0.8060448721523006,52.10872976210838,13.603765644460019,-7.175253645531532,-19.678674300413668,-28.56442680611172,0.375,0.26666666666666666,0.36363636363636365,0.3103448275862069,0.3611111111111111,0.37209302325581395
242.5791510558586,252.12980956581285,241.35099812885733,249.5369106876924,-1.121180186503501,55.957609956495816,14.745757739003441,-6.44680955156407,-19.103458985675235,-28.12031952067119,0.5,0.3333333333333333,0.36363636363636365,0.3448275862068966,0.3888888888888889,0.3953488372093023
249.5369106876924,252.35587883663104,248.95760335809945,243.17866355863305,-4.125446933056532,28.855839339154233,14.877019863396113,-6.543000025730416,-19.29196393459379,-28.316054813992565,0.5,0.3333333333333333,0.4090909090909091,0.3793103448275862,0.3888888888888889,0.4186046511627907
