Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
82.0,83.0,80.0,81.0,,,,,,,,,,,,
81.0,85.0,79.0,84.0,,,,,,,,,,,,
84.0,88.0,82.0,87.0,,,,,,,,,,,,
87.0,88.0,85.0,86.0,,,,,,,,,,,,
86.0,91.0,83.0,89.0,,,,,,,,,,,,
89.0,91.0,88.0,88.0,,,,,,,,,,,,
88.0,91.0,87.0,91.0,,,,,,,,,,,,
91.0,93.0,88.0,90.0,,,,,,,,,,,,
90.0,92.0,87.0,89.0,,,,,,,,,,,,
89.0,94.0,88.0,92.0,,,,,,,,,,,,
92.0,97.0,89.0,95.0,,,,,,,,,,,,
95.0,99.0,92.0,98.0,,,,,,,,,,,,
98.0,99.0,97.0,97.0,,,,,,,,,,,,
97.0,98.0,94.0,96.0,,,,,,,,,,,,
96.0,99.0,95.0,99.0,,,,,,,,,,,,
99.0,104.0,96.0,102.0,,,,,,,,,,,,
102.0,102.0,100.0,101.0,,,,,,,,,,,,
101.0,105.0,100.0,104.0,,,,,,,,,,,,
104.0,107.0,103.0,107.0,,,,,,,,,,,,
107.0,107.0,104.0,106.0,,,,,,,,,,,,
106.0,108.0,105.0,105.0,,,,,,,,,,,,
105.0,109.0,104.0,108.0,,,,,,,,,,,,
108.0,108.0,104.0,107.0,,,,,,,,,,,,
107.0,109.0,106.0,106.0,,,,,,,,,,,,
106.0,111.0,103.0,109.0,,,,,,,,,,,,
109.0,112.0,106.0,112.0,,,,,,,,,,,,
112.0,113.0,109.0,111.0,,,,,,,,,,,,
111.0,113.0,108.0,110.0,,,,,,,,,,,,
110.0,111.0,108.0,109.0,,,,,,,,,,,,
109.0,112.0,108.0,112.0,,,,,,,,,,,,
112.0,114.0,110.0,111.0,,,,,,,,,,,,
111.0,113.0,109.0,110.0,,,,,,,,,,,,
110.0,111.0,109.0,109.0,,,,,,,,,,,,
109.0,113.0,107.0,112.0,,,,,,,,,,,,
112.0,116.0,110.0,115.0,,,,,,,,,,,,
115.0,120.0,114.0,118.0,,,,,,,,,,,,
118.0,123.0,115.0,121.0,,,,,,,,,,,,
121.0,121.0,117.0,120.0,,,,,,,,,,,,
120.0,123.0,118.0,123.0,,,,,,,,,,,,
123.0,126.0,121.0,126.0,,,,,,,,,,,,
126.0,127.0,124.0,125.0,,,,,,,,,,,,
125.0,129.0,124.0,128.0,,,,,,,,,,,,
128.0,133.0,127.0,131.0,,,,,,,,,,,,
131.0,132.0,129.0,130.0,,,,,,,,,,,,
130.0,130.0,126.0,129.0,,,,,,,,,,,,
130.0,131.04482898345995,127.37268391808271,101.5856062440555,-1.218161683277963,-6.035437430786272,-8.785529715762275,-11.018826135105197,-13.576965669988928,-16.445182724252483,0.5,0.5333333333333333,0.5,0.4827586206896552,0.5,0.4883720930232558
101.5856062440555,145.68847474464113,101.47375895499488,142.72079663625078,22.428144024446482,18.730656879767405,15.482502526484488,12.909190758508249,9.930804759705513,6.468626951760714,0.375,0.5333333333333333,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.4883720930232558
142.72079663625078,144.5668745763561,140.94663816279382,92.20529848662161,-11.18459219549145,-13.80241084726781,-16.777023268742262,-18.739783263766352,-20.858337276001148,-23.321709719598836,0.375,0.6,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.4883720930232558
92.20529848662161,169.71904993365828,89.86873669191799,167.969174822661,32.392717337157585,31.888276124078473,27.84678486345897,25.24503760471024,22.35155884824096,18.795768450965667,0.375,0.5333333333333333,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.4883720930232558
167.969174822661,168.91558032050924,166.48312720026428,83.85351413567616,-23.92474247271292,-25.348510350910868,-28.176139096598984,-29.90888953987375,-31.61192683233448,-33.69700577036865,0.375,0.5333333333333333,0.5,0.4827586206896552,0.5,0.4883720930232558
83.85351413567616,196.194811706916,83.24215713495919,195.8623869578486,44.35622799374806,46.62767293552639,42.444232669999636,39.37291307751711,36.47385755676529,32.63874333130228,0.25,0.4666666666666667,0.5,0.4482758620689655,0.4722222222222222,0.4883720930232558
195.8623869578486,197.05047150566804,195.50679446507186,87.46846272037416,-33.39370335709646,-34.4949421894118,-36.97720951294677,-38.71067134923673,-40.202960996498035,-41.915039583482724,0.375,0.4666666666666667,0.5,0.4827586206896552,0.4722222222222222,0.5116279069767442
87.46846272037416,197.854958388782,84.65307449028755,195.7876024693901,42.364003941478344,44.02458286526383,39.84170817332415,36.48450849118263,33.457578812960385,29.942487447060763,0.375,0.4666666666666667,0.5,0.4827586206896552,0.4722222222222222,0.4883720930232558
195.7876024693901,196.4282560074802,193.65896031615182,89.30631325682026,-29.525142549029916,-33.00127210338293,-35.43895797590435,-37.4421786083751,-39.03812397013981,-40.72229316490872,0.5,0.4666666666666667,0.5454545454545454,0.4827586206896552,0.4722222222222222,0.4883720930232558
89.30631325682026,196.93435806154707,86.99281255811258,196.75584397053444,45.95876653126094,43.94752254476988,40.48807651550048,36.23893475212672,33.08158993250188,29.723649140680685,0.375,0.4,0.5454545454545454,0.4482758620689655,0.4444444444444444,0.46511627906976744
196.75584397053444,199.43675387985166,195.9185900795377,94.22610821557933,-26.159151085777154,-32.05810809067996,-34.182023944949115,-36.60535004012273,-38.277164604113146,-39.91205281322391,0.5,0.4666666666666667,0.5454545454545454,0.4827586206896552,0.4722222222222222,0.4883720930232558
94.22610821557933,191.06479403294836,93.77662260377242,190.81671989920147,43.00862492047075,39.31088153790785,36.38627739490603,31.778047118980357,28.558275960014168,25.426290368313275,0.375,0.4,0.5,0.4827586206896552,0.4722222222222222,0.4883720930232558
190.81671989920147,191.0249167716583,189.44311479508366,99.84877922372928,-21.3738084793373,-28.96856998929226,-30.83470659626426,-33.39611378891269,-35.277342421290136,-36.91830331463015,0.5,0.4,0.5,0.5172413793103449,0.4722222222222222,0.4883720930232558
99.84877922372928,182.69042290083027,98.29236138425559,179.98198062325974,36.5221398046839,33.58819932908457,31.170099635224524,26.849201169513968,23.484065191631775,20.50142812452107,0.375,0.4,0.45454545454545453,0.4827586206896552,0.4722222222222222,0.46511627906976744
179.98198062325974,182.56465300357854,179.4661902049781,102.00805333541373,-16.918401336319853,-23.865847132552897,-25.643651925336243,-28.258917620088763,-30.320189793254613,-32.10446520562715,0.5,0.4666666666666667,0.5,0.5172413793103449,0.5,0.4883720930232558
102.00805333541373,184.11198590308192,100.55460653055006,181.38032731996276,33.45498116018541,34.35991235236091,30.21365189600569,26.29943431790689,22.74651706980184,19.747703227390012,0.375,0.4666666666666667,0.45454545454545453,0.5172413793103449,0.4722222222222222,0.46511627906976744
181.38032731996276,184.32418625265936,180.22598347021568,105.4013401462162,-17.69324647995244,-22.913731511796932,-25.31407792593291,-27.544178603502402,-29.8746288830785,-31.677672556071755,0.5,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.4722222222222222,0.46511627906976744
105.4013401462162,178.60269645683323,105.23458262278568,178.20126722637457,29.256056278440035,33.54849218390892,27.63813080213282,24.462307031392093,20.52376732580199,17.559233281550956,0.375,0.4666666666666667,0.45454545454545453,0.5172413793103449,0.4722222222222222,0.46511627906976744
178.20126722637457,179.97557949259965,177.09341704637936,107.9834507345216,-16.816491188823377,-20.599462365054578,-23.1639375697142,-25.117183631641883,-27.619889802864417,-29.488776025556817,0.5,0.4666666666666667,0.45454545454545453,0.5172413793103449,0.5,0.4883720930232558
107.9834507345216,177.88116054074646,107.44926852803113,175.64113548464442,26.316339893452213,32.6280371443616,25.78484004558277,23.24517590020716,19.419437376053892,16.361812643004004,0.375,0.4666666666666667,0.4090909090909091,0.4827586206896552,0.5,0.46511627906976744
175.64113548464442,175.86366305596025,173.55141616121563,110.66596130270422,-16.17668508114749,-19.283170395405236,-21.430593234684416,-23.118315904344676,-25.546172812945077,-27.530750112967127,0.5,0.4666666666666667,0.45454545454545453,0.4827586206896552,0.5,0.4883720930232558
110.66596130270422,175.6300796234236,108.82708977050021,174.00335644005267,24.090490005639253,29.60527206450354,23.910863927969594,21.719906297087665,18.159190035557017,15.118421415101313,0.375,0.4666666666666667,0.45454545454545453,0.4827586206896552,0.5,0.4883720930232558
174.00335644005267,174.5227643451074,172.01114404091348,112.53661097784031,-15.167741605321172,-18.465421841146103,-19.210976215937727,-21.539414159665647,-23.799934920866416,-25.895333689840548,0.5,0.4666666666666667,0.5,0.4827586206896552,0.5277777777777778,0.4883720930232558
112.53661097784031,173.44223857535457,109.84952353530666,172.81763373727648,22.427856262230893,27.542680011911713,23.638227272197355,20.887963783873744,17.90982127697418,14.59149337243224,0.375,0.4666666666666667,0.45454545454545453,0.4482758620689655,0.5277777777777778,0.46511627906976744
172.81763373727648,173.50901671567397,172.16219461684875,114.89660748397203,-14.70369300457678,-17.935262502319805,-17.26715012569088,-20.29112586660076,-22.213167345117448,-24.52782235704547,0.5,0.4666666666666667,0.5,0.4827586206896552,0.5277777777777778,0.4883720930232558
114.89660748397203,172.11867436539035,114.54082023614191,170.61713462243864,20.42438817328165,24.719784898474906,22.240065603695736,19.483955930527898,16.997718579470632,13.620254143042798,0.375,0.4666666666666667,0.45454545454545453,0.4482758620689655,0.5,0.4883720930232558
170.61713462243864,173.249073854938,167.9317501775255,117.82540051049644,-13.659782150683242,-16.85713483361355,-15.259806900206963,-18.708100552834473,-20.330536270137255,-22.626240118834275,0.5,0.4666666666666667,0.5,0.4482758620689655,0.5,0.5116279069767442
117.82540051049644,169.63307642302007,115.5753596906925,166.7984078571637,18.015143091574394,21.4848563614777,19.55422324590863,17.345752098644972,15.288429111086632,12.15883120148864,0.375,0.4666666666666667,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.4883720930232558
166.7984078571637,169.06331539195247,166.6614629948145,120.36304674650633,-11.827254326685788,-14.748386015605252,-13.282830058153994,-16.298334424393946,-17.759316487472297,-19.97518003543609,0.5,0.4666666666666667,0.5,0.4827586206896552,0.5,0.5116279069767442
120.36304674650633,167.0139358230248,119.34833823875422,165.15869659777982,15.82278642035828,19.230452896961324,17.18813797414176,16.55044650088835,13.906064107002392,11.102924372912671,0.375,0.4666666666666667,0.45454545454545453,0.4827586206896552,0.4722222222222222,0.5116279069767442
165.15869659777982,167.0414518289297,164.02217600250486,122.49460295271142,-11.039940135331872,-13.809735254578781,-12.409558487970873,-14.57608658733066,-16.311019680892493,-18.221698641525407,0.5,0.4666666666666667,0.5,0.4827586206896552,0.4722222222222222,0.5348837209302325
