Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
53.0,55.0,50.0,52.0,,,,,,,,,,,,
52.0,52.0,50.0,51.0,,,,,,,,,,,,
51.0,51.0,48.0,50.0,,,,,,,,,,,,
50.0,52.0,49.0,49.0,,,,,,,,,,,,
49.0,54.0,46.0,52.0,,,,,,,,,,,,
52.0,55.0,49.0,55.0,,,,,,,,,,,,
55.0,56.0,53.0,54.0,,,,,,,,,,,,
54.0,58.0,52.0,57.0,,,,,,,,,,,,
57.0,58.0,54.0,56.0,,,,,,,,,,,,
56.0,58.0,54.0,55.0,,,,,,,,,,,,
55.0,56.0,52.0,54.0,,,,,,,,,,,,
54.0,55.0,52.0,53.0,,,,,,,,,,,,
53.0,57.0,52.0,56.0,,,,,,,,,,,,
56.0,59.0,55.0,59.0,,,,,,,,,,,,
59.0,60.0,56.0,58.0,,,,,,,,,,,,
58.0,63.0,55.0,61.0,,,,,,,,,,,,
61.0,66.0,59.0,64.0,,,,,,,,,,,,
64.0,65.0,61.0,63.0,,,,,,,,,,,,
63.0,64.0,61.0,62.0,,,,,,,,,,,,
62.0,66.0,59.0,65.0,,,,,,,,,,,,
65.0,65.0,62.0,64.0,,,,,,,,,,,,
64.0,68.0,61.0,67.0,,,,,,,,,,,,
67.0,71.0,66.0,70.0,,,,,,,,,,,,
70.0,71.0,67.0,69.0,,,,,,,,,,,,
69.0,69.0,66.0,68.0,,,,,,,,,,,,
68.0,70.0,67.0,67.0,,,,,,,,,,,,
67.0,70.0,66.0,70.0,,,,,,,,,,,,
70.0,75.0,68.0,73.0,,,,,,,,,,,,
73.0,78.0,72.0,76.0,,,,,,,,,,,,
76.0,77.0,74.0,75.0,,,,,,,,,,,,
75.0,75.0,71.0,74.0,,,,,,,,,,,,
74.0,74.0,71.0,73.0,,,,,,,,,,,,
73.0,74.0,72.0,72.0,,,,,,,,,,,,
72.0,76.0,70.0,75.0,,,,,,,,,,,,
75.0,75.0,71.0,74.0,,,,,,,,,,,,
74.0,78.0,72.0,77.0,,,,,,,,,,,,
77.0,78.0,76.0,76.0,,,,,,,,,,,,
76.0,78.0,74.0,75.0,,,,,,,,,,,,
75.0,80.0,72.0,78.0,,,,,,,,,,,,
78.0,81.0,76.0,81.0,,,,,,,,,,,,
81.0,81.0,78.0,80.0,,,,,,,,,,,,
80.0,82.0,79.0,79.0,,,,,,,,,,,,
79.0,79.0,75.0,78.0,,,,,,,,,,,,
78.0,83.0,75.0,81.0,,,,,,,,,,,,
81.0,84.0,78.0,84.0,,,,,,,,,,,,
81.0,82.01109649173432,79.34846885439941,47.89288898666176,-4.591836734693877,-7.908163265306123,-10.09070294784581,-13.01020408163266,-16.632653061224488,-19.81292517006802,0.5,0.4,0.4090909090909091,0.41379310344827586,0.4444444444444444,0.4418604651162791
47.89288898666176,188.07149572631104,45.43070703506486,186.86088075118155,58.35720685993881,57.7766123188062,55.69394460156858,51.44605060801619,45.854810641994305,40.58617990212014,0.375,0.4,0.4090909090909091,0.41379310344827586,0.4444444444444444,0.4418604651162791
186.86088075118155,186.97965963818433,185.69226049061302,26.177204565327543,-51.319492939033395,-55.170859693533636,-57.040773482157626,-58.797579379610724,-60.570302976643184,-62.249050663385816,0.375,0.4666666666666667,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.4418604651162791
26.177204565327543,545.2858946638307,24.180544243595048,542.5561065742927,218.1235538884958,206.682035808866,198.6842581201093,188.8187600971925,178.20617394061165,166.85622299294835,0.375,0.4,0.4090909090909091,0.41379310344827586,0.4444444444444444,0.4186046511627907
542.5561065742927,543.8985163942725,540.8464763368473,314.2756627077581,-72.44558625374253,-79.03459645422728,-81.46790670440278,-82.91495274848553,-84.03068604791267,-84.98076297501198,0.5,0.4666666666666667,0.4090909090909091,0.4482758620689655,0.4444444444444444,0.4418604651162791
314.2756627077581,316.3691025369637,312.14959767613215,144.36558420132613,-41.69073770036764,-58.41315305759134,-64.39639550317413,-67.6948447208467,-70.10120064432178,-72.12211791968701,0.5,0.4,0.36363636363636365,0.41379310344827586,0.4444444444444444,0.4186046511627907
144.36558420132613,146.38222708946384,142.65589880183796,104.37424351628233,33.206295593602555,-6.085237979696522,-20.204952118777562,-27.833801151307725,-33.26212463721031,-37.85406568046097,0.375,0.4,0.36363636363636365,0.3793103448275862,0.4166666666666667,0.4186046511627907
104.37424351628233,152.0217728430588,102.02342607959488,151.57514283765485,87.03335848638562,31.908745352086278,11.754562865552941,1.0273385954868264,-6.586078920337101,-12.916333280850223,0.25,0.4,0.36363636363636365,0.3793103448275862,0.3888888888888889,0.4186046511627907
151.57514283765485,152.26651450734826,149.2029959004113,112.13551353048403,38.562563532170245,-5.700816266624786,-20.577575715533214,-28.463635327248493,-34.00580731121351,-38.50170001106089,0.375,0.4,0.4090909090909091,0.41379310344827586,0.4166666666666667,0.4418604651162791
