Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
91.0,96.0,89.0,94.0,,,,,,,,,,,,
94.0,95.0,91.0,93.0,,,,,,,,,,,,
93.0,96.0,90.0,96.0,,,,,,,,,,,,
96.0,96.0,93.0,95.0,,,,,,,,,,,,
95.0,95.0,91.0,94.0,,,,,,,,,,,,
94.0,95.0,92.0,93.0,,,,,,,,,,,,
93.0,97.0,90.0,96.0,,,,,,,,,,,,
96.0,97.0,94.0,95.0,,,,,,,,,,,,
95.0,95.0,91.0,94.0,,,,,,,,,,,,
94.0,97.0,91.0,97.0,,,,,,,,,,,,
97.0,101.0,95.0,100.0,,,,,,,,,,,,
100.0,105.0,98.0,103.0,,,,,,,,,,,,
103.0,107.0,100.0,106.0,,,,,,,,,,,,
106.0,111.0,103.0,109.0,,,,,,,,,,,,
109.0,112.0,106.0,112.0,,,,,,,,,,,,
112.0,114.0,111.0,111.0,,,,,,,,,,,,
111.0,112.0,109.0,110.0,,,,,,,,,,,,
110.0,111.0,109.0,109.0,,,,,,,,,,,,
109.0,112.0,106.0,112.0,,,,,,,,,,,,
112.0,117.0,109.0,115.0,,,,,,,,,,,,
115.0,116.0,112.0,114.0,,,,,,,,,,,,
114.0,114.0,110.0,113.0,,,,,,,,,,,,
113.0,113.0,111.0,112.0,,,,,,,,,,,,
112.0,112.0,110.0,111.0,,,,,,,,,,,,
111.0,112.0,110.0,110.0,,,,,,,,,,,,
110.0,111.0,109.0,109.0,,,,,,,,,,,,
109.0,112.0,106.0,112.0,,,,,,,,,,,,
112.0,117.0,109.0,115.0,,,,,,,,,,,,
115.0,117.0,114.0,114.0,,,,,,,,,,,,
114.0,119.0,111.0,117.0,,,,,,,,,,,,
117.0,122.0,115.0,120.0,,,,,,,,,,,,
120.0,125.0,119.0,123.0,,,,,,,,,,,,
123.0,125.0,120.0,122.0,,,,,,,,,,,,
122.0,127.0,121.0,125.0,,,,,,,,,,,,
125.0,128.0,123.0,128.0,,,,,,,,,,,,
128.0,128.0,124.0,127.0,,,,,,,,,,,,
127.0,127.0,124.0,126.0,,,,,,,,,,,,
126.0,129.0,125.0,129.0,,,,,,,,,,,,
129.0,131.0,127.0,128.0,,,,,,,,,,,,
128.0,131.0,126.0,131.0,,,,,,,,,,,,
131.0,133.0,128.0,130.0,,,,,,,,,,,,
130.0,130.0,127.0,129.0,,,,,,,,,,,,
129.0,133.0,126.0,132.0,,,,,,,,,,,,
132.0,136.0,129.0,135.0,,,,,,,,,,,,
135.0,136.0,132.0,134.0,,,,,,,,,,,,
135.0,228.3841772483241,133.48843600150303,226.87817069757878,-2.025586353944564,-4.104477611940293,-7.746979388770436,-9.861407249466946,-11.876332622601282,-14.765458422174849,0.375,0.4666666666666667,0.5,0.4482758620689655,0.5,0.46511627906976744
226.87817069757878,2403.2542865949717,224.7648768335022,2400.4239023130053,-35.90781925144327,-40.09125297615428,-43.05989227702221,-44.906269047761285,-46.354113971013,-48.274335164710244,0.5,0.4666666666666667,0.5454545454545454,0.4827586206896552,0.5,0.4883720930232558
2400.4239023130053,11782.036372587649,2399.49555397123,11779.592022103174,-80.43618123423356,-87.55784619963654,-90.07258265987237,-91.38797635547222,-92.19506656221121,-92.82338853523133,0.5,0.5333333333333333,0.5909090909090909,0.4827586206896552,0.5,0.5116279069767442
11779.592022103174,21791.184170011576,11778.20612443845,21790.96130938957,-81.88526385647526,-90.39750026668439,-93.26038017848775,-94.70849546330236,-95.57809228490733,-96.1754083916188,0.625,0.5333333333333333,0.5909090909090909,0.4827586206896552,0.5,0.5348837209302325
21790.96130938957,31360.831754756917,21790.35404908978,31360.587927344444,-76.00652930958047,-87.70825374006746,-91.61997340700822,-93.58681420230438,-94.76678756351998,-95.56206827183523,0.75,0.5333333333333333,0.5909090909090909,0.5172413793103449,0.5,0.5348837209302325
31360.587927344444,40391.98741304326,31360.518962064565,40390.73675494745,-69.10250922546068,-84.3451269173803,-89.43252875641801,-91.98522640960131,-93.51675389534759,-94.5425552927722,0.75,0.6,0.6363636363636364,0.5517241379310345,0.5,0.5581395348837209
40390.73675494745,48868.221015745614,40388.27373896422,48867.50862415357,-61.77228855271547,-80.72450891258161,-87.0469852255657,-90.21556240568655,-92.11692092649048,-93.38726382879796,0.75,0.6666666666666666,0.6363636363636364,0.5862068965517241,0.5277777777777778,0.5813953488372093
48867.50862415357,56799.40519509595,48865.521623394896,56797.67854025276,-54.15689333814049,-76.94411844364805,-84.54366050877117,-88.34949750581043,-90.63364284243644,-92.15811169140576,0.875,0.6666666666666666,0.6363636363636364,0.6206896551724138,0.5555555555555556,0.5813953488372093
56797.67854025276,64200.16987527504,56795.11814985073,64199.03649485255,-46.32892083802954,-73.03645239916281,-81.95010339587799,-86.41164488175023,-89.0897267622105,-90.87624651952088,0.875,0.7333333333333333,0.6363636363636364,0.6551724137931034,0.5833333333333334,0.5813953488372093
64199.03649485255,71107.60953808637,64197.78354229593,71106.41741059285,-38.764968470892455,-69.01673530251925,-79.27817857007918,-84.41284997386217,-87.49538848971076,-89.55097047257739,0.875,0.7333333333333333,0.6818181818181818,0.6896551724137931,0.5833333333333334,0.5813953488372093
71106.41741059285,77565.04136813547,71103.97836538509,77564.76612689586,-32.794306408592234,-64.89669650060218,-76.5375928003789,-82.36120522162551,-85.8575826416713,-88.18860137476082,0.875,0.8,0.6818181818181818,0.6896551724137931,0.5833333333333334,0.5813953488372093
77564.76612689586,83608.52177398569,77563.19871865197,83605.86093408498,-28.117816638451753,-60.68855849674632,-73.73711896678607,-80.26374746979202,-84.18219255520448,-86.79445858249925,0.875,0.8666666666666667,0.6818181818181818,0.6896551724137931,0.6111111111111112,0.5813953488372093
83605.86093408498,89257.15387644536,83605.3539143224,89254.57586747581,-24.3846578044719,-56.397499058110625,-70.88012032458381,-78.12326780785529,-82.471856040195,-85.37088638345968,0.875,0.8666666666666667,0.7272727272727273,0.7241379310344828,0.6388888888888888,0.5813953488372093
89254.57586747581,94530.7091328446,89252.11822515524,94527.8516384575,-21.34923548378751,-52.02494675973626,-67.96786750014601,-75.94104847041065,-80.72761397917334,-83.91873767959156,0.875,0.8666666666666667,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.6046511627906976
94527.8516384575,99446.0622810282,94526.06147183862,99444.8936259414,-18.836288881488073,-47.568523554802965,-64.99938712036982,-73.71629239177983,-78.94894426346703,-82.4376559108293,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.6944444444444444,0.627906976744186
99444.8936259414,104022.92165237883,99444.3094286236,104020.27875750604,-16.72295207048673,-43.03443112624844,-61.97421313094669,-71.44887627269931,-77.13582897642958,-80.92768145480098,0.875,0.9333333333333333,0.8181818181818182,0.7241379310344828,0.7222222222222222,0.6511627906976745
104020.27875750604,108272.76855517893,104017.76340531826,108271.18242160173,-14.917051097974365,-38.56206578720758,-58.89088904067776,-69.13747221613112,-75.28737229059399,-79.38819835664955,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.75,0.6511627906976745
108271.18242160173,112221.59153289265,108268.86605918319,112220.30170259721,-13.353885429899693,-34.60848463590697,-55.74871276147181,-66.78188019572988,-73.40344314851926,-77.8190279354701,0.875,0.9333333333333333,0.8636363636363636,0.7586206896551724,0.75,0.6511627906976745
112220.30170259721,115887.60095075921,112219.38887935532,115884.69903329229,-11.991358011412013,-31.15380700688881,-52.549518976958474,-64.38349659261257,-71.48518162835651,-76.22105984247257,0.875,0.9333333333333333,0.9090909090909091,0.7586206896551724,0.75,0.6744186046511628
115884.69903329229,119277.117462426,115883.07783888825,119276.22059488944,-10.795103225961867,-28.120931676010784,-49.29347295986928,-61.94221369646138,-69.53251830549547,-74.59434450220094,0.875,0.9333333333333333,0.9090909090909091,0.7931034482758621,0.7777777777777778,0.6976744186046512
119276.22059488944,122412.81774418092,119275.41799538593,122412.31179847916,-9.735878616699999,-25.44069641980379,-45.97875638059013,-59.45669983786582,-67.54449593432822,-72.93801681712581,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.7777777777777778,0.7209302325581395
122412.31179847916,125307.7820437012,122409.63067594694,125306.20382549487,-8.79420116535593,-23.059438829880975,-42.60603902689193,-56.927717074492534,-65.52163417563735,-71.25252661538578,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.7441860465116279
125306.20382549487,127967.99082596804,125304.2439216589,127966.22863287304,-7.952203313064377,-20.93114091234628,-39.17824457394803,-54.35467226365459,-63.463558670933985,-69.53757468962799,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.7777777777777778,0.7674418604651163
127966.22863287304,130408.0858794982,127965.86283422782,130407.88921214279,-7.192349900124151,-19.015363446698753,-35.76996232732075,-51.735725941367896,-61.36862012956439,-67.79187062142564,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8055555555555556,0.7906976744186046
130407.88921214279,132645.488917502,130407.81473906143,132644.08635702156,-6.505015044278418,-17.283528446489825,-32.64079042858938,-49.07152209219412,-59.237521231737176,-66.01600422859157,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8055555555555556,0.7906976744186046
132644.08635702156,134688.9944873838,132642.52886006306,134688.79853080923,-5.881578779166574,-15.712004346681896,-29.79676200431357,-46.36215103359276,-57.07033489990187,-64.21003959065943,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8055555555555556,0.7906976744186046
134688.79853080923,136552.34778741084,134687.0915228042,136552.0120745439,-5.31594220058852,-14.282535549168319,-27.209362854985443,-43.60849938593435,-54.86760181514625,-62.37443023096048,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8333333333333334,0.813953488372093
