Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
80.0,80.0,76.0,79.0,,,,,,,,,,,,
79.0,79.0,76.0,78.0,,,,,,,,,,,,
78.0,80.0,75.0,77.0,,,,,,,,,,,,
77.0,79.0,75.0,76.0,,,,,,,,,,,,
76.0,78.0,75.0,75.0,,,,,,,,,,,,
75.0,78.0,74.0,78.0,,,,,,,,,,,,
78.0,83.0,76.0,81.0,,,,,,,,,,,,
81.0,86.0,79.0,84.0,,,,,,,,,,,,
84.0,86.0,82.0,83.0,,,,,,,,,,,,
83.0,85.0,81.0,82.0,,,,,,,,,,,,
82.0,82.0,78.0,81.0,,,,,,,,,,,,
81.0,86.0,79.0,84.0,,,,,,,,,,,,
84.0,85.0,81.0,83.0,,,,,,,,,,,,
83.0,86.0,80.0,86.0,,,,,,,,,,,,
86.0,91.0,83.0,89.0,,,,,,,,,,,,
89.0,90.0,86.0,88.0,,,,,,,,,,,,
88.0,89.0,87.0,87.0,,,,,,,,,,,,
87.0,88.0,86.0,86.0,,,,,,,,,,,,
86.0,88.0,83.0,85.0,,,,,,,,,,,,
85.0,88.0,83.0,88.0,,,,,,,,,,,,
88.0,92.0,86.0,91.0,,,,,,,,,,,,
91.0,92.0,89.0,90.0,,,,,,,,,,,,
90.0,90.0,87.0,89.0,,,,,,,,,,,,
89.0,94.0,88.0,92.0,,,,,,,,,,,,
92.0,93.0,91.0,91.0,,,,,,,,,,,,
91.0,95.0,90.0,94.0,,,,,,,,,,,,
94.0,98.0,93.0,97.0,,,,,,,,,,,,
97.0,102.0,96.0,100.0,,,,,,,,,,,,
100.0,104.0,99.0,103.0,,,,,,,,,,,,
103.0,103.0,99.0,102.0,,,,,,,,,,,,
102.0,106.0,99.0,105.0,,,,,,,,,,,,
105.0,109.0,103.0,108.0,,,,,,,,,,,,
108.0,113.0,106.0,111.0,,,,,,,,,,,,
111.0,113.0,108.0,110.0,,,,,,,,,,,,
110.0,113.0,108.0,113.0,,,,,,,,,,,,
113.0,115.0,111.0,112.0,,,,,,,,,,,,
112.0,115.0,111.0,115.0,,,,,,,,,,,,
115.0,120.0,112.0,118.0,,,,,,,,,,,,
118.0,123.0,115.0,121.0,,,,,,,,,,,,
121.0,125.0,118.0,124.0,,,,,,,,,,,,
124.0,129.0,123.0,127.0,,,,,,,,,,,,
127.0,132.0,125.0,130.0,,,,,,,,,,,,
130.0,132.0,128.0,129.0,,,,,,,,,,,,
129.0,134.0,128.0,132.0,,,,,,,,,,,,
132.0,136.0,129.0,135.0,,,,,,,,,,,,
132.0,519.847882194821,130.9991119888509,518.4806686466134,-4.973544973544975,-10.846560846560848,-16.155202821869487,-20.68783068783069,-23.89417989417989,-26.71957671957672,0.75,0.7333333333333333,0.7272727272727273,0.6551724137931034,0.6111111111111112,0.5813953488372093
518.4806686466134,6915.963019909997,516.2516056719918,6914.020679205319,-64.30558010338173,-71.13157738198483,-74.24268510230523,-76.36996436970644,-77.77307587584878,-78.88757825249306,0.75,0.7333333333333333,0.7727272727272727,0.6896551724137931,0.6388888888888888,0.6046511627906976
6914.020679205319,16947.853170765917,6912.383756627065,16947.094492985747,-83.29377832791693,-90.80698093594167,-93.37130145746649,-94.7004676522692,-95.51077777754861,-96.0616598680664,0.75,0.7333333333333333,0.7727272727272727,0.7241379310344828,0.6388888888888888,0.627906976744186
16947.094492985747,26728.537714838818,16945.070088522585,26727.19807060366,-79.00559140418193,-89.15296750994716,-92.56099598334286,-94.28503050814534,-95.32535193952081,-96.02325485118335,0.75,0.8,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.627906976744186
26727.19807060366,35998.812837138226,26726.924518732994,35996.5896961329,-72.47170478584108,-86.00949121641345,-90.53901255849574,-92.81700212946265,-94.18796497989817,-95.10470180205853,0.75,0.8,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.627906976744186
35996.5896961329,44715.99589611606,35995.77359900376,44714.05938941157,-65.32592815632341,-82.49151926565239,-88.22700859815129,-91.10417876045882,-92.83452886036093,-93.98988147709264,0.875,0.8666666666666667,0.7727272727272727,0.7586206896551724,0.6666666666666666,0.627906976744186
44714.05938941157,52879.85019289927,44713.10938675317,52878.99969892645,-57.842456585292226,-78.78049275602098,-85.77123330511284,-89.27419147749043,-91.37999196039821,-92.78508366233763,0.875,0.8666666666666667,0.8181818181818182,0.7931034482758621,0.6944444444444444,0.6511627906976745
52878.99969892645,60511.18530999043,52877.71935459576,60508.62639256218,-50.102675448394095,-74.930036531837,-83.21581942628232,-87.36512713924786,-89.85854801854501,-91.52186421254724,0.875,0.8666666666666667,0.8181818181818182,0.7931034482758621,0.7222222222222222,0.6744186046511628
60508.62639256218,67625.82909016639,60508.33344164966,67625.49001901245,-42.2310024188303,-70.96257370305527,-80.5787574432599,-85.39222044834536,-88.28421740923051,-90.21312040956136,0.875,0.8666666666666667,0.8181818181818182,0.8275862068965517,0.75,0.6976744186046512
67625.49001901245,74274.47491283642,67622.5860217437,74273.25855570978,-35.485430192969645,-66.88869420820957,-77.86854807198513,-83.36306963654214,-86.66362727939497,-88.86509048660525,0.875,0.8666666666666667,0.8181818181818182,0.8275862068965517,0.7777777777777778,0.6976744186046512
74273.25855570978,80493.38698359871,74272.29741185854,80490.68786520255,-30.233644002900416,-62.721651564496696,-75.09455365888445,-81.28538043977198,-85.00353096721349,-87.4834199685062,0.875,0.8666666666666667,0.8636363636363636,0.8275862068965517,0.7777777777777778,0.7209302325581395
80490.68786520255,86311.24104941261,80489.3548793747,86308.28001665152,-26.080586345156163,-58.46986261564806,-72.26313242751642,-79.1639825504314,-83.30800678402123,-86.07184324474602,0.875,0.8666666666666667,0.8636363636363636,0.8275862068965517,0.7777777777777778,0.7209302325581395
86308.28001665152,91743.6457995495,86305.78287571993,91743.57993143458,-22.735537267866757,-54.13701199615624,-69.37700501162712,-77.00126364974895,-81.57896370552852,-84.63217065954149,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.8055555555555556,0.7209302325581395
91743.57993143458,96813.92241814028,91743.1349742666,96812.13393871425,-19.989898107698757,-49.721560434363745,-66.4353124239489,-74.79635375496913,-79.81593711015418,-83.16396100540118,0.875,0.9333333333333333,0.9090909090909091,0.8620689655172413,0.8333333333333334,0.7441860465116279
96812.13393871425,101538.52457210836,96810.69128637933,101535.64467452787,-17.695963744088427,-45.22096786772587,-63.43647526043671,-72.54832377998525,-78.01823655444122,-81.66659121156627,0.875,0.9333333333333333,0.9090909090909091,0.8620689655172413,0.8333333333333334,0.7674418604651163
101535.64467452787,105928.6832966717,101535.31331913898,105925.9975166737,-15.752446637875062,-40.66294465745509,-60.38120655405872,-70.25776560676927,-76.1862617154941,-80.14053875683423,0.875,0.9333333333333333,0.9090909090909091,0.8620689655172413,0.8611111111111112,0.7906976744186046
105925.9975166737,110006.14264595234,105923.84755051554,110004.63523953702,-14.078885605473124,-36.445681597516554,-57.26697056743058,-67.92281660543773,-74.31867088000267,-78.58461918287564,0.875,0.9333333333333333,0.9090909090909091,0.8620689655172413,0.8611111111111112,0.813953488372093
110004.63523953702,113792.5848306755,110004.29131537542,113789.87402362417,-12.62433653459082,-32.75963983893024,-54.0949743341967,-65.54428383420323,-72.41623307097478,-76.99958875256723,0.875,0.9333333333333333,0.9090909090909091,0.896551724137931,0.8611111111111112,0.813953488372093
113789.87402362417,117302.01010052455,113788.5160856541,117301.36429367094,-11.350366328407869,-29.531273160245377,-50.86554803445772,-63.12257693805907,-70.47917962930086,-75.38565291082188,0.875,0.9333333333333333,0.9090909090909091,0.896551724137931,0.8611111111111112,0.813953488372093
117301.36429367094,120552.11629613595,117300.80033476393,120550.37650449242,-10.229611923502336,-26.68988982809927,-47.57975087588719,-60.65850728823011,-68.5082699360753,-73.74337331976615,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.8372093023255814
120550.37650449242,123553.4152578094,120547.66114967584,123551.60585772175,-9.235333997757278,-24.172249111672706,-44.23586409023278,-58.15079753889432,-66.50229359590462,-72.07183394888244,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8888888888888888,0.8604651162790697
123551.60585772175,126316.52373808532,123549.80430199456,126316.243596207,-8.348361502474388,-21.928426734572113,-40.83374593349922,-55.59935152885842,-64.46128177182942,-70.37106600398101,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8888888888888888,0.8604651162790697
126316.243596207,128858.73944294099,126313.77586871084,128856.14405650286,-7.551749961670584,-19.91590020902414,-37.38633730981735,-53.003124940378754,-62.38440477926239,-68.64030661012927,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8888888888888888,0.8837209302325582
128856.14405650286,131186.5610094939,128856.08742024105,131184.4475365084,-6.831845064229425,-18.10026173601942,-34.114127743196796,-50.36149480903636,-60.27116909996092,-66.87922617850711,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8888888888888888,0.8837209302325582
131184.4475365084,133317.4234982281,131182.79298094916,133314.9870573801,-6.178985603026089,-16.455089223871145,-31.13675430357521,-47.674523793254195,-58.12154197885505,-65.08787238780292,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.9166666666666666,0.8837209302325582
133314.9870573801,135262.66014664696,133312.0078979406,135260.05468695404,-5.586097969908977,-14.959978336306513,-28.430044117345453,-44.942804118718115,-55.936090797244,-63.266645244955065,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.9166666666666666,0.8837209302325582
135260.05468695404,137032.53903271933,135258.81347784342,137029.55052454083,-5.047052680800579,-13.597810174912473,-25.964609936076165,-42.16651557601734,-53.71496190314342,-61.415739207107165,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
137029.55052454083,138637.84598642483,137027.39562828507,138635.30954264736,-4.555203102304106,-12.352948007479759,-23.712597424173087,-39.34534516525021,-51.4579067888906,-59.53480704624574,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9069767441860465
138635.30954264736,140089.14221678453,138634.83824687015,140088.10349585427,-4.1063986954855025,-11.213289395447168,-21.65061049965007,-36.47993371291691,-49.165440038050704,-57.62435059248603,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9069767441860465
140088.10349585427,141395.76037065935,140086.8102104489,141393.21954583583,-3.696462304387782,-10.168333357624004,-19.758055992533464,-33.58046287761187,-46.83794854858849,-55.68469357164554,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9069767441860465
141393.21954583583,142568.04718216544,141391.45207836645,142565.973953318,-3.3186946442831378,-9.20579391822307,-18.014338335528755,-30.796753372809636,-44.474018396676264,-53.714658373146506,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9069767441860465
142565.973953318,143616.37376346136,142563.62255391257,143614.11375779213,-2.9735224676113114,-8.321279318001807,-16.407683155219576,-28.21913662085108,-42.07618006348223,-51.71628846712939,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9302325581395349
143614.11375779213,144550.8095994882,143611.97565681353,144547.99155270023,-2.6571672915353117,-7.507026704622632,-14.92474180537694,-25.836244847544343,-39.64436928739866,-49.68959881323879,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9302325581395349
144547.99155270023,145374.02320937492,144545.59588539548,145373.60014515207,-2.3681386999987564,-6.758198367212764,-13.555770413620905,-23.633352295978206,-37.17971444852106,-47.63553048429119,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
145373.60014515207,146103.39334564641,145372.26317993243,146103.18017147883,-2.1026502946693504,-6.068062692052112,-12.28998384894463,-21.594127849278454,-34.68193608628346,-45.55385091113693,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
146103.18017147883,146744.26471135355,146102.36388047232,146742.56555449803,-1.8613145817201637,-5.434593877293881,-11.121441236237029,-19.706830508480266,-32.15360516204385,-43.446703489252826,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
146742.56555449803,147300.97592027285,146740.9939833455,147299.44499174863,-1.6410969331624337,-4.852359534006368,-10.041704079718695,-17.95791686334367,-29.602177053170596,-41.31412789148459,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
147299.44499174863,147782.98456612605,147297.11382837137,147782.21424167437,-1.440141670632178,-4.317720049457263,-9.044276755073334,-16.336306611426455,-27.14528991204438,-39.15704732166794,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
147782.21424167437,148198.75199428902,147780.18686710903,148197.55550361093,-1.25787312319664,-3.8280602191868573,-8.12412132396223,-14.833137050533052,-24.853792143869935,-36.976900482386746,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
148197.55550361093,148553.70790914047,148195.01923194792,148552.77823497285,-1.0927822783474817,-3.3802803265073678,-7.276021917276976,-13.44015233812257,-22.722536724573228,-34.77466641702546,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
148552.77823497285,148859.82014051205,148552.23077267894,148857.42183067388,-0.9441674456260984,-2.972166083626937,-6.495971934483902,-12.150686357651752,-20.74251048724294,-32.5517498822243,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
