Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
57.0,59.0,54.0,56.0,,,,,,,,,,,,
56.0,58.0,53.0,55.0,,,,,,,,,,,,
55.0,60.0,52.0,58.0,,,,,,,,,,,,
58.0,60.0,56.0,57.0,,,,,,,,,,,,
57.0,58.0,56.0,56.0,,,,,,,,,,,,
56.0,56.0,53.0,55.0,,,,,,,,,,,,
55.0,55.0,52.0,54.0,,,,,,,,,,,,
54.0,57.0,53.0,57.0,,,,,,,,,,,,
57.0,59.0,54.0,56.0,,,,,,,,,,,,
56.0,57.0,54.0,55.0,,,,,,,,,,,,
55.0,59.0,54.0,58.0,,,,,,,,,,,,
58.0,60.0,56.0,57.0,,,,,,,,,,,,
57.0,57.0,55.0,56.0,,,,,,,,,,,,
56.0,58.0,54.0,55.0,,,,,,,,,,,,
55.0,55.0,51.0,54.0,,,,,,,,,,,,
54.0,57.0,52.0,57.0,,,,,,,,,,,,
57.0,57.0,54.0,56.0,,,,,,,,,,,,
56.0,59.0,54.0,59.0,,,,,,,,,,,,
59.0,62.0,58.0,62.0,,,,,,,,,,,,
62.0,66.0,59.0,65.0,,,,,,,,,,,,
65.0,66.0,63.0,64.0,,,,,,,,,,,,
64.0,66.0,62.0,63.0,,,,,,,,,,,,
63.0,68.0,60.0,66.0,,,,,,,,,,,,
66.0,67.0,64.0,65.0,,,,,,,,,,,,
65.0,69.0,63.0,68.0,,,,,,,,,,,,
68.0,73.0,65.0,71.0,,,,,,,,,,,,
71.0,72.0,69.0,70.0,,,,,,,,,,,,
70.0,75.0,69.0,73.0,,,,,,,,,,,,
73.0,73.0,69.0,72.0,,,,,,,,,,,,
72.0,76.0,71.0,75.0,,,,,,,,,,,,
75.0,78.0,73.0,78.0,,,,,,,,,,,,
78.0,83.0,76.0,81.0,,,,,,,,,,,,
81.0,84.0,78.0,84.0,,,,,,,,,,,,
84.0,88.0,82.0,87.0,,,,,,,,,,,,
87.0,92.0,85.0,90.0,,,,,,,,,,,,
90.0,92.0,89.0,89.0,,,,,,,,,,,,
89.0,90.0,88.0,88.0,,,,,,,,,,,,
88.0,89.0,87.0,87.0,,,,,,,,,,,,
87.0,88.0,84.0,86.0,,,,,,,,,,,,
86.0,90.0,84.0,89.0,,,,,,,,,,,,
89.0,92.0,88.0,92.0,,,,,,,,,,,,
92.0,95.0,89.0,95.0,,,,,,,,,,,,
95.0,98.0,94.0,98.0,,,,,,,,,,,,
98.0,99.0,96.0,97.0,,,,,,,,,,,,
97.0,97.0,93.0,96.0,,,,,,,,,,,,
97.0,410.4347290686067,95.0220705898638,409.1024289526902,-2.8273809523809423,-6.324404761904756,-12.40079365079364,-17.782738095238095,-22.529761904761912,-25.76884920634921,0.5,0.5333333333333333,0.5909090909090909,0.5862068965517241,0.5277777777777778,0.46511627906976744
409.1024289526902,7081.906075903467,406.2042821501132,7080.019030101904,-65.91484325989563,-72.28946806766179,-75.4735724353002,-77.65052878333638,-79.36875448097962,-80.53169810520596,0.625,0.5333333333333333,0.5909090909090909,0.5862068965517241,0.5277777777777778,0.4883720930232558
7080.019030101904,17256.07462855715,7079.945363421455,17253.86787203666,-83.92433405055426,-91.34069976914509,-93.86864611501625,-95.16843436521268,-95.97373097580866,-96.5129494255095,0.625,0.5333333333333333,0.5909090909090909,0.5862068965517241,0.5555555555555556,0.5116279069767442
17253.86787203666,27103.849105798126,17252.060704268766,27102.21945335131,-79.19390802484699,-89.33986880007507,-92.74145105534619,-94.45942259572324,-95.4999755859904,-96.19574750874781,0.625,0.5333333333333333,0.6363636363636364,0.5862068965517241,0.5833333333333334,0.5348837209302325
27102.21945335131,36418.564122255346,27099.480956286923,36417.646789139726,-72.51874578327954,-86.0943890393348,-90.62996985555556,-92.90975190149322,-94.28384096757722,-95.20192091397773,0.625,0.5333333333333333,0.6363636363636364,0.6206896551724138,0.6111111111111112,0.5581395348837209
36417.646789139726,45169.37228552399,36417.03190978212,45168.06727994074,-65.30102323911152,-82.52596446493108,-88.27428020675109,-91.15814687160429,-92.8930957096487,-94.05201653627773,0.625,0.6,0.6818181818181818,0.6551724137931034,0.6388888888888888,0.5581395348837209
45168.06727994074,53361.55676005668,45166.23845203563,53359.59957357333,-57.76822910058006,-78.78227268994453,-85.79190892515322,-89.30487122879451,-91.41638070399816,-92.82632035413127,0.75,0.6666666666666666,0.6818181818181818,0.6551724137931034,0.6388888888888888,0.5813953488372093
