Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
81.0,84.0,80.0,84.0,,,,,,,,,,,,
84.0,85.0,81.0,83.0,,,,,,,,,,,,
83.0,86.0,80.0,86.0,,,,,,,,,,,,
86.0,86.0,84.0,85.0,,,,,,,,,,,,
85.0,89.0,84.0,88.0,,,,,,,,,,,,
88.0,90.0,85.0,87.0,,,,,,,,,,,,
87.0,90.0,85.0,90.0,,,,,,,,,,,,
90.0,95.0,89.0,93.0,,,,,,,,,,,,
93.0,95.0,92.0,92.0,,,,,,,,,,,,
92.0,96.0,90.0,95.0,,,,,,,,,,,,
95.0,95.0,93.0,94.0,,,,,,,,,,,,
94.0,99.0,92.0,97.0,,,,,,,,,,,,
97.0,100.0,96.0,100.0,,,,,,,,,,,,
100.0,103.0,99.0,103.0,,,,,,,,,,,,
103.0,106.0,102.0,106.0,,,,,,,,,,,,
106.0,109.0,104.0,109.0,,,,,,,,,,,,
109.0,114.0,107.0,112.0,,,,,,,,,,,,
112.0,115.0,111.0,115.0,,,,,,,,,,,,
115.0,118.0,113.0,118.0,,,,,,,,,,,,
118.0,120.0,117.0,117.0,,,,,,,,,,,,
117.0,119.0,114.0,116.0,,,,,,,,,,,,
116.0,119.0,113.0,119.0,,,,,,,,,,,,
119.0,121.0,117.0,118.0,,,,,,,,,,,,
118.0,121.0,117.0,121.0,,,,,,,,,,,,
121.0,126.0,120.0,124.0,,,,,,,,,,,,
124.0,128.0,122.0,127.0,,,,,,,,,,,,
127.0,132.0,124.0,130.0,,,,,,,,,,,,
130.0,131.0,127.0,129.0,,,,,,,,,,,,
129.0,129.0,125.0,128.0,,,,,,,,,,,,
128.0,131.0,127.0,131.0,,,,,,,,,,,,
131.0,133.0,130.0,130.0,,,,,,,,,,,,
130.0,130.0,127.0,129.0,,,,,,,,,,,,
129.0,131.0,128.0,128.0,,,,,,,,,,,,
128.0,132.0,127.0,131.0,,,,,,,,,,,,
131.0,133.0,130.0,130.0,,,,,,,,,,,,
130.0,135.0,128.0,133.0,,,,,,,,,,,,
133.0,134.0,130.0,132.0,,,,,,,,,,,,
132.0,137.0,129.0,135.0,,,,,,,,,,,,
135.0,140.0,133.0,138.0,,,,,,,,,,,,
138.0,143.0,136.0,141.0,,,,,,,,,,,,
141.0,143.0,139.0,140.0,,,,,,,,,,,,
140.0,145.0,138.0,143.0,,,,,,,,,,,,
143.0,147.0,142.0,146.0,,,,,,,,,,,,
146.0,146.0,144.0,145.0,,,,,,,,,,,,
145.0,148.0,144.0,148.0,,,,,,,,,,,,
145.0,312.0873493863396,143.3354110653965,309.6428361709953,-3.378378378378377,-7.384169884169878,-9.330759330759319,-12.113899613899603,-15.772200772200772,-19.675032175032182,0.625,0.5333333333333333,0.5454545454545454,0.5517241379310345,0.6111111111111112,0.6046511627906976
309.6428361709953,3740.119098086784,308.70170182334476,3739.6374918739116,-45.89882742361442,-51.565329218497645,-53.80787328557748,-55.74806117619667,-57.75185101472835,-59.879714036464634,0.625,0.6,0.5454545454545454,0.5517241379310345,0.6388888888888888,0.627906976744186
3739.6374918739116,13419.084488469534,3737.9531822216227,13416.18524958469,-81.77332757744294,-89.09122620182285,-91.5750933429576,-92.87719317308594,-93.71881033472252,-94.35310664194597,0.625,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.6388888888888888,0.627906976744186
13416.18524958469,23324.0870473244,13414.306586271185,23321.415978543715,-80.7828431087547,-89.88616828733699,-92.93587231805004,-94.47430068568214,-95.41332988540915,-96.06046812210029,0.75,0.6666666666666666,0.5454545454545454,0.5862068965517241,0.6388888888888888,0.6511627906976745
23321.415978543715,32772.01575198598,23319.036251911282,32771.47356344886,-74.74676642147155,-87.0787429291272,-91.20063199057617,-93.26754895944136,-94.5168875071308,-95.36192893445788,0.75,0.7333333333333333,0.5909090909090909,0.6206896551724138,0.6388888888888888,0.6511627906976745
