Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
10.0,11.0,9.0,9.0,,,,,,,,,,,,
9.0,10.0,6.0,8.0,,,,,,,,,,,,
8.0,11.0,6.0,11.0,,,,,,,,,,,,
11.0,16.0,8.0,14.0,,,,,,,,,,,,
14.0,18.0,13.0,17.0,,,,,,,,,,,,
17.0,20.0,16.0,20.0,,,,,,,,,,,,
20.0,20.0,17.0,19.0,,,,,,,,,,,,
19.0,20.0,18.0,18.0,,,,,,,,,,,,
18.0,21.0,15.0,21.0,,,,,,,,,,,,
21.0,25.0,18.0,24.0,,,,,,,,,,,,
24.0,27.0,21.0,27.0,,,,,,,,,,,,
27.0,30.0,26.0,30.0,,,,,,,,,,,,
30.0,30.0,26.0,29.0,,,,,,,,,,,,
29.0,34.0,28.0,32.0,,,,,,,,,,,,
32.0,37.0,30.0,35.0,,,,,,,,,,,,
35.0,38.0,34.0,38.0,,,,,,,,,,,,
38.0,42.0,37.0,41.0,,,,,,,,,,,,
41.0,42.0,38.0,40.0,,,,,,,,,,,,
40.0,43.0,39.0,43.0,,,,,,,,,,,,
43.0,43.0,39.0,42.0,,,,,,,,,,,,
42.0,46.0,41.0,45.0,,,,,,,,,,,,
45.0,46.0,44.0,44.0,,,,,,,,,,,,
44.0,49.0,42.0,47.0,,,,,,,,,,,,
47.0,48.0,46.0,46.0,,,,,,,,,,,,
46.0,47.0,43.0,45.0,,,,,,,,,,,,
45.0,47.0,42.0,44.0,,,,,,,,,,,,
44.0,44.0,40.0,43.0,,,,,,,,,,,,
43.0,43.0,40.0,42.0,,,,,,,,,,,,
42.0,46.0,39.0,45.0,,,,,,,,,,,,
45.0,47.0,44.0,44.0,,,,,,,,,,,,
44.0,48.0,42.0,47.0,,,,,,,,,,,,
47.0,50.0,45.0,50.0,,,,,,,,,,,,
50.0,55.0,49.0,53.0,,,,,,,,,,,,
53.0,54.0,52.0,52.0,,,,,,,,,,,,
52.0,54.0,49.0,51.0,,,,,,,,,,,,
51.0,52.0,50.0,50.0,,,,,,,,,,,,
50.0,50.0,48.0,49.0,,,,,,,,,,,,
49.0,50.0,47.0,48.0,,,,,,,,,,,,
48.0,52.0,46.0,51.0,,,,,,,,,,,,
51.0,53.0,49.0,50.0,,,,,,,,,,,,
50.0,52.0,47.0,49.0,,,,,,,,,,,,
49.0,52.0,47.0,52.0,,,,,,,,,,,,
52.0,52.0,48.0,51.0,,,,,,,,,,,,
51.0,53.0,50.0,50.0,,,,,,,,,,,,
50.0,50.0,47.0,49.0,,,,,,,,,,,,
50.0,134.14442199761857,47.30361152419566,132.03701845982863,2.6239067055393583,2.76967930029155,-1.3605442176870652,-3.6443148688046656,-9.387755102040817,-18.02721088435375,0.25,0.26666666666666666,0.2727272727272727,0.3103448275862069,0.4166666666666667,0.46511627906976744
132.03701845982863,4491.569094737235,131.45084108443857,4491.182029842471,-53.14766121641246,-57.42335706626746,-60.255120971276774,-61.752148998111686,-64.10017567557975,-67.45074042915726,0.25,0.26666666666666666,0.3181818181818182,0.3448275862068966,0.4166666666666667,0.46511627906976744
4491.182029842471,14767.227745065493,4488.695747091149,14765.110739877955,-84.49590770818185,-91.68971710472658,-94.11628109584991,-95.33831039090303,-96.10651716590077,-96.67113881284806,0.375,0.26666666666666666,0.36363636363636365,0.3448275862068966,0.4166666666666667,0.46511627906976744
14765.110739877955,24828.970152122405,14762.331687470749,24826.063538514085,-81.04573280571454,-90.35451586830958,-93.46228121487998,-95.02075966425197,-95.96416750742178,-96.60971536556795,0.5,0.3333333333333333,0.4090909090909091,0.3793103448275862,0.4444444444444444,0.46511627906976744
24826.063538514085,34345.38035910389,24823.071069206355,34344.475133021944,-74.47130325188323,-87.1352387216167,-91.35789321979962,-93.47368006779378,-94.74625951001923,-95.60452405616903,0.5,0.4,0.45454545454545453,0.3793103448275862,0.4444444444444444,0.4883720930232558
34344.475133021944,43289.56654870138,34342.54947214729,43287.58544606172,-67.28196221410904,-83.56818919539138,-88.99734747626641,-91.7155662122871,-93.34807807826705,-94.44300525711844,0.625,0.4666666666666667,0.45454545454545453,0.41379310344827586,0.4444444444444444,0.5116279069767442
43287.58544606172,51664.35879319887,43287.25568900889,51662.503170983255,-59.77221623055835,-79.82818982689909,-86.51340435276693,-89.85955931712584,-91.86771432197327,-93.21126959689443,0.75,0.5333333333333333,0.5,0.41379310344827586,0.4444444444444444,0.5116279069767442
51662.503170983255,59486.807031515615,51660.76524285938,59484.60415348073,-52.02130685368995,-75.96198591056215,-83.94212008952658,-87.93515976878176,-90.3311494883222,-91.9319324677518,0.875,0.6,0.5,0.4482758620689655,0.4444444444444444,0.5116279069767442
59484.60415348073,66781.48962902265,59483.46974398514,66779.7139183955,-44.076400097708245,-71.98620135768948,-81.2957955731915,-85.95293422319983,-88.74736150811297,-90.6129947977344,0.875,0.6,0.5,0.4827586206896552,0.4722222222222222,0.5116279069767442
66779.7139183955,73587.58980058203,66777.75772531517,73585.81890887517,-36.860625398689365,-67.90895900819888,-78.58094368543355,-83.91838000405276,-87.12131242574341,-89.25856166736688,0.875,0.6666666666666666,0.5,0.5172413793103449,0.4722222222222222,0.5116279069767442
73585.81890887517,79948.2297634098,73584.35444735042,79945.42251122932,-31.28125393141864,-63.73902514713454,-75.80349689772608,-81.83646078596463,-85.4569768386898,-87.87204552079723,0.875,0.7333333333333333,0.5454545454545454,0.5517241379310345,0.5,0.5348837209302325
79945.42251122932,85897.26838885086,79944.74915166441,85894.66610887255,-26.89832095236403,-59.48534974370897,-72.96944517099419,-79.71180559797565,-83.75832975285078,-86.45681664278175,0.875,0.7333333333333333,0.5909090909090909,0.5862068965517241,0.5,0.5348837209302325
85894.66610887255,91453.84285496837,85894.2264632036,91452.46870689801,-23.38783983329552,-55.15286279376122,-70.08250491842428,-77.54745071825349,-82.027582414796,-85.01486354859232,0.875,0.8,0.6363636363636364,0.5862068965517241,0.5277777777777778,0.5348837209302325
91452.46870689801,96640.33370794324,91451.02502916155,96639.65119283085,-20.51996210661744,-50.73938717625107,-67.14131497787425,-75.34223982639318,-80.26413813437168,-83.54558591705637,0.875,0.8666666666666667,0.6818181818181818,0.6206896551724138,0.5277777777777778,0.5348837209302325
96639.65119283085,101470.1559215308,96639.46678035002,101469.8166291161,-18.137366322769633,-46.2442402116427,-64.14548205893973,-73.09606602644732,-78.46768769820073,-82.04884272498494,0.875,0.9333333333333333,0.7272727272727273,0.6206896551724138,0.5555555555555556,0.5348837209302325
101469.8166291161,105964.97180259124,101468.86789355383,105962.42393200152,-16.123184246458976,-41.66955893771315,-61.09271717919646,-70.80707816232152,-76.63679289719305,-80.52333978101744,0.875,0.9333333333333333,0.7272727272727273,0.6206896551724138,0.5833333333333334,0.5581395348837209
