Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
43.0,43.0,41.0,42.0,,,,,,,,,,,,
42.0,45.0,41.0,45.0,,,,,,,,,,,,
45.0,49.0,44.0,48.0,,,,,,,,,,,,
48.0,50.0,45.0,47.0,,,,,,,,,,,,
47.0,50.0,46.0,50.0,,,,,,,,,,,,
50.0,55.0,49.0,53.0,,,,,,,,,,,,
53.0,57.0,50.0,56.0,,,,,,,,,,,,
56.0,60.0,54.0,59.0,,,,,,,,,,,,
59.0,60.0,57.0,58.0,,,,,,,,,,,,
58.0,59.0,55.0,57.0,,,,,,,,,,,,
57.0,59.0,56.0,56.0,,,,,,,,,,,,
56.0,56.0,54.0,55.0,,,,,,,,,,,,
55.0,55.0,52.0,54.0,,,,,,,,,,,,
54.0,57.0,51.0,57.0,,,,,,,,,,,,
57.0,62.0,54.0,60.0,,,,,,,,,,,,
60.0,62.0,57.0,59.0,,,,,,,,,,,,
59.0,62.0,56.0,62.0,,,,,,,,,,,,
62.0,64.0,59.0,61.0,,,,,,,,,,,,
61.0,63.0,59.0,60.0,,,,,,,,,,,,
60.0,64.0,57.0,63.0,,,,,,,,,,,,
63.0,67.0,61.0,66.0,,,,,,,,,,,,
66.0,69.0,65.0,69.0,,,,,,,,,,,,
69.0,72.0,67.0,72.0,,,,,,,,,,,,
72.0,75.0,69.0,75.0,,,,,,,,,,,,
75.0,78.0,74.0,78.0,,,,,,,,,,,,
78.0,80.0,77.0,77.0,,,,,,,,,,,,
77.0,80.0,74.0,80.0,,,,,,,,,,,,
80.0,85.0,78.0,83.0,,,,,,,,,,,,
83.0,85.0,81.0,82.0,,,,,,,,,,,,
82.0,86.0,79.0,85.0,,,,,,,,,,,,
85.0,87.0,83.0,84.0,,,,,,,,,,,,
84.0,86.0,82.0,83.0,,,,,,,,,,,,
83.0,85.0,82.0,82.0,,,,,,,,,,,,
82.0,85.0,81.0,85.0,,,,,,,,,,,,
85.0,89.0,82.0,88.0,,,,,,,,,,,,
88.0,92.0,87.0,91.0,,,,,,,,,,,,
91.0,96.0,90.0,94.0,,,,,,,,,,,,
94.0,98.0,93.0,97.0,,,,,,,,,,,,
97.0,101.0,96.0,100.0,,,,,,,,,,,,
100.0,104.0,99.0,103.0,,,,,,,,,,,,
103.0,105.0,102.0,102.0,,,,,,,,,,,,
102.0,106.0,101.0,105.0,,,,,,,,,,,,
105.0,106.0,104.0,104.0,,,,,,,,,,,,
104.0,105.0,102.0,103.0,,,,,,,,,,,,
103.0,108.0,102.0,106.0,,,,,,,,,,,,
103.0,104.48880293741496,102.16631856870386,63.49091313494829,-2.5606469002695365,-9.50134770889488,-14.106019766397127,-19.878706199460915,-25.040431266846362,-28.998203054806826,0.5,0.6,0.5909090909090909,0.6206896551724138,0.5833333333333334,0.5813953488372093
63.49091313494829,154.61269228987535,61.59324628548925,153.50899456777987,54.46325403984069,48.89542543354675,42.31439695509245,33.90503997203484,25.484364632421965,19.158068163282383,0.375,0.6,0.5454545454545454,0.6206896551724138,0.5833333333333334,0.5813953488372093
153.50899456777987,154.26778007651254,151.06363753092987,57.3885709511398,-31.413985612483298,-35.08989435391104,-38.76580595843369,-42.44171827873006,-46.26652862856911,-49.11109564527758,0.375,0.6666666666666666,0.5909090909090909,0.6551724137931034,0.6111111111111112,0.5813953488372093
57.3885709511398,193.78496878219454,56.184740589552725,193.53051411777042,72.35599034502688,70.19173678551684,61.91945425404233,53.61374210825232,43.900652329972175,36.30507592294536,0.375,0.6,0.5454545454545454,0.6206896551724138,0.6111111111111112,0.5581395348837209
193.53051411777042,196.23377138327206,193.2877581896244,73.63935750570512,-42.355417894283185,-45.637255208413684,-49.26556199625388,-52.09469006909742,-55.31278352268156,-57.888774476735485,0.375,0.6,0.5454545454545454,0.6206896551724138,0.6111111111111112,0.5581395348837209
73.63935750570512,143.4563567299411,71.61860738161532,143.21734634012412,45.6050474909222,41.18598683208774,32.79378878716268,26.124245355183874,17.97101260080851,11.145222011496813,0.375,0.5333333333333333,0.5454545454545454,0.5862068965517241,0.5833333333333334,0.5348837209302325
143.21734634012412,144.29535981656622,140.82738679867134,69.5752840007604,-21.121316972768923,-24.95044694198041,-29.78451980310062,-33.3736010113827,-37.66166745918178,-41.43473959849051,0.5,0.5333333333333333,0.5454545454545454,0.5862068965517241,0.6111111111111112,0.5581395348837209
69.5752840007604,168.78543464655115,68.25491799549067,165.88041597557728,54.888948497035564,51.670340351044544,43.547895857419846,36.868748872551535,28.631515614653935,20.98408875648008,0.375,0.4666666666666667,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5581395348837209
165.88041597557728,168.72603286641322,165.48545518182607,75.71892236300805,-26.21702995066074,-33.54802410271021,-37.4124172016613,-40.70101256818058,-44.241563976676076,-47.67843857999351,0.5,0.4666666666666667,0.5909090909090909,0.5517241379310345,0.6111111111111112,0.5813953488372093
75.71892236300805,157.53824603606046,74.99956966502107,155.8194907728244,46.962775890639755,43.005423559320064,36.718062710336355,29.848195378558362,22.74532545366266,15.274397310197196,0.375,0.4,0.5909090909090909,0.5517241379310345,0.6111111111111112,0.5813953488372093
155.8194907728244,155.855786410191,153.27021470765612,80.11618508124899,-19.560647046125958,-28.040828252890325,-31.398954050516757,-35.16376372200958,-38.65117729430777,-42.42773830884037,0.5,0.4666666666666667,0.5909090909090909,0.5517241379310345,0.6111111111111112,0.6046511627906976
80.11618508124899,150.3508818772091,77.97777636230292,148.2446584139562,36.22483776253542,37.73621337241628,32.95488370702599,25.972672952815955,19.821909407603954,12.66036976311935,0.375,0.4,0.5454545454545454,0.5172413793103449,0.5833333333333334,0.5813953488372093
148.2446584139562,148.77705092165502,147.01248332869494,80.84499337615647,-19.1903137961993,-23.431081033462075,-26.308092319132058,-30.324382964349862,-33.71708845519286,-37.69741545067672,0.5,0.4666666666666667,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5813953488372093
80.84499337615647,152.80268055292882,80.34596280290448,151.48457124570947,37.15840958088068,38.446213211122426,34.35326468270261,27.57993175743976,21.854905033538174,14.886981443568438,0.375,0.4666666666666667,0.5,0.5172413793103449,0.5555555555555556,0.5813953488372093
151.48457124570947,153.51493547992087,148.60392761575858,84.33873156794475,-19.076224805135034,-23.96867291562168,-26.5850043925291,-30.321517386628237,-33.525333610566676,-37.280109263622585,0.5,0.4666666666666667,0.5,0.5517241379310345,0.5555555555555556,0.5813953488372093
84.33873156794475,150.02240178344584,82.91560223900181,148.0614558451606,31.53887872047969,38.32892381156743,30.979698870381036,25.209332077779223,19.612861265295578,13.312875206973796,0.375,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5277777777777778,0.5813953488372093
148.0614558451606,150.5593643419028,145.2137731636189,86.58076950487427,-18.09288326957844,-21.467914007880097,-23.942122811331203,-27.084804366132964,-30.494876802536062,-34.03864467973982,0.5,0.4666666666666667,0.45454545454545453,0.5862068965517241,0.5555555555555556,0.6046511627906976
86.58076950487427,145.75492708452433,86.57601632861252,145.4100797806594,28.644760509047362,36.705769123933685,29.218245366798733,24.75721440142089,19.077619509014564,13.448737447199433,0.375,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5277777777777778,0.5813953488372093
145.4100797806594,147.0048368218725,145.37996586489604,88.61947698482687,-16.98696335130959,-20.96577269114318,-21.7368968751696,-24.306405443288924,-27.871943558666988,-31.149541894468026,0.5,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5277777777777778,0.5813953488372093
88.61947698482687,147.93309739361263,87.05821484854769,145.35999703004808,26.59907683399394,30.889670605841424,27.59050118759978,24.104882241044745,18.563769392842854,13.49946974097531,0.375,0.4666666666666667,0.45454545454545453,0.5172413793103449,0.5277777777777778,0.5581395348837209
145.35999703004808,145.91322591075362,142.87405546251745,91.17191035139699,-16.477799028696438,-20.09714476541865,-20.826100782943346,-23.0769225045105,-26.530568344003846,-29.602844557155084,0.5,0.4666666666666667,0.5,0.5172413793103449,0.5277777777777778,0.5581395348837209
91.17191035139699,145.3314345943981,88.57477172123538,143.90747878455298,23.713295030365856,29.08515759976109,25.45648939740339,22.41406006940856,17.36079126243222,12.66008154225422,0.375,0.4666666666666667,0.45454545454545453,0.4827586206896552,0.5277777777777778,0.5348837209302325
