Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
0.0,3.0,-2.0,3.0,,,,,,,,,,,,
3.0,4.0,0.0,2.0,,,,,,,,,,,,
2.0,5.0,1.0,5.0,,,,,,,,,,,,
5.0,6.0,4.0,4.0,,,,,,,,,,,,
4.0,7.0,2.0,7.0,,,,,,,,,,,,
7.0,10.0,6.0,10.0,,,,,,,,,,,,
10.0,10.0,7.0,9.0,,,,,,,,,,,,
9.0,14.0,6.0,12.0,,,,,,,,,,,,
12.0,12.0,9.0,11.0,,,,,,,,,,,,
11.0,13.0,8.0,10.0,,,,,,,,,,,,
10.0,10.0,7.0,9.0,,,,,,,,,,,,
9.0,11.0,6.0,8.0,,,,,,,,,,,,
8.0,10.0,6.0,7.0,,,,,,,,,,,,
7.0,12.0,5.0,10.0,,,,,,,,,,,,
10.0,12.0,9.0,9.0,,,,,,,,,,,,
9.0,14.0,8.0,12.0,,,,,,,,,,,,
12.0,16.0,10.0,15.0,,,,,,,,,,,,
15.0,16.0,14.0,14.0,,,,,,,,,,,,
14.0,17.0,11.0,17.0,,,,,,,,,,,,
17.0,17.0,15.0,16.0,,,,,,,,,,,,
16.0,16.0,14.0,15.0,,,,,,,,,,,,
15.0,17.0,13.0,14.0,,,,,,,,,,,,
14.0,16.0,11.0,13.0,,,,,,,,,,,,
13.0,17.0,12.0,16.0,,,,,,,,,,,,
16.0,20.0,13.0,19.0,,,,,,,,,,,,
19.0,24.0,17.0,22.0,,,,,,,,,,,,
22.0,22.0,20.0,21.0,,,,,,,,,,,,
21.0,22.0,19.0,20.0,,,,,,,,,,,,
20.0,25.0,18.0,23.0,,,,,,,,,,,,
23.0,25.0,20.0,22.0,,,,,,,,,,,,
22.0,26.0,21.0,25.0,,,,,,,,,,,,
25.0,29.0,22.0,28.0,,,,,,,,,,,,
28.0,31.0,27.0,31.0,,,,,,,,,,,,
31.0,33.0,28.0,30.0,,,,,,,,,,,,
30.0,35.0,29.0,33.0,,,,,,,,,,,,
33.0,37.0,31.0,36.0,,,,,,,,,,,,
36.0,36.0,32.0,35.0,,,,,,,,,,,,
35.0,37.0,34.0,34.0,,,,,,,,,,,,
34.0,37.0,32.0,37.0,,,,,,,,,,,,
37.0,40.0,34.0,40.0,,,,,,,,,,,,
40.0,40.0,37.0,39.0,,,,,,,,,,,,
39.0,42.0,36.0,42.0,,,,,,,,,,,,
42.0,42.0,40.0,41.0,,,,,,,,,,,,
41.0,41.0,39.0,40.0,,,,,,,,,,,,
40.0,40.0,37.0,39.0,,,,,,,,,,,,
40.0,41.93807215063018,37.02810377406746,-16.025205826132453,1.831501831501825,-7.509157509157516,-19.780219780219788,-30.219780219780212,-39.047619047619044,-45.360195360195355,0.375,0.4666666666666667,0.5,0.4482758620689655,0.4444444444444444,0.4418604651162791
-16.025205826132453,-14.987122061840756,-16.24545939527481,-667.1550388967681,-300.5544057234056,-305.4686309159606,-284.8203864771249,-263.13024131116646,-243.87598475074563,-229.99978546699077,0.25,0.4,0.45454545454545453,0.4482758620689655,0.4444444444444444,0.4418604651162791
-667.1550388967681,-665.0635537944929,-667.3519764596128,-902.7495077516741,-89.67512975437032,-97.46064331918248,-99.52049237643334,-100.25598973299785,-100.56452825844362,-100.71668839563883,0.25,0.4,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.4418604651162791
-902.7495077516741,-901.3827980908986,-903.4801229577424,-1123.837852681823,-77.46677961925268,-90.74312307306975,-94.77295410686638,-96.55445572112068,-97.5379034642985,-98.12232427193807,0.375,0.4666666666666667,0.5,0.4827586206896552,0.5,0.4418604651162791
-1123.837852681823,-1121.4826068828452,-1123.957805475183,-1332.3929633974594,-67.08005520068812,-85.21159563312439,-90.95460256984927,-93.61318767662182,-95.13969640321757,-96.09169257707457,0.375,0.4666666666666667,0.5454545454545454,0.5172413793103449,0.5,0.46511627906976744
-1332.3929633974594,-1330.9770636284632,-1334.0842143386901,-1532.417521768927,-57.507596402788586,-80.19052577867336,-87.52634343787729,-91.00393947272774,-93.02402163856986,-94.301051073119,0.5,0.4666666666666667,0.5454545454545454,0.5517241379310345,0.5277777777777778,0.46511627906976744
-1532.417521768927,-1531.9184150599722,-1534.9185333818234,-1723.5790693743124,-48.395469327884896,-75.47023381792566,-84.3242457823249,-88.57645792469165,-91.05507097274123,-92.64688447363224,0.625,0.5333333333333333,0.5909090909090909,0.5862068965517241,0.5277777777777778,0.4883720930232558
-1723.5790693743124,-1723.3093857495812,-1725.4259526879487,-1905.9741213097611,-39.50994773130966,-70.90706158881054,-81.23186339291529,-86.23885677835493,-89.16514184129021,-91.06764954474531,0.75,0.6,0.5909090909090909,0.5862068965517241,0.5277777777777778,0.5116279069767442
-1905.9741213097611,-1904.3183792894858,-1907.5506612753034,-2078.783734316204,-31.133032317003217,-66.40963506424171,-78.19604813089667,-83.94871910297891,-87.32387034091086,-89.5302489915892,0.875,0.6,0.5909090909090909,0.5862068965517241,0.5555555555555556,0.5348837209302325
-2078.783734316204,-2077.9150412332565,-2081.254731805142,-2246.817749227338,-27.157029402601673,-61.9217071420015,-75.17569703671033,-81.67383916573863,-85.49713078973761,-88.01048576246484,0.875,0.6,0.5909090909090909,0.5862068965517241,0.5555555555555556,0.5581395348837209
-2246.817749227338,-2245.577607137328,-2249.1147275376798,-2408.0885059280554,-24.058924060909824,-57.50264769186981,-72.20675930687577,-79.43959888380141,-83.70427588218013,-86.5187819857607,0.875,0.6666666666666666,0.6363636363636364,0.6206896551724138,0.5833333333333334,0.5813953488372093
-2408.0885059280554,-2406.2271167111867,-2409.0079605395326,-2561.81992389793,-21.526059049038814,-53.081276967961145,-69.24092395436159,-77.21544756844723,-81.92066774365155,-85.03078544978689,0.875,0.6666666666666666,0.6363636363636364,0.6551724137931034,0.6111111111111112,0.5813953488372093
-2561.81992389793,-2558.8652926128425,-2564.125599365313,-2708.5493717355653,-19.37940852708454,-48.63963415076389,-66.2579138610472,-74.97922552892985,-80.13282775130526,-83.53975120320601,0.875,0.7333333333333333,0.6363636363636364,0.6551724137931034,0.6388888888888888,0.6046511627906976
-2708.5493717355653,-2706.5608342417995,-2711.329993918515,-2849.9506628676486,-17.543566525577546,-44.17362089775515,-63.262375646238524,-72.73423133286457,-78.33823017653219,-82.03994642604383,0.875,0.8,0.6818181818181818,0.6896551724137931,0.6666666666666666,0.6046511627906976
-2849.9506628676486,-2849.293028474278,-2852.8932143764646,-2986.087954215974,-15.988600446164291,-39.70286287399381,-60.26641119355247,-70.48427447251692,-76.53980316834866,-80.53755679042862,0.875,0.8666666666666667,0.7272727272727273,0.6896551724137931,0.6666666666666666,0.6046511627906976
-2986.087954215974,-2984.3854186112712,-2989.0337159491696,-3118.7293047208204,-14.651361457718915,-35.34731635557517,-57.256977477277516,-68.22499443306987,-74.7340432527033,-79.0327443652818,0.875,0.9333333333333333,0.7272727272727273,0.6896551724137931,0.6666666666666666,0.627906976744186
-3118.7293047208204,-3117.775201515208,-3120.9335003203832,-3242.8209726518025,-13.517692496406841,-32.482166927568976,-54.251883103918885,-65.96947531193251,-72.93132133453824,-77.53056299826278,0.875,0.9333333333333333,0.7272727272727273,0.6896551724137931,0.6666666666666666,0.627906976744186
-3242.8209726518025,-3241.841534828703,-3244.9730023524485,-3364.1036125129763,-12.439346290328157,-29.91144355828059,-51.18333295237718,-63.66723851725511,-71.09150182398372,-75.99769156291731,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.6944444444444444,0.6511627906976745
-3364.1036125129763,-3363.1645563429333,-3365.4852037516935,-3477.885791271203,-11.536350489508996,-27.68161534868091,-48.12191512775982,-61.37064466472894,-69.25958188305476,-74.47145395162964,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.7222222222222222,0.6744186046511628
-3477.885791271203,-3476.01392588629,-3479.061299755434,-3588.4294398641564,-10.667699634566008,-25.64117876550306,-45.00111182055332,-59.02604211392766,-67.3892447088887,-72.91610667357813,0.875,0.9333333333333333,0.8181818181818182,0.7241379310344828,0.7222222222222222,0.6976744186046512
-3588.4294398641564,-3586.8699493072104,-3589.0037202176227,-3693.0965111255846,-9.916787046053411,-23.839303009273006,-41.88039902748343,-56.68200588107805,-65.51917845162134,-71.36086371651366,0.875,0.9333333333333333,0.8636363636363636,0.7586206896551724,0.75,0.7209302325581395
-3693.0965111255846,-3690.9987933870934,-3695.79470484343,-3794.110405560113,-9.208385678309972,-22.188529841233517,-38.71539110084833,-54.305384700310896,-63.61992500356137,-69.78126577383243,0.875,0.9333333333333333,0.9090909090909091,0.7931034482758621,0.75,0.7209302325581395
-3794.110405560113,-3791.77126822318,-3796.2692259605424,-3891.3862804582623,-8.58321585503935,-20.705534485066078,-35.60523255817599,-51.915695116339236,-61.71027514766125,-68.19292974094995,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.75,0.7209302325581395
-3891.3862804582623,-3888.954578237045,-3892.457840432656,-3983.4510204883195,-8.031918969159335,-19.360583827608036,-33.26945191194389,-49.50955453144187,-59.7875281057858,-66.5936215905613,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.75,0.7209302325581395
-3983.4510204883195,-3983.176039307347,-3985.6977050337046,-4072.82561697679,-7.5013710164495535,-18.110291943900513,-31.128977082992073,-47.070085157851274,-57.83825043051463,-64.97219895606474,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.7441860465116279
-4072.82561697679,-4070.106778149452,-4075.173749118716,-4156.633598335002,-7.045281658023727,-16.98770036239422,-29.192366057525653,-44.62332781273125,-55.88316034612517,-63.34820914274852,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.7674418604651163
-4156.633598335002,-4155.798960365519,-4159.404201740169,-4238.452610458795,-6.586725497921031,-15.920867580398578,-27.384528083590666,-42.13320179843021,-53.89077644533532,-61.69307264832417,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.7777777777777778,0.7674418604651163
-4238.452610458795,-4236.707372219101,-4240.425312829606,-4316.7513945657,-6.19906905671278,-14.965658428877859,-25.74606333339535,-39.64512782425055,-51.900131685157206,-60.03923798798196,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8055555555555556,0.7906976744186046
-4316.7513945657,-4315.741004711657,-4318.0543389286595,-4389.5926556493705,-5.836561121062179,-14.080950883288102,-24.23232161182012,-37.13617123065627,-49.892937785517546,-58.36931920323495,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8333333333333334,0.7906976744186046
-4389.5926556493705,-4389.10353948683,-4391.3313675074505,-4458.479042435784,-5.4611491454312215,-13.222879989614533,-22.79534506819215,-34.620948509237614,-47.84319269696381,-56.66400232083495,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8333333333333334,0.7906976744186046
-4458.479042435784,-4457.246686825808,-4459.89789635728,-4525.374515010016,-5.104775299177044,-12.417251277166985,-21.446559385667662,-32.594087744602575,-45.76627292801459,-54.93606428544332,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8333333333333334,0.7906976744186046
-4525.374515010016,-4524.121844892176,-4527.6212438733655,-4586.484685423845,-4.796800058358707,-11.687542088454983,-20.210109062613935,-30.73152453090281,-43.68620657997606,-53.2054767957258,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.813953488372093
-4586.484685423845,-4585.012033745508,-4588.820159032241,-4643.525188177081,-4.465369120726614,-10.960513818657546,-19.011513256670753,-28.958142943726052,-41.553223017009486,-51.4308820175174,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.813953488372093
-4643.525188177081,-4643.379776321025,-4645.078420107913,-4697.95824860056,-4.140992552524169,-10.261230730072434,-17.871590892673026,-27.284154180160414,-39.38880617209182,-49.628087935161815,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.813953488372093
-4697.95824860056,-4697.514720705103,-4699.741940827139,-4749.346337811019,-3.854385681327299,-9.614045343187449,-16.806686803713543,-25.72020742334109,-37.209610391774696,-47.81303330362644,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8372093023255814
-4749.346337811019,-4748.799001482107,-4750.989846936792,-4800.268046746362,-3.5934680167258537,-9.003460241229732,-15.80242314935808,-24.248591211678182,-35.00839981451567,-45.97970072848988,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8604651162790697
-4800.268046746362,-4798.2024314996825,-4801.3838570566295,-4847.093541705886,-3.3939779193100317,-8.4715855713978,-14.895917871371955,-22.89879724880832,-32.85023243490309,-44.15344877094688,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8604651162790697
-4847.093541705886,-4845.619395518126,-4849.283074009523,-4891.428629327378,-3.181889810216565,-7.9474328792446425,-14.020080612377795,-21.603893672908015,-31.03504973660336,-42.292355205625675,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8604651162790697
-4891.428629327378,-4891.275980452744,-4892.291391146642,-4934.628455219186,-2.990349636039369,-7.4558800217926375,-13.194435244298008,-20.383526155223187,-29.330300555779274,-40.4154715809357,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
-4934.628455219186,-4931.8593214688835,-4936.608000481559,-4976.730904908915,-2.8317394332242785,-7.018593869838707,-12.438815145009185,-19.25194366543431,-27.742530674137388,-38.53588242844126,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
-4976.730904908915,-4975.471501366861,-4978.168133653554,-5013.749746085317,-2.69730181173532,-6.6281582671205985,-11.745424770927503,-18.20205947528931,-26.26160317525754,-36.65529281930458,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
