Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
83.0,85.0,81.0,82.0,,,,,,,,,,,,
82.0,84.0,80.0,81.0,,,,,,,,,,,,
81.0,81.0,78.0,80.0,,,,,,,,,,,,
80.0,80.0,76.0,79.0,,,,,,,,,,,,
79.0,79.0,75.0,78.0,,,,,,,,,,,,
78.0,80.0,77.0,77.0,,,,,,,,,,,,
77.0,80.0,74.0,80.0,,,,,,,,,,,,
80.0,82.0,78.0,79.0,,,,,,,,,,,,
79.0,84.0,76.0,82.0,,,,,,,,,,,,
82.0,83.0,79.0,81.0,,,,,,,,,,,,
81.0,82.0,79.0,80.0,,,,,,,,,,,,
80.0,84.0,78.0,83.0,,,,,,,,,,,,
83.0,85.0,81.0,82.0,,,,,,,,,,,,
82.0,86.0,80.0,85.0,,,,,,,,,,,,
85.0,90.0,84.0,88.0,,,,,,,,,,,,
88.0,89.0,85.0,87.0,,,,,,,,,,,,
87.0,87.0,84.0,86.0,,,,,,,,,,,,
86.0,90.0,83.0,89.0,,,,,,,,,,,,
89.0,93.0,88.0,92.0,,,,,,,,,,,,
92.0,95.0,89.0,95.0,,,,,,,,,,,,
95.0,100.0,92.0,98.0,,,,,,,,,,,,
98.0,102.0,97.0,101.0,,,,,,,,,,,,
101.0,103.0,100.0,100.0,,,,,,,,,,,,
100.0,105.0,97.0,103.0,,,,,,,,,,,,
103.0,107.0,100.0,106.0,,,,,,,,,,,,
106.0,109.0,105.0,109.0,,,,,,,,,,,,
109.0,110.0,107.0,108.0,,,,,,,,,,,,
108.0,111.0,107.0,111.0,,,,,,,,,,,,
111.0,112.0,108.0,110.0,,,,,,,,,,,,
110.0,111.0,108.0,109.0,,,,,,,,,,,,
109.0,113.0,107.0,112.0,,,,,,,,,,,,
112.0,116.0,110.0,115.0,,,,,,,,,,,,
115.0,118.0,114.0,118.0,,,,,,,,,,,,
118.0,121.0,117.0,121.0,,,,,,,,,,,,
121.0,124.0,118.0,124.0,,,,,,,,,,,,
124.0,124.0,120.0,123.0,,,,,,,,,,,,
123.0,125.0,121.0,122.0,,,,,,,,,,,,
122.0,124.0,121.0,121.0,,,,,,,,,,,,
121.0,123.0,119.0,120.0,,,,,,,,,,,,
120.0,123.0,119.0,123.0,,,,,,,,,,,,
123.0,123.0,119.0,122.0,,,,,,,,,,,,
122.0,126.0,119.0,125.0,,,,,,,,,,,,
125.0,128.0,124.0,128.0,,,,,,,,,,,,
128.0,133.0,125.0,131.0,,,,,,,,,,,,
131.0,133.0,128.0,130.0,,,,,,,,,,,,
131.0,132.82421020080724,129.64636290626265,104.57501981556325,-3.4065934065934056,-5.329670329670333,-8.864468864468854,-13.02197802197802,-17.428571428571427,-21.00732600732601,0.5,0.5333333333333333,0.5454545454545454,0.6206896551724138,0.5833333333333334,0.5348837209302325
104.57501981556325,130.35477330417808,102.91889692194313,128.45947191269258,17.970678075159043,16.975150801241302,13.228125116080157,8.656617497687314,3.318173648654943,-1.219808118716259,0.5,0.4666666666666667,0.5,0.5862068965517241,0.5833333333333334,0.5348837209302325
128.45947191269258,129.7803471782835,127.49199048138716,105.93626622121359,-3.356457344784236,-4.192434832714309,-7.103015433778537,-10.5322468131263,-14.88066937164213,-18.6507466707873,0.5,0.4666666666666667,0.5,0.5862068965517241,0.5833333333333334,0.5581395348837209
105.93626622121359,129.24042917793074,103.5712024884397,128.60291474306476,15.024787797317973,15.161611442253253,12.55513056360822,8.858267641481499,3.8621992884439793,-0.7046560131512836,0.5,0.4,0.5,0.5517241379310345,0.5833333333333334,0.5581395348837209
128.60291474306476,130.6442722833774,126.31499070634246,106.60473787330835,-4.8484493745863055,-4.880312276743037,-6.631247794982087,-9.478454912249424,-13.475107677136311,-17.305923882491058,0.5,0.4,0.5,0.5517241379310345,0.5833333333333334,0.5581395348837209
106.60473787330835,130.8063586645206,105.09156485460817,129.8292726424772,11.91922975430828,13.649358529155897,12.483985269491793,9.388679142621337,4.878169277626521,0.3747582005048766,0.375,0.4,0.5,0.5172413793103449,0.5555555555555556,0.5581395348837209
129.8292726424772,132.57549140785008,129.58156452941896,107.32469622114571,-8.230284034523294,-6.250083638643423,-6.873754037910773,-9.358772922550674,-12.940441975619088,-16.703654056360627,0.375,0.4666666666666667,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5581395348837209
107.32469622114571,131.10723552518323,104.71106888722346,128.36377447495988,7.994366360894123,12.497897830822069,12.446154992953451,9.791411869025035,5.882496745711152,1.3464956227045688,0.375,0.4666666666666667,0.5,0.5172413793103449,0.5833333333333334,0.5581395348837209
