Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
6.0,8.0,5.0,5.0,,,,,,,,,,,,
5.0,7.0,2.0,4.0,,,,,,,,,,,,
4.0,6.0,3.0,3.0,,,,,,,,,,,,
3.0,7.0,2.0,6.0,,,,,,,,,,,,
6.0,8.0,3.0,5.0,,,,,,,,,,,,
5.0,7.0,2.0,4.0,,,,,,,,,,,,
4.0,8.0,2.0,7.0,,,,,,,,,,,,
7.0,12.0,4.0,10.0,,,,,,,,,,,,
10.0,15.0,7.0,13.0,,,,,,,,,,,,
13.0,14.0,10.0,12.0,,,,,,,,,,,,
12.0,12.0,9.0,11.0,,,,,,,,,,,,
11.0,15.0,9.0,14.0,,,,,,,,,,,,
14.0,17.0,12.0,17.0,,,,,,,,,,,,
17.0,19.0,14.0,16.0,,,,,,,,,,,,
16.0,21.0,13.0,19.0,,,,,,,,,,,,
19.0,24.0,18.0,22.0,,,,,,,,,,,,
22.0,25.0,19.0,25.0,,,,,,,,,,,,
25.0,30.0,24.0,28.0,,,,,,,,,,,,
28.0,28.0,26.0,27.0,,,,,,,,,,,,
27.0,29.0,26.0,26.0,,,,,,,,,,,,
26.0,27.0,25.0,25.0,,,,,,,,,,,,
25.0,25.0,22.0,24.0,,,,,,,,,,,,
24.0,28.0,21.0,27.0,,,,,,,,,,,,
27.0,31.0,25.0,30.0,,,,,,,,,,,,
30.0,30.0,27.0,29.0,,,,,,,,,,,,
29.0,33.0,26.0,32.0,,,,,,,,,,,,
32.0,37.0,29.0,35.0,,,,,,,,,,,,
35.0,37.0,33.0,34.0,,,,,,,,,,,,
34.0,38.0,33.0,37.0,,,,,,,,,,,,
37.0,42.0,36.0,40.0,,,,,,,,,,,,
40.0,41.0,39.0,39.0,,,,,,,,,,,,
39.0,41.0,38.0,38.0,,,,,,,,,,,,
38.0,38.0,36.0,37.0,,,,,,,,,,,,
37.0,41.0,36.0,40.0,,,,,,,,,,,,
40.0,41.0,37.0,39.0,,,,,,,,,,,,
39.0,41.0,38.0,38.0,,,,,,,,,,,,
38.0,39.0,35.0,37.0,,,,,,,,,,,,
37.0,38.0,35.0,36.0,,,,,,,,,,,,
36.0,39.0,35.0,39.0,,,,,,,,,,,,
39.0,44.0,38.0,42.0,,,,,,,,,,,,
42.0,46.0,41.0,45.0,,,,,,,,,,,,
45.0,47.0,42.0,44.0,,,,,,,,,,,,
44.0,47.0,42.0,47.0,,,,,,,,,,,,
47.0,49.0,45.0,46.0,,,,,,,,,,,,
46.0,47.0,43.0,45.0,,,,,,,,,,,,
46.0,48.04390441567276,45.87835432317908,2.699004651207634,-2.2222222222222254,-9.047619047619037,-13.33333333333333,-20.158730158730155,-28.253968253968253,-37.195767195767196,0.5,0.3333333333333333,0.4090909090909091,0.41379310344827586,0.4722222222222222,0.4883720930232558
2.699004651207634,2877.560375912672,-0.05930992912212085,2877.198971138489,1338.0910201186284,1323.0087281848812,1298.5737902736792,1197.699299486475,1087.4208136579093,944.2112288299434,0.375,0.3333333333333333,0.4090909090909091,0.3793103448275862,0.4722222222222222,0.46511627906976744
2877.198971138489,2879.637731980207,2875.6711222787185,2653.16011527905,-84.57379651452013,-91.61412091195594,-93.97910124812053,-95.24475761940461,-96.04287958456158,-96.64364542069357,0.375,0.4,0.4090909090909091,0.41379310344827586,0.4722222222222222,0.4883720930232558
2653.16011527905,2655.854909029521,2652.3021062980065,2444.9954415684947,-69.22775729022264,-83.87082941861516,-88.77159631525676,-91.30678429486245,-92.86989551716695,-93.98286445871923,0.25,0.3333333333333333,0.36363636363636365,0.41379310344827586,0.4444444444444444,0.4883720930232558
2444.9954415684947,2446.58799197566,2444.045532104259,2256.0558699820126,-52.57920733772883,-75.46868481436739,-83.11993438226106,-87.03174103883305,-89.42439917558815,-91.09643531124847,0.25,0.3333333333333333,0.36363636363636365,0.41379310344827586,0.4444444444444444,0.46511627906976744
2256.0558699820126,2258.388441692378,2254.8743101181685,2083.687188070023,-34.619720700561906,-66.39169666515686,-77.02245902121115,-82.4122431185501,-85.70563591240287,-87.98038315012577,0.125,0.3333333333333333,0.3181818181818182,0.41379310344827586,0.4166666666666667,0.4418604651162791
2083.687188070023,2083.995793533916,2081.004672996066,1928.861452351244,-15.240934014393638,-56.595498241279294,-70.45119809337037,-77.43218185176282,-81.69618786883902,-84.6199876242367,0.125,0.3333333333333333,0.2727272727272727,0.3793103448275862,0.3888888888888889,0.4186046511627907
1928.861452351244,1929.6883761553406,1927.4930554640716,1794.889042247765,5.514932698281116,-46.10196443199811,-63.41375368410641,-72.10482820489817,-77.40686718219507,-81.01932591683052,0.125,0.3333333333333333,0.2727272727272727,0.3448275862068966,0.3611111111111111,0.4186046511627907
1794.889042247765,1795.7214362653808,1793.9168611452822,1684.1913870127116,27.65491111641083,-35.0913036907509,-56.021828289441125,-66.50897813356534,-72.90792007641802,-77.23622771132695,0.125,0.26666666666666666,0.2727272727272727,0.3448275862068966,0.3333333333333333,0.4186046511627907
1684.1913870127116,1685.2804888397502,1681.8723465265766,1584.777797342779,25.925970943613684,-23.860288551782304,-48.47396342236363,-60.804127015588996,-68.31588717746054,-73.37886184049327,0.0,0.2,0.2727272727272727,0.3103448275862069,0.3333333333333333,0.3953488372093023
