Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
86.0,91.0,83.0,89.0,,,,,,,,,,,,
89.0,89.0,85.0,88.0,,,,,,,,,,,,
88.0,88.0,86.0,87.0,,,,,,,,,,,,
87.0,88.0,86.0,86.0,,,,,,,,,,,,
86.0,90.0,84.0,89.0,,,,,,,,,,,,
89.0,89.0,86.0,88.0,,,,,,,,,,,,
88.0,90.0,87.0,87.0,,,,,,,,,,,,
87.0,90.0,86.0,90.0,,,,,,,,,,,,
90.0,93.0,88.0,93.0,,,,,,,,,,,,
93.0,93.0,90.0,92.0,,,,,,,,,,,,
92.0,95.0,89.0,95.0,,,,,,,,,,,,
95.0,97.0,94.0,94.0,,,,,,,,,,,,
94.0,98.0,91.0,97.0,,,,,,,,,,,,
97.0,100.0,96.0,100.0,,,,,,,,,,,,
100.0,101.0,98.0,99.0,,,,,,,,,,,,
99.0,104.0,98.0,102.0,,,,,,,,,,,,
102.0,106.0,100.0,105.0,,,,,,,,,,,,
105.0,105.0,102.0,104.0,,,,,,,,,,,,
104.0,106.0,101.0,103.0,,,,,,,,,,,,
103.0,103.0,99.0,102.0,,,,,,,,,,,,
102.0,104.0,100.0,101.0,,,,,,,,,,,,
101.0,102.0,98.0,100.0,,,,,,,,,,,,
100.0,103.0,99.0,103.0,,,,,,,,,,,,
103.0,107.0,101.0,106.0,,,,,,,,,,,,
106.0,111.0,104.0,109.0,,,,,,,,,,,,
109.0,114.0,107.0,112.0,,,,,,,,,,,,
112.0,112.0,110.0,111.0,,,,,,,,,,,,
111.0,111.0,107.0,110.0,,,,,,,,,,,,
110.0,114.0,109.0,113.0,,,,,,,,,,,,
113.0,117.0,111.0,116.0,,,,,,,,,,,,
116.0,116.0,112.0,115.0,,,,,,,,,,,,
115.0,120.0,113.0,118.0,,,,,,,,,,,,
118.0,118.0,116.0,117.0,,,,,,,,,,,,
117.0,122.0,116.0,120.0,,,,,,,,,,,,
120.0,121.0,118.0,119.0,,,,,,,,,,,,
119.0,119.0,116.0,118.0,,,,,,,,,,,,
118.0,119.0,115.0,117.0,,,,,,,,,,,,
117.0,120.0,115.0,120.0,,,,,,,,,,,,
120.0,122.0,119.0,119.0,,,,,,,,,,,,
119.0,119.0,116.0,118.0,,,,,,,,,,,,
118.0,121.0,116.0,121.0,,,,,,,,,,,,
121.0,123.0,119.0,120.0,,,,,,,,,,,,
120.0,120.0,118.0,119.0,,,,,,,,,,,,
119.0,124.0,116.0,122.0,,,,,,,,,,,,
122.0,122.0,118.0,121.0,,,,,,,,,,,,
122.0,284.8868167200417,121.54414144570931,282.7704208331997,-0.8264462809917328,-1.475796930342388,-3.384494293585205,-6.316410861865407,-8.713105076741446,-11.629279811097993,0.25,0.3333333333333333,0.4090909090909091,0.3793103448275862,0.4444444444444444,0.4418604651162791
282.7704208331997,11620.02397050033,281.6426003202766,11617.67302235004,-49.28897655482539,-53.67846428132943,-55.731033153909415,-57.65405717075478,-59.040266063710156,-60.52855135288424,0.375,0.3333333333333333,0.4090909090909091,0.41379310344827586,0.4444444444444444,0.46511627906976744
11617.67302235004,42919.72921572438,11615.222164736426,42918.40507892221,-84.62509486424057,-91.80162633163009,-94.20650990869832,-95.42954839622932,-96.16902789563665,-96.67656513035374,0.5,0.4,0.4090909090909091,0.4482758620689655,0.4722222222222222,0.46511627906976744
42918.40507892221,73704.08326788933,42917.24293707208,73703.72048343364,-81.59269618030729,-90.65787935787132,-93.68215899145237,-95.19987417186243,-96.1123007107679,-96.7243019791179,0.5,0.4,0.45454545454545453,0.4827586206896552,0.4722222222222222,0.4883720930232558
73703.72048343364,102856.73487496166,73703.0028262562,102856.53590616128,-75.0187898714773,-87.42866631090163,-91.56626092186025,-93.63830481669375,-94.88288793720454,-95.71438675798767,0.625,0.4666666666666667,0.5,0.5172413793103449,0.4722222222222222,0.5116279069767442
102856.53590616128,130285.05276653405,102853.73071004542,130282.5172948368,-67.8300733747919,-83.8571196789661,-89.19997770928853,-91.8734553476496,-93.47884749392583,-94.55019689415961,0.75,0.5333333333333333,0.5,0.5517241379310345,0.5,0.5116279069767442
130282.5172948368,155996.63121057817,130281.08175021005,155995.15040447962,-60.32987939062544,-80.11894075955917,-86.71584280827112,-90.01558224143545,-91.99671979273309,-93.31819089705243,0.75,0.6,0.5,0.5517241379310345,0.5,0.5116279069767442
155995.15040447962,180046.3384150828,155994.98284985733,180044.8108486092,-52.59405992807329,-76.2585672298783,-84.14707211625436,-88.09230902228097,-90.46067831027246,-92.04000326965658,0.875,0.6,0.5454545454545454,0.5517241379310345,0.5,0.5348837209302325
180044.8108486092,202494.94726785054,180042.99422815855,202492.903533855,-44.66307663300731,-72.29171607066138,-81.50585850680005,-86.1136239964755,-88.87940999391581,-90.72357148262728,0.875,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.5277777777777778,0.5348837209302325
202492.903533855,223454.23716229145,202491.0548196039,223451.27537087124,-37.3315573711463,-68.22472465972913,-78.79694097543812,-84.0835958896667,-87.25653419761194,-89.37209684154541,0.875,0.7333333333333333,0.5909090909090909,0.5517241379310345,0.5555555555555556,0.5581395348837209
223451.27537087124,243062.54216152083,223449.26391279936,243060.41436685933,-31.66762692810956,-64.0660631559996,-76.02631159538961,-82.00680342478837,-85.5959552128677,-87.989010766138,0.875,0.7333333333333333,0.5909090909090909,0.5862068965517241,0.5833333333333334,0.5581395348837209
243060.41436685933,261418.56339265764,243059.07027903854,261417.7374600962,-27.226581509376167,-59.825738319531865,-73.20083920592695,-79.88861005288179,-83.90206013714734,-86.57803637694683,0.875,0.8,0.6363636363636364,0.6206896551724138,0.6111111111111112,0.5581395348837209
261417.7374600962,278596.9233857686,261415.81726295647,278596.72351577407,-23.671983893331884,-55.50725686316884,-70.32297935570877,-77.73099088143059,-82.17644263232971,-85.14050520167073,0.875,0.8666666666666667,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.5813953488372093
278596.72351577407,294655.2270857859,278593.8415761944,294654.0455156438,-20.77339829605692,-51.11106390516375,-67.39303535859236,-75.53421337553856,-80.41940219322092,-83.67669896606169,0.875,0.8666666666666667,0.7272727272727273,0.6206896551724138,0.6388888888888888,0.5813953488372093
294654.0455156438,309639.58448148926,294652.0432608504,309638.4242362571,-18.368291985790254,-46.635367409786674,-64.4100030311034,-73.29745417003227,-78.63034180725371,-82.18614162565126,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.5813953488372093
309638.4242362571,323593.4290103916,309636.6255193926,323593.1008644315,-16.33967778145452,-42.08151599422487,-61.37224042381298,-71.01960693974429,-76.80834980663708,-80.66805766958265,0.875,0.9333333333333333,0.7727272727272727,0.6551724137931034,0.6388888888888888,0.6046511627906976
323593.1008644315,336572.0040428233,323590.27901598666,336570.820947191,-14.60122886416675,-37.69278769850632,-58.277861320140744,-68.69922441897215,-74.95231599062251,-79.12153668160316,0.875,0.9333333333333333,0.8181818181818182,0.6896551724137931,0.6388888888888888,0.627906976744186
336570.820947191,348639.03678623,336569.24744265765,348638.7436599089,-13.092743489255676,-33.86324688392007,-55.12641829105067,-66.33598517942933,-73.06192055898897,-77.54635144672707,0.875,0.9333333333333333,0.8181818181818182,0.6896551724137931,0.6666666666666666,0.6511627906976745
