Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
49.0,52.0,48.0,52.0,,,,,,,,,,,,
52.0,55.0,49.0,55.0,,,,,,,,,,,,
55.0,58.0,53.0,58.0,,,,,,,,,,,,
58.0,61.0,56.0,61.0,,,,,,,,,,,,
61.0,62.0,59.0,60.0,,,,,,,,,,,,
60.0,60.0,58.0,59.0,,,,,,,,,,,,
59.0,64.0,56.0,62.0,,,,,,,,,,,,
62.0,66.0,59.0,65.0,,,,,,,,,,,,
65.0,70.0,63.0,68.0,,,,,,,,,,,,
68.0,73.0,67.0,71.0,,,,,,,,,,,,
71.0,71.0,68.0,70.0,,,,,,,,,,,,
70.0,74.0,68.0,73.0,,,,,,,,,,,,
73.0,77.0,72.0,76.0,,,,,,,,,,,,
76.0,80.0,73.0,79.0,,,,,,,,,,,,
79.0,81.0,76.0,78.0,,,,,,,,,,,,
78.0,80.0,75.0,77.0,,,,,,,,,,,,
77.0,81.0,76.0,80.0,,,,,,,,,,,,
80.0,81.0,77.0,79.0,,,,,,,,,,,,
79.0,82.0,77.0,82.0,,,,,,,,,,,,
82.0,84.0,79.0,81.0,,,,,,,,,,,,
81.0,83.0,80.0,80.0,,,,,,,,,,,,
80.0,85.0,79.0,83.0,,,,,,,,,,,,
83.0,84.0,82.0,82.0,,,,,,,,,,,,
82.0,86.0,81.0,85.0,,,,,,,,,,,,
85.0,89.0,84.0,88.0,,,,,,,,,,,,
88.0,92.0,86.0,91.0,,,,,,,,,,,,
91.0,95.0,90.0,94.0,,,,,,,,,,,,
94.0,97.0,91.0,97.0,,,,,,,,,,,,
97.0,97.0,93.0,96.0,,,,,,,,,,,,
96.0,97.0,95.0,95.0,,,,,,,,,,,,
95.0,97.0,93.0,94.0,,,,,,,,,,,,
94.0,98.0,92.0,97.0,,,,,,,,,,,,
97.0,98.0,95.0,96.0,,,,,,,,,,,,
96.0,97.0,93.0,95.0,,,,,,,,,,,,
95.0,96.0,94.0,94.0,,,,,,,,,,,,
94.0,99.0,93.0,97.0,,,,,,,,,,,,
97.0,101.0,96.0,100.0,,,,,,,,,,,,
100.0,104.0,98.0,103.0,,,,,,,,,,,,
103.0,107.0,102.0,106.0,,,,,,,,,,,,
106.0,106.0,103.0,105.0,,,,,,,,,,,,
105.0,107.0,103.0,104.0,,,,,,,,,,,,
104.0,104.0,102.0,103.0,,,,,,,,,,,,
103.0,105.0,100.0,102.0,,,,,,,,,,,,
102.0,102.0,100.0,101.0,,,,,,,,,,,,
101.0,105.0,99.0,104.0,,,,,,,,,,,,
101.0,464.8074443582113,98.51573009892255,464.1874879700507,-0.4120879120879106,-3.3653846153846145,-5.586080586080588,-9.546703296703296,-12.994505494505503,-17.28479853479854,0.25,0.4,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.5116279069767442
464.1874879700507,20656.44550104915,462.90670754461524,20653.555500735325,-66.66410152787421,-72.69903196522114,-74.98765712071435,-76.77056634122029,-78.08036265971774,-79.39980846176876,0.25,0.4,0.45454545454545453,0.4827586206896552,0.5,0.5116279069767442
20653.555500735325,52273.73966773444,20650.57100347439,52272.46493392974,-85.037690008016,-92.2767559361077,-94.69692530366676,-95.92067072770638,-96.66031310992906,-97.16297631361834,0.375,0.4666666666666667,0.45454545454545453,0.4827586206896552,0.5,0.5348837209302325
52272.46493392974,82636.79667166382,52270.00627522326,82636.298452921,-79.8308978552733,-89.81856645383928,-93.15134213288934,-94.82230763513962,-95.82745589348188,-96.50078870305826,0.5,0.5333333333333333,0.45454545454545453,0.5172413793103449,0.5,0.5581395348837209
82636.298452921,111302.40298148274,82635.54678227504,111301.49783764215,-72.9739128303593,-86.4248944457475,-90.9114938518435,-93.15682483104982,-94.50620163811354,-95.40737085968378,0.625,0.6,0.45454545454545453,0.5517241379310345,0.5,0.5581395348837209
111301.49783764215,138229.62097244707,111301.40854713168,138229.50814331946,-65.66173740299853,-82.78446963396992,-88.49440015514122,-91.35048849135863,-93.06596408440005,-94.21061989985037,0.75,0.6,0.5,0.5517241379310345,0.5277777777777778,0.5581395348837209
138229.50814331946,163455.57225566465,138227.91937572326,163453.6756075646,-58.075778897893414,-79.00047754868828,-85.97713401139632,-89.46615984033802,-91.5612082327972,-92.9586478202705,0.875,0.6,0.5454545454545454,0.5862068965517241,0.5555555555555556,0.5581395348837209
163453.6756075646,187026.78443753204,163453.4477561342,187026.43035811748,-50.26889896226015,-75.10276728487892,-83.38197611374154,-87.52217047251685,-90.00773791387242,-91.66535096932961,0.875,0.6,0.5909090909090909,0.5862068965517241,0.5555555555555556,0.5581395348837209
187026.43035811748,209019.5000787437,187026.0585911749,209019.19980636216,-42.286733836995225,-71.10199814794103,-80.71707178926444,-85.52512419786333,-88.41122360743117,-90.33578637256406,0.875,0.6,0.5909090909090909,0.5862068965517241,0.5833333333333334,0.5813953488372093
209019.19980636216,229570.07959787446,209016.98373623932,229568.3488099109,-35.48514230720481,-67.00334504393177,-77.98628253098903,-83.47828095928259,-86.77455988971494,-88.97252342840818,0.875,0.6666666666666666,0.6363636363636364,0.5862068965517241,0.5833333333333334,0.5813953488372093
229568.3488099109,248801.4663872208,229565.57734362126,248800.5483897317,-30.227131245701976,-62.8173242418537,-75.19684280484604,-81.38720881507902,-85.10226228430325,-87.57945205439513,0.875,0.7333333333333333,0.6818181818181818,0.5862068965517241,0.6111111111111112,0.5813953488372093
248800.5483897317,266805.73789250077,248798.00636001077,266804.44496237626,-26.079675508017665,-58.551632603699645,-72.35401294661297,-79.25593520189469,-83.39762828745239,-86.15935990371935,0.875,0.8,0.7272727272727273,0.5862068965517241,0.6388888888888888,0.5813953488372093
266804.44496237626,283649.80111931113,266803.22944548156,283646.86363768065,-22.74158720680475,-54.208431558183264,-69.4593836582859,-77.08559593509482,-81.66169810752949,-84.7130664903622,0.875,0.8666666666666667,0.7272727272727273,0.6206896551724138,0.6388888888888888,0.6046511627906976
283646.86363768065,299382.5481028572,283644.55790940294,299380.79452247877,-20.005183749456634,-49.787135253923786,-66.51260221874877,-74.87597784771914,-79.8942751930553,-83.24046988835228,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6666666666666666,0.627906976744186
299380.79452247877,314056.20557328616,299378.2936242483,314055.08834935474,-17.723196771767245,-45.28569203959425,-63.51226295483665,-72.62606137598584,-78.09459810337779,-81.74094934757433,0.875,0.9333333333333333,0.7272727272727273,0.6896551724137931,0.6666666666666666,0.627906976744186
314055.08834935474,327713.664386463,314053.74994224927,327712.2415436008,-15.789328635302669,-40.70993056360438,-60.45686305868683,-70.33478925498183,-76.2617906075535,-80.21375409222959,0.875,0.9333333333333333,0.7272727272727273,0.6896551724137931,0.6666666666666666,0.6511627906976745
327712.2415436008,340415.7244793066,327710.6162792462,340412.95954058226,-14.124646107811579,-36.48810851273907,-57.34441355192441,-68.00068152002014,-74.3947125728337,-78.6579739060141,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.6511627906976745
340412.95954058226,352221.0499286939,340410.4411889734,352218.5420832261,-12.676946269946932,-32.811692172709186,-54.17543231825408,-65.62413579433591,-72.49368521350246,-77.07385344477734,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.6666666666666666,0.6744186046511628
352218.5420832261,363183.2378526426,352217.44821221376,363182.35651853436,-11.409266298925736,-29.596670232498656,-50.9508577299276,-63.205862914933405,-70.55927973012423,-75.46187532091818,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.6666666666666666,0.6976744186046512
363182.35651853436,373350.1771357729,363180.18055151217,373348.5889724641,-10.292651089844028,-26.768173944225136,-47.6709946990846,-60.74613625476988,-68.59165387125145,-73.82222840204925,0.875,0.9333333333333333,0.9090909090909091,0.7931034482758621,0.6944444444444444,0.6976744186046512
373348.5889724641,382758.0198380642,373346.31128649873,382755.5962707287,-9.303046553668404,-24.263998846665956,-44.335290008856695,-58.244541769242986,-66.59048311564864,-72.15461620009384,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.7222222222222222,0.7209302325581395
382755.5962707287,391437.97755169164,382754.9639382093,391437.754443397,-8.420285604656518,-22.032827877041917,-40.94275404611373,-55.70030068061709,-64.55514964197636,-70.45855023787762,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.75,0.7209302325581395
391437.754443397,399430.70031189924,391435.56871381396,399428.94321322785,-7.627421121925493,-20.032107310907833,-37.496396293606246,-53.11241435454128,-62.48488780633854,-68.73336767059384,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.75,0.7209302325581395
399428.94321322785,406771.50214601343,399427.6958261337,406770.89164666773,-6.910503633944531,-18.22695252177604,-34.23119919512829,-50.479982704160186,-60.378979014912936,-66.9784946763682,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.7209302325581395
