Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
89.0,89.0,86.0,88.0,,,,,,,,,,,,
88.0,88.0,86.0,87.0,,,,,,,,,,,,
87.0,90.0,84.0,90.0,,,,,,,,,,,,
90.0,93.0,87.0,93.0,,,,,,,,,,,,
93.0,96.0,90.0,96.0,,,,,,,,,,,,
96.0,99.0,95.0,99.0,,,,,,,,,,,,
99.0,100.0,97.0,98.0,,,,,,,,,,,,
98.0,98.0,96.0,97.0,,,,,,,,,,,,
97.0,101.0,94.0,100.0,,,,,,,,,,,,
100.0,102.0,97.0,99.0,,,,,,,,,,,,
99.0,104.0,98.0,102.0,,,,,,,,,,,,
102.0,102.0,100.0,101.0,,,,,,,,,,,,
101.0,105.0,99.0,104.0,,,,,,,,,,,,
104.0,104.0,101.0,103.0,,,,,,,,,,,,
103.0,108.0,102.0,106.0,,,,,,,,,,,,
106.0,111.0,105.0,109.0,,,,,,,,,,,,
109.0,112.0,108.0,112.0,,,,,,,,,,,,
112.0,116.0,110.0,115.0,,,,,,,,,,,,
115.0,120.0,114.0,118.0,,,,,,,,,,,,
118.0,121.0,115.0,121.0,,,,,,,,,,,,
121.0,121.0,118.0,120.0,,,,,,,,,,,,
120.0,124.0,119.0,123.0,,,,,,,,,,,,
123.0,124.0,122.0,122.0,,,,,,,,,,,,
122.0,122.0,120.0,121.0,,,,,,,,,,,,
121.0,126.0,119.0,124.0,,,,,,,,,,,,
124.0,127.0,123.0,127.0,,,,,,,,,,,,
127.0,131.0,126.0,130.0,,,,,,,,,,,,
130.0,132.0,128.0,129.0,,,,,,,,,,,,
129.0,129.0,127.0,128.0,,,,,,,,,,,,
128.0,128.0,126.0,127.0,,,,,,,,,,,,
127.0,129.0,125.0,126.0,,,,,,,,,,,,
126.0,127.0,124.0,125.0,,,,,,,,,,,,
125.0,128.0,124.0,128.0,,,,,,,,,,,,
128.0,132.0,127.0,131.0,,,,,,,,,,,,
131.0,134.0,129.0,134.0,,,,,,,,,,,,
134.0,134.0,131.0,133.0,,,,,,,,,,,,
133.0,136.0,132.0,136.0,,,,,,,,,,,,
136.0,136.0,133.0,135.0,,,,,,,,,,,,
135.0,138.0,132.0,138.0,,,,,,,,,,,,
138.0,141.0,135.0,141.0,,,,,,,,,,,,
141.0,146.0,139.0,144.0,,,,,,,,,,,,
144.0,146.0,143.0,143.0,,,,,,,,,,,,
143.0,144.0,140.0,142.0,,,,,,,,,,,,
142.0,147.0,139.0,145.0,,,,,,,,,,,,
145.0,148.0,142.0,148.0,,,,,,,,,,,,
145.0,665.4549120727565,144.33389414872693,663.8740699143112,-3.378378378378377,-7.191119691119685,-9.459459459459463,-11.82432432432432,-15.231660231660237,-18.388030888030883,0.625,0.6,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5813953488372093
663.8740699143112,21199.313459307603,661.0053007644436,21198.90455578413,-67.14363807600286,-73.51182162097103,-75.94298432771251,-77.38989182489733,-78.68410680204715,-79.75851744549632,0.625,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5813953488372093
21198.90455578413,52693.39130223904,21198.173454442294,52690.702281051665,-84.78036005097242,-92.07075651218108,-94.51324330250787,-95.74038322877131,-96.48893196921745,-96.99593881919304,0.625,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.6111111111111112,0.5813953488372093
52690.702281051665,82978.54267589503,52690.436208265106,82978.08049932476,-79.63005191368636,-89.68475087192076,-93.04237229413474,-94.72301309228277,-95.73589822967256,-96.41490553668322,0.625,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.6111111111111112,0.5813953488372093
82978.08049932476,111584.90111449153,82977.93738105481,111584.75705580013,-72.80408091673934,-86.31854164293699,-90.82743639764597,-93.08287370941024,-94.43871853405949,-95.34534099017141,0.75,0.6666666666666666,0.5909090909090909,0.5862068965517241,0.6388888888888888,0.6046511627906976
111584.75705580013,138466.7978956677,111582.75058617757,138465.33699508558,-65.50868908079678,-82.69167597053844,-88.42253890909345,-91.28870652602508,-93.0100202197392,-94.15976045637106,0.875,0.7333333333333333,0.6363636363636364,0.5862068965517241,0.6388888888888888,0.627906976744186
138465.33699508558,163648.38253348775,138463.64076608597,163647.12671796474,-57.93380863343729,-78.91593746096764,-85.91255969779714,-89.41156722567813,-91.51210663190724,-92.91430613267448,0.875,0.7333333333333333,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.627906976744186
163647.12671796474,187183.43184459393,163646.53058891106,187183.13233364746,-50.134100502776036,-75.02335868072987,-83.32207686397855,-87.4721124984053,-89.96302429668513,-91.62513074088562,0.875,0.8,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6511627906976745
187183.13233364746,209144.96244867102,187182.25582044106,209142.6874038694,-42.169083980433605,-71.02627689324702,-80.66039836595439,-85.4782795364287,-88.36966458600979,-90.29851389003967,0.875,0.8,0.7727272727272727,0.6551724137931034,0.6388888888888888,0.6511627906976745
209142.6874038694,229668.68821584506,209140.44661614526,229666.27936186412,-35.403511557054436,-66.93041708469617,-77.93202667282588,-83.43377067530326,-86.73529521925425,-88.93734755722812,0.875,0.8,0.7727272727272727,0.6551724137931034,0.6388888888888888,0.6744186046511628
229666.27936186412,248877.03397490358,229663.88336768348,248874.83480715164,-30.167781861146704,-62.7472247184532,-75.14489108770586,-81.34476615673485,-85.06502708924324,-87.54606150599434,0.875,0.8,0.7727272727272727,0.6551724137931034,0.6388888888888888,0.6744186046511628
248874.83480715164,266859.2647653075,248873.45692994885,266857.29947871016,-26.034870633788564,-58.483700187160146,-72.30390706995348,-79.21502938265857,-83.36196681580378,-86.12730928623988,0.875,0.8666666666666667,0.7727272727272727,0.6896551724137931,0.6666666666666666,0.6976744186046512
266857.29947871016,283681.1858077439,266856.1812091067,283681.08300082496,-22.70686029474276,-54.14226418531305,-69.41070646926984,-77.04593135798245,-81.62731254374216,-84.68212876575313,0.875,0.9333333333333333,0.8181818181818182,0.7241379310344828,0.6666666666666666,0.6976744186046512
283681.08300082496,299398.68469941214,283679.22695573035,299397.4524691959,-19.977923987499537,-49.7226634763158,-66.46519096410502,-74.83739892726172,-79.8609956403032,-83.2105217339701,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.6944444444444444,0.6976744186046512
299397.4524691959,314056.50619020604,299395.3869509654,314056.3974395161,-17.70123843117757,-45.22256208513089,-63.46578719093709,-72.5883421127709,-78.06217089814311,-81.71179566489309,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.7222222222222222,0.6976744186046512
314056.3974395161,327701.5625638686,314055.8132302539,327699.71109329985,-15.77145064854858,-40.65160416877177,-60.41125143132253,-70.29780581535829,-76.2301296403036,-80.18533818570369,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.7222222222222222,0.6976744186046512
327699.71109329985,340388.6068082688,327698.41541630455,340387.9771389073,-14.10982193435123,-36.441705138067924,-57.299617097336174,-67.96438106447107,-74.3637189778484,-78.6301985512874,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.7222222222222222,0.6976744186046512
340387.9771389073,352183.35633287125,340386.06148529163,352182.27633286023,-12.664585490322121,-32.77372605555144,-54.131421776533806,-65.5884833004261,-72.46328259823059,-77.04667099022049,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.7222222222222222,0.6976744186046512
352182.27633286023,363136.1307552443,352181.8950402554,363134.33081568184,-11.398875617267434,-29.56515935461613,-50.907552071900916,-63.17082742685189,-70.52936864025318,-75.43521827559474,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.75,0.7209302325581395
363134.33081568184,373291.7541315703,363132.275940794,373289.26888588606,-10.283525769821122,-26.741475746478315,-47.62812723325369,-60.71146695339485,-68.56206088588068,-73.79594097764041,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.7777777777777778,0.7209302325581395
373289.26888588606,382688.1321864148,373288.2916287813,382687.0478615429,-9.2948777365356,-24.241060920473046,-44.292793351210456,-58.21014236710194,-66.56112582398333,-72.12862034277488,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8055555555555556,0.7441860465116279
382687.0478615429,391360.97921256657,382686.06435339403,391358.75385059847,-8.413152907745658,-22.013117473795173,-40.90075145838037,-55.66622175684572,-64.52609375020523,-70.43286795086992,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.7674418604651163
391358.75385059847,399342.5348698902,391358.4365583462,399341.0732486651,-7.6207720965298265,-20.014649386435213,-37.45644240002981,-53.07839798194722,-62.455892350506446,-68.70781686671813,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.7674418604651163
399341.0732486651,406676.43087904394,399340.46505547775,406675.63308092434,-6.904473305645064,-18.21145073904942,-34.1974880176668,-50.44613347484743,-60.35012417821232,-66.95311256826464,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.7674418604651163
406675.63308092434,413404.2743434053,406672.9072686678,413402.66910035943,-6.254934013603453,-16.577545325581077,-31.239331766068435,-47.76969357511629,-58.20900325251597,-65.16893530046303,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.7674418604651163
413402.66910035943,419562.5231674666,413402.2217628235,419559.5506609953,-5.664829928083693,-15.092279252452535,-28.552133513582266,-45.04941061355464,-56.032824546291394,-63.35550941902932,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.7906976744186046
419559.5506609953,425182.98492549075,419556.7690047151,425181.130693735,-5.127923785132971,-13.738565376873357,-26.105161247355024,-42.28557041155495,-53.82178947384111,-61.513027798439104,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.813953488372093
425181.130693735,430298.2185808324,425179.055130661,430297.98319538747,-4.638764395845629,-12.501941665357286,-23.871036812616776,-39.47843761587729,-51.57611090544945,-59.641646420903015,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.8372093023255814
430297.98319538747,434941.0494251757,430295.0516003697,434939.7219347509,-4.192081284142901,-11.369495892306213,-21.825418794712736,-36.62792452960642,-49.29569306685314,-57.741309219547865,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
434939.7219347509,439129.80394134397,434939.6118397611,439129.0908637447,-3.7831282234460306,-10.330150321829834,-19.947164727306046,-33.73826306651843,-46.98058033381519,-55.81203188966727,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
439129.0908637447,442901.8808478472,439126.24132955173,442901.66968742997,-3.406673367646895,-9.373110426610076,-18.21691614016472,-30.97139343380393,-44.630169485904446,-53.85333452756785,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
442901.66968742997,446288.47698660893,442899.29886921117,446286.893361216,-3.0609784186757305,-8.491778060273935,-16.620910663844192,-28.412823854873402,-42.245588583173856,-51.86615767207235,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
446286.893361216,449318.8456313429,446284.26216558396,449316.2472996387,-2.7436615455302404,-7.679744272028488,-15.146969653360287,-26.048441465927187,-39.8274462325142,-49.851030218104064,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
449316.2472996387,452019.1089268721,449314.80664203176,452016.55745496525,-2.453283008994245,-6.932131895499372,-13.785340122957578,-23.862545775457445,-37.37689823617184,-47.80889408672695,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
452016.55745496525,454413.7057462387,452014.33263932023,454411.9269507377,-2.1879014716187806,-6.2440472203108115,-12.526998660867806,-21.839984806317382,-34.89477722406856,-45.74044349472334,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
454411.9269507377,456523.4848435969,454409.7997074114,456523.4620853515,-1.945414892541164,-5.610832292353029,-11.363662107107618,-19.96674260370841,-32.3817580849036,-43.64622019668175,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
456523.4620853515,458374.6462585841,456520.8024134992,458373.59299609554,-1.7235348538209294,-5.0278257662056625,-10.287581921341815,-18.22984016596443,-29.841521342378783,-41.52663785990305,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
458373.59299609554,459991.1507357622,458371.5090589142,459988.52124697267,-1.52043167665169,-4.491254934276501,-9.292156203768954,-16.618000199354576,-27.39969619038931,-39.38243360470312,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
459988.52124697267,461393.4132181508,459986.44548964436,461391.04328734585,-1.3355130570046558,-3.998706614121561,-8.37248164353187,-15.122477036414795,-25.12471817635733,-37.21504280860882,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
461391.04328734585,462602.9945273658,461388.86077696894,462602.33390054444,-1.1677714981694565,-3.5476138274591063,-7.523890976029845,-13.735488989118483,-23.009016810140505,-35.02568010791003,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
462602.33390054444,463641.14283041004,462601.157943542,463640.72978338745,-1.01626623899993,-3.1355610388092092,-6.7421359172262445,-12.450156052736027,-21.042643446857134,-32.81558911962702,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
463640.72978338745,464527.8709500927,463638.4221311497,464527.4071359639,-0.8797913802974566,-2.7599948379297135,-6.023030695512133,-11.260006889217,-19.215617686513507,-30.5858513521479,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
464527.4071359639,465281.56796958274,464525.29922619316,465278.9260463691,-0.7579057504004227,-2.4192714004816374,-5.363459825220895,-10.159821866577657,-17.519209143752256,-28.338153400441048,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
465278.9260463691,465908.04022378137,465277.2987533583,465907.617777933,-0.6493778476254874,-2.1111232554927306,-4.759779635340111,-9.144164719703863,-15.944726622570716,-26.076346509039606,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
465907.617777933,466430.8189279514,465907.50207761704,466430.0965557095,-0.5524315667355006,-1.8326704895955226,-4.20793889157185,-8.207328021459936,-14.483558774182415,-23.903479955176355,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
466430.0965557095,466866.67241312977,466427.2892943456,466864.8980552378,-0.4665381805700197,-1.5823224815266101,-3.705193149200958,-7.3450536819730345,-13.12904171342847,-21.876734712777356,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
466864.8980552378,467225.4786322032,466862.48534767,467223.73378592066,-0.39174003886189857,-1.359145295828268,-3.2495732961924317,-6.554044797376701,-11.87588018501623,-19.991718034404325,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
467223.73378592066,467522.33043325867,467222.8282340333,467519.9085182873,-0.32693811758111035,-1.1611357601470251,-2.8380899390074377,-5.830160080742597,-10.718290352657133,-18.240844568588333,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
