Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
46.0,51.0,45.0,49.0,,,,,,,,,,,,
49.0,49.0,45.0,48.0,,,,,,,,,,,,
48.0,49.0,45.0,47.0,,,,,,,,,,,,
47.0,52.0,46.0,50.0,,,,,,,,,,,,
50.0,50.0,47.0,49.0,,,,,,,,,,,,
49.0,53.0,46.0,52.0,,,,,,,,,,,,
52.0,55.0,51.0,55.0,,,,,,,,,,,,
55.0,60.0,54.0,58.0,,,,,,,,,,,,
58.0,61.0,56.0,61.0,,,,,,,,,,,,
61.0,62.0,60.0,60.0,,,,,,,,,,,,
60.0,65.0,57.0,63.0,,,,,,,,,,,,
63.0,67.0,61.0,66.0,,,,,,,,,,,,
66.0,66.0,62.0,65.0,,,,,,,,,,,,
65.0,65.0,62.0,64.0,,,,,,,,,,,,
64.0,66.0,63.0,63.0,,,,,,,,,,,,
63.0,68.0,61.0,66.0,,,,,,,,,,,,
66.0,70.0,64.0,69.0,,,,,,,,,,,,
69.0,72.0,66.0,72.0,,,,,,,,,,,,
72.0,77.0,69.0,75.0,,,,,,,,,,,,
75.0,75.0,72.0,74.0,,,,,,,,,,,,
74.0,76.0,71.0,73.0,,,,,,,,,,,,
73.0,78.0,71.0,76.0,,,,,,,,,,,,
76.0,81.0,75.0,79.0,,,,,,,,,,,,
79.0,80.0,77.0,78.0,,,,,,,,,,,,
78.0,80.0,77.0,77.0,,,,,,,,,,,,
77.0,81.0,76.0,80.0,,,,,,,,,,,,
80.0,82.0,78.0,79.0,,,,,,,,,,,,
79.0,83.0,77.0,82.0,,,,,,,,,,,,
82.0,85.0,79.0,85.0,,,,,,,,,,,,
85.0,88.0,82.0,88.0,,,,,,,,,,,,
88.0,91.0,87.0,91.0,,,,,,,,,,,,
91.0,91.0,89.0,90.0,,,,,,,,,,,,
90.0,92.0,89.0,89.0,,,,,,,,,,,,
89.0,90.0,86.0,88.0,,,,,,,,,,,,
88.0,89.0,86.0,87.0,,,,,,,,,,,,
87.0,91.0,86.0,90.0,,,,,,,,,,,,
90.0,92.0,88.0,89.0,,,,,,,,,,,,
89.0,91.0,88.0,88.0,,,,,,,,,,,,
88.0,91.0,85.0,91.0,,,,,,,,,,,,
91.0,91.0,89.0,90.0,,,,,,,,,,,,
90.0,91.0,87.0,89.0,,,,,,,,,,,,
89.0,93.0,87.0,92.0,,,,,,,,,,,,
92.0,94.0,90.0,91.0,,,,,,,,,,,,
91.0,95.0,90.0,94.0,,,,,,,,,,,,
94.0,99.0,93.0,97.0,,,,,,,,,,,,
94.0,723.1888543858836,93.32174383902029,720.9191515963837,-5.154639175257736,-6.848306332842413,-9.32744231713304,-12.592047128129591,-16.642120765832104,-21.084928816887572,0.5,0.3333333333333333,0.45454545454545453,0.4827586206896552,0.5,0.5348837209302325
720.9191515963837,25574.294960280728,719.9825143461413,25571.65584621263,-74.7560527661022,-81.21525884799672,-83.54667129699529,-85.0244790928036,-86.176697805561,-87.166121976793,0.5,0.4,0.5,0.4827586206896552,0.5,0.5348837209302325
25571.65584621263,57247.79259712443,25570.791459379776,57245.73907330731,-85.05288424545607,-92.35242132302847,-94.78913849248603,-96.01685453594665,-96.76052320560638,-97.26179575219722,0.625,0.4666666666666667,0.5,0.4827586206896552,0.5,0.5581395348837209
57245.73907330731,87425.8153574192,57244.124283271514,87424.52811282488,-79.05962324395868,-89.451951803427,-92.91697634248489,-94.6539181369475,-95.69902791189084,-96.39805530994086,0.75,0.5333333333333333,0.5454545454545454,0.5172413793103449,0.5277777777777778,0.5581395348837209
87424.52811282488,115865.94671706355,87422.16543352872,115863.88658522816,-72.0175225288617,-85.95736999884623,-90.60458497842393,-92.93092952289813,-94.32866444333114,-95.26198561424363,0.75,0.6,0.5454545454545454,0.5517241379310345,0.5555555555555556,0.5581395348837209
115863.88658522816,142555.27128902185,115861.81637679412,142552.65393899675,-64.61146446080168,-82.26689355397951,-88.15232427893822,-91.09698157523863,-92.865132224259,-94.04519394615328,0.875,0.6,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5581395348837209
142552.65393899675,167537.7162441495,142550.18159473187,167536.8880650853,-56.96062664356648,-78.44849550457405,-85.61148590810079,-89.1943590468299,-91.34510510876197,-92.78012167762053,0.875,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5581395348837209
167536.8880650853,190874.6782986515,167536.55262257755,190873.75255678644,-49.101505971341716,-74.5232963458041,-82.99788020014553,-87.23600350072836,-89.77981544082506,-91.47669908485979,0.875,0.7333333333333333,0.5454545454545454,0.5862068965517241,0.5833333333333334,0.5813953488372093
190873.75255678644,212643.2603281121,190872.78264812738,212640.83634981813,-41.09276841476056,-70.49871174121081,-80.31695688251386,-85.22658464872075,-88.17330434014823,-90.13861989004334,0.875,0.7333333333333333,0.5909090909090909,0.6206896551724138,0.5833333333333334,0.5813953488372093
212640.83634981813,232985.8907008367,212640.4976357548,232984.57399228605,-34.5550861789797,-66.37879168658458,-77.57190958658732,-83.16878765282254,-86.52781473625494,-88.76787154004256,0.875,0.8,0.6363636363636364,0.6206896551724138,0.5833333333333334,0.5813953488372093
232984.57399228605,252024.13923348606,232984.24199772914,252023.54322561037,-29.49397587651341,-62.17439842442739,-74.77017852625212,-81.06823719654392,-84.84794308787829,-87.368349957458,0.875,0.8666666666666667,0.6818181818181818,0.6551724137931034,0.6111111111111112,0.6046511627906976
252023.54322561037,269844.18461148004,252021.72343086897,269843.6387833746,-25.490173435497653,-57.89166140471755,-71.91588951469359,-78.92815945080993,-83.13628097870509,-85.94225272376079,0.875,0.8666666666666667,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.627906976744186
269843.6387833746,286513.33863862103,269841.5261535729,286512.35021384375,-22.258900242447112,-53.5319887050169,-69.01020825388697,-76.74941067456749,-81.39359917994325,-84.49021014005105,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6511627906976745
286512.35021384375,302082.99472061684,286509.91120864166,302080.53330944275,-19.6037856167532,-49.09489031572368,-66.05270635644595,-74.53175149380837,-79.61972704423084,-83.01213456069823,0.875,0.9333333333333333,0.7727272727272727,0.6551724137931034,0.6388888888888888,0.6511627906976745
302080.53330944275,316598.3836351056,302077.7473394308,316595.9610626962,-17.384413577571824,-44.577799608457056,-63.04171458740247,-72.27394400057788,-77.8136505188973,-81.507221699332,0.875,0.9333333333333333,0.8181818181818182,0.6551724137931034,0.6666666666666666,0.6511627906976745
316595.9610626962,330099.2608963462,316593.51968479546,330098.5621366714,-15.499263267777408,-39.99222830558208,-59.97565791314177,-69.97472683058893,-75.97441184448519,-79.9746756437481,0.875,0.9333333333333333,0.8181818181818182,0.6896551724137931,0.6944444444444444,0.6511627906976745
330098.5621366714,342656.2947893325,330097.9504896306,342655.08774261194,-13.872513459439162,-35.857308188311286,-56.85223740386396,-67.63243764183528,-74.10072223766488,-78.41339522936423,0.875,0.9333333333333333,0.8636363636363636,0.7241379310344828,0.6944444444444444,0.6511627906976745
342655.08774261194,354328.6926421907,342652.2155199573,354325.6951720278,-12.456338266828858,-32.25826968945884,-53.67271041715371,-65.24802897997824,-72.19331183839317,-76.82399375696784,0.875,0.9333333333333333,0.9090909090909091,0.7586206896551724,0.7222222222222222,0.6744186046511628
354325.6951720278,365161.5419874638,354325.12795051164,365159.24007346015,-11.215187510642998,-29.109049122826512,-50.43794780892665,-62.822120846354125,-70.25271336847831,-75.20689193457156,0.875,0.9333333333333333,0.9090909090909091,0.7931034482758621,0.7222222222222222,0.6976744186046512
365159.24007346015,375204.06721305,365156.7308601306,375202.81790845806,-10.120330389535804,-26.33579108694143,-47.14763678526156,-60.35456589357309,-68.27877812918555,-73.56199706595206,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.7222222222222222,0.6976744186046512
375202.81790845806,384494.28680424165,375201.40948485007,384493.70479335316,-9.14940691442504,-23.8786275859753,-43.80169804866539,-57.84522918652455,-66.27143163346017,-71.88924894900106,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7222222222222222,0.6976744186046512
384493.70479335316,393066.21521897503,384492.0743116115,393064.73216572654,-8.282686775030001,-21.687547532037467,-40.39896761081311,-55.29324381563323,-64.22998044973893,-70.18804637745181,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.7222222222222222,0.7209302325581395
393064.73216572654,400950.05871182855,393062.2703026384,400948.27016946266,-7.503427308279697,-19.720942426152543,-36.94543520156586,-52.697501434296456,-62.15347990014196,-68.45762909398132,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.75,0.7441860465116279
400948.27016946266,408189.40412296634,400946.92644065357,408189.2554835347,-6.797754129960132,-17.94472801045448,-33.727028426021775,-50.0569472460597,-60.0411183214031,-66.69734519939212,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.7777777777777778,0.7441860465116279
408189.2554835347,414833.9737415085,408186.4379536491,414831.2130252042,-6.157545454193192,-16.3344431183285,-30.808583189987303,-47.37225139434788,-57.89343339359706,-64.90761888901093,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8055555555555556,0.7674418604651163
414831.2130252042,420908.5157423679,414828.29340697906,420907.34309335146,-5.576424905663679,-14.870693931753031,-28.15807627358311,-44.6442498173092,-55.71106762714717,-63.089009302298415,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8333333333333334,0.7674418604651163
420907.34309335146,426450.89426944306,420906.78222750354,426450.7741427958,-5.047397433005196,-13.536030300212165,-25.744084139924983,-41.872697379320364,-53.49388142781495,-61.24137705714136,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8333333333333334,0.7674418604651163
426450.7741427958,431493.9162150375,426449.3895339679,431492.6743377017,-4.5649256738468535,-12.3160697603941,-23.539226468366913,-39.05765249391513,-51.24186761027859,-59.364739102858664,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.7674418604651163
431492.6743377017,436065.4131146976,431491.7366978005,436065.37595713773,-4.124038163810539,-11.198371037718912,-21.519667902396733,-36.199125161916726,-48.9550358624683,-57.45910324221295,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.7674418604651163
436065.37595713773,440190.7945672351,436064.22818208946,440188.9144947621,-3.7206978505226695,-10.172631238989037,-19.665101908484406,-33.30263454974077,-46.63376079731155,-55.52473782722511,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.7906976744186046
440188.9144947621,443902.01600081276,440188.2188601258,443899.22440794227,-3.3491091642938065,-9.22768912621763,-17.9560669829964,-30.56347704883783,-44.27711870146203,-53.560895819243,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.813953488372093
443899.22440794227,447229.9074603141,443897.26499153295,447229.3472073146,-3.0077306565423623,-8.357268592389433,-16.379251747254386,-28.03300566353122,-41.88630566245144,-51.56857442236292,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8372093023255814
447229.3472073146,450208.6951724925,447227.0744625488,450207.7979415337,-2.6950626223770646,-7.5558543571237475,-14.923434745663332,-25.69559581120997,-39.462472016392724,-49.548711353611864,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8604651162790697
450207.7979415337,452857.9344089651,450206.8105747994,452857.76495727117,-2.4090614362229923,-6.818085337768542,-13.578543357966389,-23.534874928681838,-37.00640627407592,-47.50200676693016,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8604651162790697
452857.76495727117,455209.3242478175,452857.06669873634,455208.78794298973,-2.1471028989692664,-6.138513921086153,-12.335091094124762,-21.535124565246644,-34.518473199657706,-45.42872241334417,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
455208.78794298973,457284.8365638195,455207.9556846268,457282.2428302392,-1.9082076590060448,-5.513663889470544,-11.185992124821652,-19.68338765016758,-32.000132495701784,-43.330075328729514,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
457282.2428302392,459095.1170368865,457279.70835583063,459094.6719262857,-1.6901602855905473,-4.939000531161641,-10.123666079987926,-17.966885350468452,-29.455825811090474,-41.2065552027621,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
459094.6719262857,460676.5600942598,459094.15861225757,460674.8577499778,-1.4899779687057024,-4.409610549866894,-9.140486064114873,-16.373503612848815,-27.036322944104473,-39.058176280511816,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
460674.8577499778,462048.4283540063,460674.6452286288,462047.1782343187,-1.307663342309584,-3.923700418263365,-8.232201225277326,-14.89516337066763,-24.78449947423036,-36.886723743212215,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
462047.1782343187,463232.77055183885,462046.62824371166,463232.0822768477,-1.142646026471128,-3.479136680940953,-7.3945711491207655,-13.524538616410798,-22.691356820480358,-34.693697387026226,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
463232.0822768477,464250.30841854605,463231.8786805378,464247.3680406719,-0.9938551091959957,-3.073397070814099,-6.623283924064582,-12.254747703370871,-20.74659247932088,-32.48026010618088,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
464247.3680406719,465115.83443322784,464246.8227928379,465113.3109430179,-0.8598983216737133,-2.703836611412136,-5.914141256910321,-11.079336806345896,-18.940092419394983,-30.2474521089121,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
465113.3109430179,465844.423748631,465112.6371855141,465843.88054955367,-0.7402639938243083,-2.3686613357448705,-5.263912812095251,-9.993021512700462,-17.26302775344495,-27.996860813573143,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
465843.88054955367,466456.4746681597,465842.47214472166,466454.97877948626,-0.6333763302184048,-2.065175293615795,-4.668528652519033,-8.98995602116398,-15.70631776939071,-25.732513547560032,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
466454.97877948626,466963.8811896894,466452.8313125678,466962.7642192271,-0.5381378293082606,-1.791264728445341,-4.12468235263983,-8.065169824985052,-14.262080758903972,-23.579385135091435,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
466962.7642192271,467386.0821860612,466962.55298862886,467385.9713849343,-0.45392993765558387,-1.5452695162865626,-3.6295898559671302,-7.214410728779974,-12.923702850004148,-21.573419086428714,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
467385.9713849343,467736.0073425225,467385.8916154911,467735.7275260849,-0.3808856755210588,-1.3263730456856915,-3.18140330612664,-6.434500340313887,-11.68603217563382,-19.708837209009577,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
467735.7275260849,468025.7066987818,467735.00245509524,468022.82804836985,-0.3178257240825655,-1.1324862316181017,-2.777052308498962,-5.721235412479853,-10.543255210385727,-17.97771486243449,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468022.82804836985,468260.2969525051,468020.1345996535,468259.10345853184,-0.263733621832829,-0.9616890832919167,-2.413716607324079,-5.070770231262111,-9.490062379715614,-16.372279614316543,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468259.10345853184,468455.16631566494,468257.83255124866,468453.59134438867,-0.2180865309928115,-0.8125916683191403,-2.089065161893333,-4.479788244268123,-8.521772305421582,-14.885397467938976,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468453.59134438867,468614.01602392533,468451.2502637279,468612.933436342,-0.17992862225584272,-0.6834335226724053,-1.8004835203795033,-3.944690624720093,-7.633557241552347,-13.509913042439036,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468612.933436342,468744.504654337,468611.31730935554,468741.9851956321,-0.1480848902280396,-0.572121458867314,-1.545037829011331,-3.461661152894613,-6.820439512255128,-12.238766174471916,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468741.9851956321,468847.48515389167,468739.20989321626,468847.051922948,-0.12135082841481237,-0.47656569969921625,-1.3197687510329903,-3.0268775983138374,-6.077550453403191,-11.06540973259148,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468847.051922948,468934.7527808203,468846.1357190682,468931.9695378135,-0.0992142781801153,-0.39527282463929225,-1.1223196219427023,-2.6371448251390706,-5.400707652036907,-9.984241831768026,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468931.9695378135,468999.8074978473,468931.2049373999,468999.7576444688,-0.08086228746826407,-0.3264882531668345,-0.9500851181073244,-2.289016072606165,-4.785564336546056,-8.989692639258662,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
468999.7576444688,469052.2494207572,468999.2633519413,469052.0460259179,-0.06554712406811047,-0.26851602410070674,-0.8005067345236649,-1.9791288916549576,-4.227916180431269,-8.076420502520454,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469052.0460259179,469098.0082498338,469051.2260966536,469095.8112380729,-0.05253718152019582,-0.219653591161173,-0.6710258034489103,-1.704073571958964,-3.7235212088752356,-7.239104710185373,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469095.8112380729,469132.524380843,469095.2746392611,469132.1547581558,-0.04230398847059336,-0.17944609438709236,-0.5603705113231716,-1.4617693443535695,-3.2694176145362186,-6.473727632610737,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469132.1547581558,469163.21561492275,469131.3220485146,469160.4661797911,-0.034236681884036724,-0.14641733031878212,-0.4661890516318712,-1.2490627795838316,-2.861652836485773,-5.77534598022681,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469160.4661797911,469184.02981765236,469159.3064576411,469183.1271670513,-0.02752655363102985,-0.11898348796853808,-0.38606781761796327,-1.0627236749591873,-2.4962057308829833,-5.139027130695939,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469183.1271670513,469200.5959165115,469180.91987265414,469200.0300199321,-0.02212226728353084,-0.09644767207881433,-0.3184537937571452,-0.9003897455602705,-2.169933019528303,-4.56074454300105,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469200.0300199321,469214.9046483575,469199.26102123817,469214.38972249854,-0.017562327037812242,-0.07775490157784226,-0.2614761838771851,-0.7593958625366382,-1.879384235315229,-4.036228440914014,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469214.38972249854,469228.2000844768,469212.0451111576,469225.25001769105,-0.014087466692191963,-0.06267373345764105,-0.2141198598823002,-0.6379344310267432,-1.621990645974225,-3.5621188027536332,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469225.25001769105,469235.0751535265,469222.53661403304,469234.4239460514,-0.011128405528382235,-0.05027947720882553,-0.1746996493431907,-0.5335502535787517,-1.3945115304329736,-3.1344043298463298,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469234.4239460514,469242.06309833546,469233.5917428833,469241.98090065713,-0.008863246061241448,-0.04034746047559823,-0.14224326120526598,-0.44452468147268,-1.1944748236985214,-2.7498038790783275,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
469241.98090065713,469249.27038204233,469239.55091517133,469248.6014057794,-0.007129990204857162,-0.03238183555459573,-0.1155687123647775,-0.3688962116619954,-1.0191663567679754,-2.4048450637111696,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
