Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
61.0,62.0,58.0,60.0,,,,,,,,,,,,
60.0,64.0,57.0,63.0,,,,,,,,,,,,
63.0,66.0,62.0,66.0,,,,,,,,,,,,
66.0,68.0,63.0,65.0,,,,,,,,,,,,
65.0,70.0,62.0,68.0,,,,,,,,,,,,
68.0,69.0,66.0,67.0,,,,,,,,,,,,
67.0,69.0,64.0,66.0,,,,,,,,,,,,
66.0,68.0,64.0,65.0,,,,,,,,,,,,
65.0,66.0,63.0,64.0,,,,,,,,,,,,
64.0,64.0,60.0,63.0,,,,,,,,,,,,
63.0,64.0,62.0,62.0,,,,,,,,,,,,
62.0,66.0,61.0,65.0,,,,,,,,,,,,
65.0,65.0,62.0,64.0,,,,,,,,,,,,
64.0,69.0,61.0,67.0,,,,,,,,,,,,
67.0,67.0,64.0,66.0,,,,,,,,,,,,
66.0,69.0,63.0,69.0,,,,,,,,,,,,
69.0,73.0,66.0,72.0,,,,,,,,,,,,
72.0,73.0,71.0,71.0,,,,,,,,,,,,
71.0,72.0,69.0,70.0,,,,,,,,,,,,
70.0,71.0,69.0,69.0,,,,,,,,,,,,
69.0,71.0,68.0,68.0,,,,,,,,,,,,
68.0,70.0,66.0,67.0,,,,,,,,,,,,
67.0,68.0,64.0,66.0,,,,,,,,,,,,
66.0,66.0,63.0,65.0,,,,,,,,,,,,
65.0,65.0,63.0,64.0,,,,,,,,,,,,
64.0,65.0,62.0,63.0,,,,,,,,,,,,
63.0,67.0,62.0,66.0,,,,,,,,,,,,
66.0,71.0,64.0,69.0,,,,,,,,,,,,
69.0,73.0,68.0,72.0,,,,,,,,,,,,
72.0,76.0,70.0,75.0,,,,,,,,,,,,
75.0,76.0,74.0,74.0,,,,,,,,,,,,
74.0,77.0,71.0,77.0,,,,,,,,,,,,
77.0,82.0,74.0,80.0,,,,,,,,,,,,
80.0,81.0,79.0,79.0,,,,,,,,,,,,
79.0,83.0,77.0,82.0,,,,,,,,,,,,
82.0,86.0,80.0,85.0,,,,,,,,,,,,
85.0,87.0,84.0,84.0,,,,,,,,,,,,
84.0,87.0,82.0,87.0,,,,,,,,,,,,
87.0,91.0,85.0,90.0,,,,,,,,,,,,
90.0,94.0,89.0,93.0,,,,,,,,,,,,
93.0,96.0,91.0,96.0,,,,,,,,,,,,
96.0,100.0,95.0,99.0,,,,,,,,,,,,
99.0,104.0,96.0,102.0,,,,,,,,,,,,
102.0,104.0,100.0,101.0,,,,,,,,,,,,
101.0,103.0,99.0,100.0,,,,,,,,,,,,
101.0,1122.032190740571,98.65542925950929,1121.2193577831301,-2.7142857142857135,-10.357142857142865,-17.23809523809524,-20.92857142857143,-23.457142857142856,-25.309523809523814,0.625,0.6666666666666666,0.6363636363636364,0.4827586206896552,0.5,0.4418604651162791
1121.2193577831301,23963.38257020986,1120.9134005055419,23960.878840489408,-78.18421848502352,-85.3525580888934,-88.12848861554312,-89.60245718478596,-90.47409709582527,-91.09553759978833,0.625,0.6666666666666666,0.6818181818181818,0.5172413793103449,0.5277777777777778,0.46511627906976744
23960.878840489408,50294.37621452688,23958.39984106875,50292.11980584106,-84.74889102800654,-92.19558253012673,-94.69510311927485,-95.95246509066368,-96.7048551596797,-97.20913148378185,0.625,0.6666666666666666,0.7272727272727273,0.5517241379310345,0.5277777777777778,0.46511627906976744
50292.11980584106,75315.41458468814,50290.51510407961,75312.54748089597,-78.47540719623754,-89.15007271530537,-92.71691088166783,-94.505087881501,-95.57657380777344,-96.29255474452043,0.625,0.7333333333333333,0.7272727272727273,0.5862068965517241,0.5555555555555556,0.4883720930232558
75312.54748089597,98872.18708356889,75310.06370834466,98871.54618629986,-71.35939864027303,-85.61956894903572,-90.3789657662096,-92.76241046763326,-94.19152885992119,-95.14538095477378,0.625,0.7333333333333333,0.7272727272727273,0.6206896551724138,0.5555555555555556,0.5116279069767442
98871.54618629986,120978.0677591321,98871.18566842134,120975.14687990444,-63.91287175776572,-81.90940515892994,-87.91301771740848,-90.91796660235889,-92.72032908532975,-93.92274691842057,0.625,0.7333333333333333,0.7272727272727273,0.6551724137931034,0.5833333333333334,0.5348837209302325
