Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
2.0,2.0,0.0,1.0,,,,,,,,,,,,
1.0,6.0,-2.0,4.0,,,,,,,,,,,,
4.0,6.0,1.0,3.0,,,,,,,,,,,,
3.0,7.0,0.0,6.0,,,,,,,,,,,,
6.0,9.0,3.0,9.0,,,,,,,,,,,,
9.0,9.0,5.0,8.0,,,,,,,,,,,,
8.0,10.0,5.0,7.0,,,,,,,,,,,,
7.0,11.0,4.0,10.0,,,,,,,,,,,,
10.0,12.0,8.0,9.0,,,,,,,,,,,,
9.0,11.0,7.0,8.0,,,,,,,,,,,,
8.0,13.0,7.0,11.0,,,,,,,,,,,,
11.0,15.0,8.0,14.0,,,,,,,,,,,,
14.0,15.0,13.0,13.0,,,,,,,,,,,,
13.0,15.0,10.0,12.0,,,,,,,,,,,,
12.0,17.0,9.0,15.0,,,,,,,,,,,,
15.0,18.0,12.0,18.0,,,,,,,,,,,,
18.0,18.0,15.0,17.0,,,,,,,,,,,,
17.0,22.0,15.0,20.0,,,,,,,,,,,,
20.0,23.0,19.0,23.0,,,,,,,,,,,,
23.0,25.0,21.0,22.0,,,,,,,,,,,,
22.0,27.0,20.0,25.0,,,,,,,,,,,,
25.0,28.0,22.0,28.0,,,,,,,,,,,,
28.0,29.0,26.0,27.0,,,,,,,,,,,,
27.0,30.0,26.0,30.0,,,,,,,,,,,,
30.0,32.0,29.0,29.0,,,,,,,,,,,,
29.0,32.0,26.0,32.0,,,,,,,,,,,,
32.0,33.0,29.0,31.0,,,,,,,,,,,,
31.0,32.0,29.0,30.0,,,,,,,,,,,,
30.0,30.0,26.0,29.0,,,,,,,,,,,,
29.0,33.0,27.0,32.0,,,,,,,,,,,,
32.0,35.0,31.0,35.0,,,,,,,,,,,,
35.0,37.0,32.0,34.0,,,,,,,,,,,,
34.0,39.0,32.0,37.0,,,,,,,,,,,,
37.0,40.0,34.0,40.0,,,,,,,,,,,,
40.0,41.0,38.0,39.0,,,,,,,,,,,,
39.0,43.0,37.0,42.0,,,,,,,,,,,,
42.0,47.0,39.0,45.0,,,,,,,,,,,,
45.0,49.0,43.0,48.0,,,,,,,,,,,,
48.0,52.0,46.0,51.0,,,,,,,,,,,,
51.0,56.0,48.0,54.0,,,,,,,,,,,,
54.0,56.0,51.0,53.0,,,,,,,,,,,,
53.0,55.0,52.0,52.0,,,,,,,,,,,,
52.0,55.0,49.0,55.0,,,,,,,,,,,,
55.0,57.0,53.0,54.0,,,,,,,,,,,,
54.0,55.0,51.0,53.0,,,,,,,,,,,,
54.0,2549.8846979952546,51.18648412707563,2547.376055503515,0.26954177897575704,-11.455525606468997,-21.383647798742146,-29.24528301886793,-38.00539083557952,-45.77717879604673,0.375,0.5333333333333333,0.5,0.5517241379310345,0.5555555555555556,0.5348837209302325
2547.376055503515,28369.850859801165,2544.6547198287685,28368.29254658263,-83.91411401375998,-91.11024726613425,-93.6566359871661,-94.98450846008116,-95.86535211675196,-96.49651064483609,0.375,0.6,0.5454545454545454,0.5517241379310345,0.5555555555555556,0.5348837209302325
28368.29254658263,54668.90843994061,28366.527553700533,54666.04614109427,-84.29702127528365,-92.06818957408716,-94.67385427720656,-95.98109295670422,-96.7729898694393,-97.30520157745003,0.375,0.6,0.5454545454545454,0.5517241379310345,0.5555555555555556,0.5348837209302325
54666.04614109427,79528.90085478887,54663.51974947729,79528.5464861797,-77.57926255364652,-88.74625099346952,-92.47685582866877,-94.34444485758975,-95.46891818006466,-96.22096255928936,0.5,0.6,0.5909090909090909,0.5862068965517241,0.5833333333333334,0.5581395348837209
79528.5464861797,102899.41903610228,79525.5931486548,102898.29471950972,-70.31214063887275,-85.12508414122534,-90.06865976595715,-92.54219897100455,-94.02872953628243,-95.02163602832981,0.625,0.6666666666666666,0.6363636363636364,0.5862068965517241,0.6111111111111112,0.5813953488372093
102898.29471950972,124802.88845176742,102897.24829103636,124802.48719139032,-62.77662095099055,-81.36345930702728,-87.56365359270497,-90.6655208606721,-92.52816838822974,-93.7715762678317,0.625,0.6666666666666666,0.6818181818181818,0.5862068965517241,0.6111111111111112,0.5813953488372093
124802.48719139032,145284.9352193458,124799.58704664368,145283.79204906517,-55.03019531313104,-77.4940930385453,-84.9856837221519,-88.73316744605766,-90.98282523954991,-92.4839516231128,0.75,0.6666666666666666,0.6818181818181818,0.6206896551724138,0.6111111111111112,0.6046511627906976
145283.79204906517,164402.4225873816,145281.41528001937,164400.97300625217,-47.08928665947029,-73.5263540022082,-82.34156134493954,-86.75081203907983,-89.39720809113783,-91.16270124731673,0.875,0.6666666666666666,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.627906976744186
164400.97300625217,182230.20554662906,164398.98147766772,182227.49068479356,-39.17759041543811,-69.46417063876548,-79.63403293967129,-84.72068027739476,-87.77334646538128,-89.80954345184733,0.875,0.6666666666666666,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.627906976744186
182227.49068479356,198896.8944904815,182226.85223445357,198894.8135823421,-33.06579695916218,-65.31061666951639,-76.86540845042322,-82.64458782589737,-86.11264421580363,-88.42566174589902,0.875,0.6666666666666666,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.627906976744186
198894.8135823421,214497.28614455424,198893.14767228975,214494.48931780434,-28.31556254400718,-61.076622327523864,-74.04313286587988,-80.52809399006826,-84.41957344290012,-87.01479089654788,0.875,0.7333333333333333,0.7272727272727273,0.6896551724137931,0.6666666666666666,0.6511627906976745
214494.48931780434,229094.05887827915,214493.87373077823,229093.6047931513,-24.5400300322966,-56.766301818700214,-71.16987534136985,-78.37331049670162,-82.69589108376638,-85.57835519499338,0.875,0.8,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.6744186046511628
229093.6047931513,242743.65843825263,229091.24880886765,242742.77432921497,-21.47952849966974,-52.38025061064074,-68.24605907364281,-76.18050665433026,-80.94181124968016,-84.11658592405655,0.875,0.8,0.7727272727272727,0.7586206896551724,0.6666666666666666,0.6744186046511628
242742.77432921497,255483.04027643782,242741.35529605977,255482.70356411792,-18.95371895102025,-47.916590608720576,-65.27052760360867,-73.94889381810205,-79.15660799147945,-82.62891767597326,0.875,0.8666666666666667,0.7727272727272727,0.7586206896551724,0.6944444444444444,0.6744186046511628
255482.70356411792,267352.77622687625,255481.27352531394,267351.3856442969,-16.833237714415773,-43.37241240625333,-62.241341283886086,-71.67702190791336,-77.33917956425276,-81.11435207050252,0.875,0.9333333333333333,0.7727272727272727,0.7586206896551724,0.6944444444444444,0.6976744186046512
267351.3856442969,278393.1997116915,267349.98806651036,278390.8044572003,-15.024231495231454,-38.8115144917268,-59.15658650995616,-69.36340559842566,-75.48834131227363,-79.57197911063945,0.875,0.9333333333333333,0.7727272727272727,0.7931034482758621,0.7222222222222222,0.6976744186046512
278390.8044572003,288655.175909291,278389.48690995976,288654.2015751956,-13.459242562866736,-34.822913757633756,-56.01522625921784,-67.00732729733689,-73.60352185910226,-78.00128423966825,0.875,0.9333333333333333,0.7727272727272727,0.7931034482758621,0.7222222222222222,0.6976744186046512
288654.2015751956,298191.86868449644,288651.24603778584,298190.71646420646,-12.094028376803978,-31.350226913593225,-52.81811971793257,-64.60948205580863,-71.68523978287371,-76.40270029698625,0.875,0.9333333333333333,0.8181818181818182,0.7931034482758621,0.75,0.7209302325581395
298190.71646420646,307040.6568108555,298188.8322758633,307039.82683768397,-10.895655118154712,-28.307901953609605,-49.56598135045922,-62.17035394974146,-69.73392608727531,-74.77661891415492,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.7777777777777778,0.7209302325581395
307039.82683768397,315239.4233782568,307039.012137462,315238.63090756646,-9.837084708867039,-25.625049631780694,-46.25847456346533,-59.68969173503498,-67.74934327723676,-73.12283978687178,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.8055555555555556,0.7209302325581395
315238.63090756646,322816.56030730216,315238.4279714428,322815.6754345689,-8.896758910973467,-23.244400656544407,-42.895108359663766,-57.167173421828174,-65.73127348485404,-71.44111914544942,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.8055555555555556,0.7441860465116279
322815.6754345689,329802.1075511542,322814.7033179943,329801.6012733651,-8.055392445426591,-21.117786803364126,-39.47433638828427,-54.60163671836569,-63.678786926818255,-69.73071456288483,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.8055555555555556,0.7441860465116279
329801.6012733651,336225.135982443,329800.8610928834,336224.600187497,-7.29788330374851,-19.206432324716527,-36.031279557454,-51.99239796263282,-61.59130207855543,-67.99114181762668,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.8333333333333334,0.7674418604651163
336224.600187497,342122.90697915584,336223.6333486529,342120.5125318107,-6.611522202107089,-17.478294776721704,-32.89316475321772,-49.33864654132021,-59.46820646004633,-66.2218908163755,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.8333333333333334,0.7674418604651163
342120.5125318107,347525.3967617758,342119.6846285881,347524.93243758904,-5.9883670408033,-15.910134006962872,-30.04862682470948,-46.64084049178927,-57.309899769768634,-64.42326709777888,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8333333333333334,0.7906976744186046
347524.93243758904,352466.8447088053,347522.19051606895,352466.7749494737,-5.42237549600565,-14.48358742300625,-27.46427505889335,-43.899743764650225,-55.116958627352574,-62.5957801349812,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.813953488372093
352466.7749494737,356974.32348912646,352465.7366623913,356972.39311695826,-4.907238498550715,-13.18239162485787,-25.109553240353033,-41.11543919888906,-52.8894493631912,-60.73945822876898,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.8372093023255814
356972.39311695826,361067.8252882622,356969.91836104216,361064.8828767605,-4.437328409119379,-11.992498896116466,-22.957725149672193,-38.28777739820263,-50.62728451654226,-58.85425623120256,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.8372093023255814
361064.8828767605,364769.6255462786,361062.23412330315,364769.4660097807,-4.007134276055058,-10.901313778723654,-20.985131533339583,-35.41635023026984,-48.33013651067336,-56.93990106409246,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.8372093023255814
364769.4660097807,368112.89226479735,364766.70372970786,368111.0041601887,-3.6125634937766993,-9.898571018937352,-19.17188071707735,-32.525771604834205,-45.99815005203397,-54.996487138183944,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.8604651162790697
368111.0041601887,371117.31477462343,368110.9313375005,371114.6248151084,-3.2500702269655624,-8.975530949174304,-17.501000637923813,-29.842072645349237,-43.631629657862725,-53.024294747201196,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.8604651162790697
371114.6248151084,373809.7313636337,371112.0240298937,373806.8159341296,-2.9170154014372507,-8.125119710449036,-15.958893152953003,-27.364547821277363,-41.23111291751507,-51.02379742576664,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.8604651162790697
373806.8159341296,376215.87077166035,373805.34782123443,376213.2204820452,-2.6118055317547517,-7.341906973395396,-14.534693853837254,-25.076078848239526,-38.79762645334366,-48.9958245763053,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
376213.2204820452,378355.18621810625,376212.95520777657,378354.65557108255,-2.3330286669663858,-6.621244334053589,-13.219201813219206,-22.96071599831303,-36.33237522806356,-46.94138033758374,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
378354.65557108255,380249.7174253869,378352.9119981687,380248.80420584255,-2.0784701163286456,-5.958204511630383,-12.003581997281032,-21.00337565216196,-33.83599011349572,-44.86101559604197,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
380248.80420584255,381915.8510890571,380248.280271406,381915.45942595776,-1.845522409815492,-5.3477949771925,-10.879460135440533,-19.190011870561708,-31.308830930674358,-42.75502980693323,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
381915.45942595776,383372.12285533274,381912.5223132791,383371.87799123535,-1.6325090618951044,-4.7861804966663595,-9.839936896197798,-17.50860556166086,-28.7705091890466,-40.624208848030705,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
383371.87799123535,384639.9075516345,383369.4947502601,384639.2442789095,-1.4375332497142623,-4.269462638619437,-8.878470744449851,-15.948160344323458,-26.395384518003905,-38.469158733160356,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
384639.2442789095,385739.80912285985,384638.0606992803,385738.78192194406,-1.2599795993539442,-3.7953051684055827,-7.990398914174113,-14.500444056764728,-24.186830475575128,-36.29127534610757,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
385738.78192194406,386685.93123616267,385738.03658226616,386685.8913937259,-1.0995386725798362,-3.361915029336726,-7.1718980408339235,-13.158663547946448,-22.134853878133498,-34.092243875779836,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
386685.8913937259,387497.72658292885,386683.3600381236,387497.3380476679,-0.954873397712519,-2.9665155122909126,-6.418447744488132,-11.91584255705389,-20.228720492420482,-31.873057966949393,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
387497.3380476679,388188.34512932156,387497.2116201258,388187.1525249443,-0.8252211184273439,-2.607034785719764,-5.726436167009618,-10.766144362658592,-18.45883329177407,-29.63509998916829,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
388187.1525249443,388769.79789007554,388185.10984042974,388767.5486410358,-0.7093162579977164,-2.28103888587039,-5.092047632275354,-9.703796852159652,-16.815911005649898,-27.379512182698175,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
388767.5486410358,389255.41984889586,388766.2965182525,389253.22135079646,-0.6057606456025377,-1.9860061064130186,-4.511479579697708,-8.723206807317807,-15.291175623657105,-25.12257691770854,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389253.22135079646,389655.0924846772,389250.8147868469,389654.88188946457,-0.5139280817897607,-1.7203355624207384,-3.9818986697290337,-7.819921910963956,-13.877285402192074,-23.008570239324833,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389654.88188946457,389991.12352825096,389653.5337611614,389989.7145554315,-0.4325937059062812,-1.4817774202383394,-3.4999658973599135,-6.989208295831528,-12.567314208761339,-21.04101360767322,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389989.7145554315,390268.00105351117,389989.2982950319,390265.2504792414,-0.36236316408757574,-1.2699641061596378,-3.064308550115802,-6.228392043024089,-11.35666789591575,-19.213387947841497,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390265.2504792414,390492.73361815413,390263.56538051023,390492.2951006191,-0.3016866040280952,-1.082481436105187,-2.671541130685229,-5.532977299067565,-10.2393099110334,-17.517240461158924,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390492.2951006191,390682.0495831559,390490.918208973,390680.6000860537,-0.25008728902938815,-0.9179743882914315,-2.3193685538975495,-4.899636103594784,-9.210450158707372,-15.945205566927779,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390680.6000860537,390834.11713278515,390680.47516616737,390832.2756322961,-0.2069900029584515,-0.7750054558339547,-2.0054715370059095,-4.32508272620572,-8.26547469945348,-14.490180215253968,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390832.2756322961,390961.1243312239,390832.24997092655,390958.6079601263,-0.1702480513132265,-0.6505491554838594,-1.7259520335566658,-3.804513772501261,-7.398379836214919,-13.14394441721638,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390958.6079601263,391061.69330839947,390955.70746015327,391061.050842616,-0.1401913121650833,-0.5440420212052932,-1.4794222932574597,-3.3355996835069956,-6.605652137741725,-11.90083040700588,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391061.050842616,391146.8204605834,391058.93881633156,391144.54918056313,-0.11498245734796742,-0.45279925542585087,-1.2623455761166857,-2.9139646046197787,-5.881920098731886,-10.753916066395764,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391144.54918056313,391212.61194021715,391141.8535210175,391210.84909054835,-0.09412724009303375,-0.37533275990679904,-1.0723487971117773,-2.5364115408570087,-5.223023850562281,-9.697673606122715,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391210.84909054835,391267.18227317394,391209.9767612644,391265.4949756659,-0.076528543034593,-0.3095983356306564,-0.9065599779389699,-2.1992279823591754,-4.624357094348186,-8.726314034742321,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
