Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
24.0,29.0,23.0,27.0,,,,,,,,,,,,
27.0,28.0,26.0,26.0,,,,,,,,,,,,
26.0,29.0,25.0,29.0,,,,,,,,,,,,
29.0,29.0,25.0,28.0,,,,,,,,,,,,
28.0,28.0,25.0,27.0,,,,,,,,,,,,
27.0,27.0,23.0,26.0,,,,,,,,,,,,
26.0,28.0,24.0,25.0,,,,,,,,,,,,
25.0,26.0,24.0,24.0,,,,,,,,,,,,
24.0,29.0,23.0,27.0,,,,,,,,,,,,
27.0,31.0,24.0,30.0,,,,,,,,,,,,
30.0,32.0,28.0,29.0,,,,,,,,,,,,
29.0,31.0,28.0,28.0,,,,,,,,,,,,
28.0,29.0,25.0,27.0,,,,,,,,,,,,
27.0,27.0,25.0,26.0,,,,,,,,,,,,
26.0,29.0,25.0,29.0,,,,,,,,,,,,
29.0,33.0,26.0,32.0,,,,,,,,,,,,
32.0,33.0,31.0,31.0,,,,,,,,,,,,
31.0,34.0,28.0,34.0,,,,,,,,,,,,
34.0,37.0,33.0,37.0,,,,,,,,,,,,
37.0,37.0,35.0,36.0,,,,,,,,,,,,
36.0,39.0,34.0,39.0,,,,,,,,,,,,
39.0,42.0,38.0,42.0,,,,,,,,,,,,
42.0,46.0,40.0,45.0,,,,,,,,,,,,
45.0,47.0,42.0,44.0,,,,,,,,,,,,
44.0,49.0,42.0,47.0,,,,,,,,,,,,
47.0,47.0,43.0,46.0,,,,,,,,,,,,
46.0,46.0,44.0,45.0,,,,,,,,,,,,
45.0,47.0,43.0,44.0,,,,,,,,,,,,
44.0,47.0,41.0,47.0,,,,,,,,,,,,
47.0,52.0,45.0,50.0,,,,,,,,,,,,
50.0,55.0,48.0,53.0,,,,,,,,,,,,
53.0,54.0,52.0,52.0,,,,,,,,,,,,
52.0,56.0,49.0,55.0,,,,,,,,,,,,
55.0,58.0,53.0,58.0,,,,,,,,,,,,
58.0,59.0,55.0,57.0,,,,,,,,,,,,
57.0,62.0,55.0,60.0,,,,,,,,,,,,
60.0,61.0,58.0,59.0,,,,,,,,,,,,
59.0,63.0,58.0,62.0,,,,,,,,,,,,
62.0,64.0,61.0,61.0,,,,,,,,,,,,
61.0,63.0,58.0,60.0,,,,,,,,,,,,
60.0,60.0,57.0,59.0,,,,,,,,,,,,
59.0,59.0,57.0,58.0,,,,,,,,,,,,
58.0,59.0,57.0,57.0,,,,,,,,,,,,
57.0,59.0,54.0,56.0,,,,,,,,,,,,
56.0,56.0,54.0,55.0,,,,,,,,,,,,
56.0,477.7153760420527,55.42424529570286,477.4508762486135,5.454545454545445,5.064935064935061,-1.2121212121212088,-7.92207792207792,-15.84415584415585,-21.77489177489177,0.0,0.26666666666666666,0.36363636363636365,0.4482758620689655,0.4166666666666667,0.3953488372093023
477.4508762486135,21682.36631743818,476.6870237918583,21680.146365416596,-75.39160819132088,-81.53211838629592,-84.32697522831405,-86.07597310119219,-87.62205717819798,-88.74752911018074,0.125,0.3333333333333333,0.36363636363636365,0.4482758620689655,0.4444444444444444,0.4186046511627907
21680.146365416596,48144.53096028371,21680.060049160693,48142.10655338947,-85.21188341536235,-92.46855465418219,-94.9030397606448,-96.12802474974475,-96.87395399302765,-97.3742053434213,0.25,0.3333333333333333,0.4090909090909091,0.4482758620689655,0.4722222222222222,0.4418604651162791
48142.10655338947,73309.41314651206,48140.50410772587,73308.1220237535,-79.0721651721297,-89.47406381498338,-92.94719925972059,-94.68755042386569,-95.73668701517549,-96.43784239581572,0.375,0.3333333333333333,0.45454545454545453,0.4827586206896552,0.5,0.46511627906976744
73308.1220237535,97007.52449687711,73306.83717289146,97006.40885751027,-71.98208994939752,-85.9502192508876,-90.60931534902808,-92.94173776290125,-94.3441142940756,-95.28055848034707,0.5,0.4,0.5,0.4827586206896552,0.5277777777777778,0.4883720930232558
97006.40885751027,119241.51935924114,97005.80258848815,119240.57130453587,-64.54943581100143,-82.24408664508789,-88.14382533509233,-91.09616138015184,-92.86953636723338,-94.0531362939758,0.625,0.4,0.5,0.4827586206896552,0.5277777777777778,0.5116279069767442
119240.57130453587,140053.59028358015,119238.4501850782,140050.80631816245,-56.88071098101353,-78.4156155889135,-85.59467589506622,-89.18633260142724,-91.34274033390632,-92.78160344999034,0.75,0.4666666666666667,0.5,0.4827586206896552,0.5277777777777778,0.5116279069767442
140050.80631816245,159487.80343780367,140050.12195696455,159487.4209150244,-49.00772844602561,-74.48315745183284,-82.97506912423415,-87.22283552786558,-89.77261741183253,-91.47374704863026,0.875,0.4666666666666667,0.5,0.5172413793103449,0.5555555555555556,0.5116279069767442
159487.4209150244,177613.72477929498,159486.08064709842,177611.61774868882,-40.97917131221227,-70.45275109522129,-80.28953274999388,-85.20960306496184,-88.16248723705021,-90.13231577372493,0.875,0.5333333333333333,0.5454545454545454,0.5172413793103449,0.5555555555555556,0.5348837209302325
177611.61774868882,194552.03306488477,177610.85648761177,194550.10189713692,-34.459961890070964,-66.32742587547513,-77.54043715798448,-83.1483704729003,-86.51388652564779,-88.75867654122476,0.875,0.6,0.5454545454545454,0.5517241379310345,0.5555555555555556,0.5581395348837209
194550.10189713692,210405.9090832223,194547.93737851994,210405.1568479857,-29.415534339320416,-62.11843402516317,-74.73539150817638,-81.0449533346244,-84.83143941126625,-87.35677923693864,0.875,0.6666666666666666,0.5454545454545454,0.5862068965517241,0.5833333333333334,0.5813953488372093
210405.1568479857,225244.34072568797,210402.57717142688,225244.03897156796,-25.426048055970007,-57.83210665977607,-71.87858826814437,-78.90262685288376,-83.11785117909352,-85.92884943261836,0.875,0.7333333333333333,0.5909090909090909,0.6206896551724138,0.5833333333333334,0.6046511627906976
225244.03897156796,239124.21863475707,225243.98277220016,239122.71450376933,-22.205665108606187,-53.469041356877675,-68.97056621066116,-76.72182016792244,-81.37342241414399,-84.47519880484565,0.875,0.8,0.5909090909090909,0.6206896551724138,0.5833333333333334,0.6046511627906976
239122.71450376933,252085.43993352543,239121.5234353622,252083.22877889685,-19.558824490324856,-49.02851250830723,-66.01078383092063,-74.50220326762273,-79.59790326872076,-82.99562406763974,0.875,0.8666666666666667,0.6363636363636364,0.6206896551724138,0.5833333333333334,0.6046511627906976
252083.22877889685,264168.3062447335,252080.79658547728,264165.47017197096,-17.345649987555177,-44.50784309132692,-62.99755930288269,-72.24245991162981,-77.79020499976201,-81.48922120591844,0.875,0.9333333333333333,0.6363636363636364,0.6206896551724138,0.6111111111111112,0.627906976744186
264165.47017197096,275405.5240831835,264163.34230611206,275404.88277983933,-15.465196443383466,-39.91596279701859,-59.92914951795099,-69.94129203662341,-75.94938872770642,-79.95521013792113,0.875,0.9333333333333333,0.6818181818181818,0.6551724137931034,0.6111111111111112,0.627906976744186
275404.88277983933,285857.71597599884,275403.9835584104,285856.90695752145,-13.842403478011411,-35.78745843257195,-56.80359387176588,-67.59728778105732,-74.0742407045055,-78.39261564830717,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.627906976744186
285856.90695752145,295571.1473829719,285855.1922303694,295570.9482624654,-12.429592950556579,-32.19541011026597,-53.622098127892514,-65.21135120280408,-72.1654927533851,-76.80201190839585,0.875,0.9333333333333333,0.7727272727272727,0.6551724137931034,0.6666666666666666,0.6511627906976745
295570.9482624654,304589.3811369675,295569.2595085492,304588.14932033105,-11.191339955644697,-29.05256053523856,-50.38535356034548,-62.78395232974579,-70.22356591788548,-75.18378358060755,0.875,0.9333333333333333,0.8181818181818182,0.6896551724137931,0.6944444444444444,0.6511627906976745
304588.14932033105,312950.4666538474,304585.48573106923,312948.5392504162,-10.099105250718122,-26.284956499171752,-47.093160183902135,-60.31499235693274,-68.2483824515411,-73.53783291738031,0.875,0.9333333333333333,0.8636363636363636,0.6896551724137931,0.6944444444444444,0.6511627906976745
312948.5392504162,320682.9025871563,312946.17850607104,320680.7646891252,-9.13074123535591,-23.832982008642347,-43.7455086361453,-57.8044182421358,-66.23993747103663,-71.8641571340215,0.875,0.9333333333333333,0.9090909090909091,0.7241379310344828,0.6944444444444444,0.6511627906976745
