Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
14.0,19.0,12.0,17.0,,,,,,,,,,,,
17.0,22.0,15.0,20.0,,,,,,,,,,,,
20.0,25.0,18.0,23.0,,,,,,,,,,,,
23.0,26.0,20.0,26.0,,,,,,,,,,,,
26.0,29.0,24.0,29.0,,,,,,,,,,,,
29.0,32.0,26.0,32.0,,,,,,,,,,,,
32.0,33.0,29.0,31.0,,,,,,,,,,,,
31.0,35.0,29.0,34.0,,,,,,,,,,,,
34.0,39.0,33.0,37.0,,,,,,,,,,,,
37.0,41.0,34.0,40.0,,,,,,,,,,,,
40.0,42.0,38.0,39.0,,,,,,,,,,,,
39.0,41.0,37.0,38.0,,,,,,,,,,,,
38.0,43.0,36.0,41.0,,,,,,,,,,,,
41.0,46.0,39.0,44.0,,,,,,,,,,,,
44.0,46.0,41.0,43.0,,,,,,,,,,,,
43.0,46.0,42.0,46.0,,,,,,,,,,,,
46.0,47.0,43.0,45.0,,,,,,,,,,,,
45.0,48.0,43.0,48.0,,,,,,,,,,,,
48.0,49.0,47.0,47.0,,,,,,,,,,,,
47.0,49.0,45.0,46.0,,,,,,,,,,,,
46.0,47.0,45.0,45.0,,,,,,,,,,,,
45.0,49.0,43.0,48.0,,,,,,,,,,,,
48.0,52.0,45.0,51.0,,,,,,,,,,,,
51.0,54.0,49.0,54.0,,,,,,,,,,,,
54.0,54.0,51.0,53.0,,,,,,,,,,,,
53.0,53.0,51.0,52.0,,,,,,,,,,,,
52.0,55.0,50.0,55.0,,,,,,,,,,,,
55.0,55.0,52.0,54.0,,,,,,,,,,,,
54.0,56.0,52.0,53.0,,,,,,,,,,,,
53.0,58.0,52.0,56.0,,,,,,,,,,,,
56.0,58.0,55.0,55.0,,,,,,,,,,,,
55.0,55.0,52.0,54.0,,,,,,,,,,,,
54.0,56.0,52.0,53.0,,,,,,,,,,,,
53.0,53.0,51.0,52.0,,,,,,,,,,,,
52.0,57.0,51.0,55.0,,,,,,,,,,,,
55.0,59.0,52.0,58.0,,,,,,,,,,,,
58.0,63.0,57.0,61.0,,,,,,,,,,,,
61.0,61.0,59.0,60.0,,,,,,,,,,,,
60.0,61.0,57.0,59.0,,,,,,,,,,,,
59.0,63.0,56.0,62.0,,,,,,,,,,,,
62.0,64.0,59.0,61.0,,,,,,,,,,,,
61.0,62.0,59.0,60.0,,,,,,,,,,,,
60.0,65.0,58.0,63.0,,,,,,,,,,,,
63.0,68.0,62.0,66.0,,,,,,,,,,,,
66.0,70.0,63.0,69.0,,,,,,,,,,,,
66.0,1213.5634672436183,64.5960243134601,1210.6110524138967,-8.902691511387173,-13.768115942028981,-16.425120772946865,-19.77225672877847,-23.561076604554863,-28.39889579020014,0.5,0.4666666666666667,0.4090909090909091,0.4482758620689655,0.4444444444444444,0.5116279069767442
1210.6110524138967,25442.36643538139,1210.6051993561236,25440.84910653411,-81.21832713865206,-88.2608807437326,-90.68313458141652,-91.99751514208734,-92.87818672492013,-93.58920548366994,0.625,0.5333333333333333,0.45454545454545453,0.4482758620689655,0.4722222222222222,0.5116279069767442
25440.84910653411,51832.98252166454,25439.81390024986,51832.03033244748,-84.85536837345515,-92.31341351734194,-94.80448230498219,-96.05436853019168,-96.80823095173359,-97.31670192905253,0.625,0.6,0.5,0.4827586206896552,0.5,0.5116279069767442
51832.03033244748,76831.8192710036,51831.87105307978,76831.34882305053,-78.29761966921878,-89.09148179724774,-92.69301884225916,-94.49509653869501,-95.57849295795758,-96.30346745718097,0.75,0.6666666666666666,0.5,0.5172413793103449,0.5,0.5116279069767442
76831.34882305053,100351.03747858538,76829.79341047435,100349.21047470413,-71.08456347261398,-85.50314220663313,-90.31200020075349,-92.71694052183554,-94.1616525129595,-95.12625033910444,0.875,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.5,0.5348837209302325
100349.21047470413,122400.24847858165,100348.89269124212,122399.85621687594,-63.58444553217322,-81.76190008463786,-87.82309209555692,-90.85407959103513,-92.674010272386,-93.888317640002,0.875,0.6666666666666666,0.5909090909090909,0.5517241379310345,0.5277777777777778,0.5348837209302325
122399.85621687594,143027.53313932178,122398.31079968718,143027.0981441797,-55.86678919248473,-77.90824283933901,-85.25706694830104,-88.9317999648771,-91.13773688162037,-92.60912013046178,0.875,0.6666666666666666,0.5909090909090909,0.5517241379310345,0.5277777777777778,0.5348837209302325
143027.0981441797,162284.10012855998,143026.46300127573,162283.41156842804,-47.95281943956068,-73.95443586179373,-82.62320614090986,-86.95796583486542,-89.55960072438555,-91.29473979913641,0.875,0.7333333333333333,0.6363636363636364,0.5517241379310345,0.5555555555555556,0.5348837209302325
162283.41156842804,180239.2030348485,162283.1580665035,180239.0142790385,-39.94951723449386,-69.90470431986367,-79.92479097710942,-84.93525244546822,-87.94214553241012,-89.9473131149223,0.875,0.8,0.6818181818181818,0.5862068965517241,0.5555555555555556,0.5581395348837209
180239.0142790385,197026.98941645306,180238.4566122086,197024.31424470575,-33.66253351444806,-65.76242966463852,-77.16420019232963,-82.8656204600522,-86.28696403165426,-88.56832209508516,0.875,0.8,0.7272727272727273,0.6206896551724138,0.5833333333333334,0.5813953488372093
197024.31424470575,212739.50874252428,197021.96419400847,212736.7037972365,-28.78658094879024,-61.5386213948361,-74.34902657498257,-80.75493611188529,-84.598757362022,-87.16177615999946,0.875,0.8666666666666667,0.7727272727272727,0.6206896551724138,0.6111111111111112,0.5813953488372093
212736.7037972365,227441.13803244496,212736.69713948574,227440.0487520978,-24.919960497889647,-57.23847415584527,-71.48289242726287,-78.60582344793949,-82.87972979494351,-85.72952671765141,0.875,0.9333333333333333,0.7727272727272727,0.6551724137931034,0.6388888888888888,0.5813953488372093
227440.0487520978,241190.34428444965,227439.344996205,241188.77205092943,-21.79097909007124,-52.862005205107344,-68.5657509888586,-76.41829909791524,-81.12996614733048,-84.27156953232836,0.875,0.9333333333333333,0.7727272727272727,0.6896551724137931,0.6388888888888888,0.6046511627906976
241188.77205092943,254026.3819730883,241185.79459361572,254024.42704285553,-19.213287273552424,-48.40815663571407,-65.59692831893409,-74.19195088764904,-79.34909473582042,-82.7876546062902,0.875,0.9333333333333333,0.7727272727272727,0.6896551724137931,0.6388888888888888,0.6046511627906976
254024.42704285553,265987.08428632905,254023.87890026995,265986.38086006034,-17.05315739540163,-43.87413505516496,-62.57450852778701,-71.92535605544323,-77.53603328472084,-81.27685031505432,0.875,0.9333333333333333,0.8181818181818182,0.7241379310344828,0.6388888888888888,0.627906976744186
265986.38086006034,277114.29020108597,265983.8914077688,277111.47156452335,-15.21372227929051,-39.287883344604424,-59.49676124608586,-69.61722694451937,-75.6897104556616,-79.73834609567196,0.875,0.9333333333333333,0.8636363636363636,0.7586206896551724,0.6666666666666666,0.627906976744186
277111.47156452335,287461.04139022605,277110.88551935065,287458.8732492566,-13.62361410256635,-35.238179114446524,-56.36199028889646,-67.2662472772816,-73.80907985235406,-78.17123458892344,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.6944444444444444,0.6511627906976745
287458.8732492566,297074.21347874583,287458.2915654025,297071.87381745264,-12.238542540722186,-31.714432249407754,-53.171894691503965,-64.87375257742134,-71.89525494206225,-76.57641389089808,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.6944444444444444,0.6744186046511628
297071.87381745264,305995.28546878335,297070.9640155267,305994.26934308704,-11.022886551201927,-28.628588430749424,-49.926270523367656,-62.43964158729596,-69.94807778598526,-74.95379008053115,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7222222222222222,0.6976744186046512
305994.26934308704,314265.06456808484,305991.8489971993,314264.7330713339,-9.949944390927968,-25.90929137929171,-46.62543109707825,-59.96410124089782,-67.96770482863965,-73.30352614519526,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.75,0.6976744186046512
314264.7330713339,321912.4167048244,314264.4055879317,321911.438076936,-8.99792353027944,-23.498270325638813,-43.269177925536454,-57.4469853898933,-65.95406080369652,-71.62552775179559,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.75,0.6976744186046512
321911.438076936,328962.77361126564,321908.93342317565,328961.6373742076,-8.146918013608929,-21.346252583944747,-39.855881449037,-54.88702953121447,-63.906135531632714,-69.91898380968951,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.7777777777777778,0.6976744186046512
328961.6373742076,335446.1118292238,328961.60484791314,335443.9970693033,-7.3806767291540565,-19.412792603407237,-36.400490237797165,-52.283088079326646,-61.8230136991218,-68.1831016301629,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8055555555555556,0.7209302325581395
335443.9970693033,341398.31709276984,335442.2646234897,341396.3297516438,-6.6862835463798564,-17.66522293489604,-33.22878176462625,-49.634435344952266,-59.70408165514578,-66.41737083893169,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.7441860465116279
341396.3297516438,346855.14084862906,341395.035028024,346852.9058269598,-6.056221679897023,-16.0801306224853,-30.35402001058588,-46.941781463110686,-57.549943670176475,-64.6223238004322,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.7441860465116279
346852.9058269598,351846.35625123605,346850.34568905405,351844.1384226047,-5.483799700452508,-14.638430951670479,-27.74257194500859,-44.20566517165506,-55.36106422016768,-62.79829209027212,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.7674418604651163
351844.1384226047,356400.3770271929,351841.24589336355,356397.71228378615,-4.962984458859099,-13.323811368329164,-25.363844623994623,-41.42637002583099,-53.13763669670788,-60.94543879444848,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.7906976744186046
356397.71228378615,360536.5955800767,356397.66521767364,360536.18067961745,-4.488397705374226,-12.122247609742908,-23.190951162084193,-38.603978430481654,-50.87972753541796,-59.06384753806226,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.7906976744186046
360536.18067961745,364287.1593232192,360535.5825002098,364284.80384683266,-4.0542934516634705,-11.02077996078119,-21.19978979403444,-35.737976767906545,-48.58689454414545,-57.15315011258208,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.813953488372093
364284.80384683266,367667.04253412504,364282.75036527705,367666.3287679773,-3.6563840027871497,-10.00898363211008,-19.37012495157052,-32.83969656108702,-46.25927399373042,-55.213460347751166,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8372093023255814
367666.3287679773,370709.80322585645,367664.1830864779,370708.9570346718,-3.290479716066619,-9.077395620728435,-17.684196594769507,-30.133085870143383,-43.89688067684949,-53.244764892664165,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
370708.9570346718,373437.2874450077,370707.37293635507,373434.9240375283,-2.954634854775673,-8.219580444132879,-16.128762536884278,-27.634448862921555,-41.50067953469373,-51.247894435753416,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
373434.9240375283,375873.9859745726,373432.3508913331,375871.2250716131,-2.6461456195368993,-7.428920694624441,-14.691833744641103,-25.326061717323412,-39.07102386627813,-49.223169003342925,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
375871.2250716131,378043.33406245837,375869.0571503566,378041.3491387808,-2.363972386227098,-6.701038170346485,-13.364307936906938,-23.192142043693508,-36.609285918175594,-47.17170643922663,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
378041.3491387808,379964.66486897034,378038.3629278149,379962.3587029717,-2.106560018271575,-6.031595698794446,-12.137805229867048,-21.217959186538938,-34.11653252796884,-45.09439594729082,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
379962.3587029717,381654.6243608248,379959.45985760534,381653.43653529027,-1.8711088153313682,-5.415389318646757,-11.003692047015246,-19.38920881341948,-31.593001438122304,-42.99141069975744,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
381653.43653529027,383132.6390683382,381651.9078020481,383132.5759112343,-1.6557832773918535,-4.8483302150507885,-9.954845681810609,-17.69357295399884,-29.04802777994224,-40.86342718680304,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
383132.5759112343,384422.69888522686,383132.509263321,384421.6391242803,-1.458771618358412,-4.326604480629415,-8.984755713861436,-16.12002577023024,-26.654525989585398,-38.71116549404289,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
384421.6391242803,385538.53290046914,384421.6011939886,385537.5629723311,-1.2796204495929553,-3.847977460142482,-8.088856476511975,-14.660301566172274,-24.42856109676982,-36.53610792225797,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
385537.5629723311,386503.4442720612,385536.04394310847,386500.74406378204,-1.1169114891139809,-3.409574925986858,-7.262220163735367,-13.306572718238929,-22.359538878392993,-34.33921990913379,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
386500.74406378204,387329.10404689517,386498.6873809767,387327.55826990167,-0.9704487692662855,-3.0098005025791075,-6.501443130698947,-12.052830133369252,-20.437695265983123,-32.122285897633695,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
387327.55826990167,388033.0272260436,387326.7631365704,388030.420395963,-0.8393424496225377,-2.6464527533015203,-5.802777945683946,-10.893066885256776,-18.65328041349603,-29.886635341852998,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
388030.420395963,388624.15078011656,388028.294737922,388624.1462859915,-0.721924455560119,-2.316681429658096,-5.161991492030705,-9.821081486473737,-16.996621733964446,-27.63310677012869,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
388624.1462859915,389123.56911901117,388622.98200851807,389120.799238943,-0.6173565729604591,-2.018564774164344,-4.57582255100808,-8.831821131973882,-15.459386941552067,-25.370130860266215,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389120.799238943,389536.5285231915,389120.54112935695,389534.4130767296,-0.524358809080161,-1.749796184268959,-4.040741617915722,-7.92013928775801,-14.033562992149285,-23.240099518053604,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389534.4130767296,389879.1063166891,389532.6136619742,389876.41573392967,-0.4424786847518902,-1.5089191368397148,-3.554163578283609,-7.082036198911046,-12.712827445806706,-21.25746509784461,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389876.41573392967,390160.41174787976,389873.4410442213,390158.34333390574,-0.37082861073207685,-1.2940946138443876,-3.1132825261579677,-6.3134167340143765,-11.491258254896053,-19.414790824041063,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390158.34333390574,390390.7680568176,390158.2864754046,390389.9025456397,-0.3088968197552,-1.1038566579225861,-2.7156656156412162,-5.61069398143732,-10.363622864109956,-17.704453055574543,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390389.9025456397,390585.30628225976,390388.18536671327,390583.09162655263,-0.25596670562151314,-0.9365786635777584,-2.3587391480692443,-4.970260173243801,-9.324833661843346,-16.118819710905807,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390583.09162655263,390741.0823426308,390582.52426711674,390739.30330266815,-0.21193696107916216,-0.7913486013411131,-2.0407087326759554,-4.3893410236387265,-8.37074688994056,-14.651234154173576,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390739.30330266815,390869.505946509,390737.9014475917,390868.22669223824,-0.17449903737303263,-0.6649177606227297,-1.7574727722359462,-3.862905576420528,-7.495167292077465,-13.293269595412372,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390868.22669223824,390973.84028167237,390865.26504930045,390973.16337677167,-0.14355917949432362,-0.5563184168248747,-1.5072107608454788,-3.3881948056871503,-6.69414730017338,-12.038832509644582,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390973.16337677167,391059.4612843261,390971.8701860234,391058.46090764593,-0.11779021929546607,-0.46331635180759667,-1.2868357530589902,-2.961255022597742,-5.962731605678318,-10.881329480712331,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391058.46090764593,391129.3279770353,391057.49402751314,391127.59497228026,-0.09639532674529105,-0.3841855951585371,-1.0937658606620104,-2.5787039924062727,-5.296560213904478,-9.815059213474663,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391127.59497228026,391186.02802363416,391125.6528355692,391184.8738937546,-0.0786524985651682,-0.31729670967630685,-0.9255046810837664,-2.237222259468208,-4.69141027679566,-8.834567408985661,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391184.8738937546,391231.19390177995,391183.88749668084,391229.14975273825,-0.06425177168818408,-0.2614598453707928,-0.7800150758366708,-1.9339382514683146,-4.143555101411689,-7.934962793247702,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391229.14975273825,391268.3467411356,391228.47391035745,391266.5885480534,-0.051970834263892485,-0.21434664507209433,-0.6541084660619534,-1.6648484159200283,-3.6481766806741422,-7.110377884855246,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391266.5885480534,391296.6698007291,391263.78617356735,391296.3582830022,-0.04228252284783629,-0.17565503843378627,-0.5466177549229845,-1.4279716421541688,-3.2024272731750347,-6.356905592918249,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391296.3582830022,391322.4165679734,391295.3970381641,391321.2611302871,-0.034256762422302245,-0.14353625454893715,-0.4548345002060916,-1.2197956709963709,-2.8019723916113626,-5.669239985751428,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391321.2611302871,391341.93001677917,391319.1452797756,391339.024388698,-0.02791058688998982,-0.11727524821921742,-0.3772093163772916,-1.0379617905132088,-2.4436423764241044,-5.043303397234988,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
391339.024388698,391356.23132985283,391337.27274926,391354.3064022601,-0.022206530989443696,-0.0951129759032554,-0.31113775244251407,-0.8790578136367855,-2.1232800581083455,-4.4740812078390535,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
