Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
14.0,17.0,13.0,17.0,,,,,,,,,,,,
17.0,22.0,15.0,20.0,,,,,,,,,,,,
20.0,22.0,19.0,19.0,,,,,,,,,,,,
19.0,22.0,17.0,22.0,,,,,,,,,,,,
22.0,23.0,21.0,21.0,,,,,,,,,,,,
21.0,21.0,19.0,20.0,,,,,,,,,,,,
20.0,24.0,18.0,23.0,,,,,,,,,,,,
23.0,24.0,21.0,22.0,,,,,,,,,,,,
22.0,23.0,19.0,21.0,,,,,,,,,,,,
21.0,26.0,18.0,24.0,,,,,,,,,,,,
24.0,24.0,22.0,23.0,,,,,,,,,,,,
23.0,26.0,21.0,26.0,,,,,,,,,,,,
26.0,28.0,23.0,25.0,,,,,,,,,,,,
25.0,28.0,23.0,28.0,,,,,,,,,,,,
28.0,33.0,26.0,31.0,,,,,,,,,,,,
31.0,35.0,30.0,34.0,,,,,,,,,,,,
34.0,37.0,32.0,37.0,,,,,,,,,,,,
37.0,38.0,34.0,36.0,,,,,,,,,,,,
36.0,39.0,34.0,39.0,,,,,,,,,,,,
39.0,42.0,37.0,42.0,,,,,,,,,,,,
42.0,47.0,40.0,45.0,,,,,,,,,,,,
45.0,46.0,43.0,44.0,,,,,,,,,,,,
44.0,46.0,42.0,43.0,,,,,,,,,,,,
43.0,47.0,42.0,46.0,,,,,,,,,,,,
46.0,51.0,45.0,49.0,,,,,,,,,,,,
49.0,52.0,46.0,52.0,,,,,,,,,,,,
52.0,55.0,51.0,55.0,,,,,,,,,,,,
55.0,59.0,54.0,58.0,,,,,,,,,,,,
58.0,61.0,55.0,61.0,,,,,,,,,,,,
61.0,61.0,59.0,60.0,,,,,,,,,,,,
60.0,62.0,57.0,59.0,,,,,,,,,,,,
59.0,64.0,56.0,62.0,,,,,,,,,,,,
62.0,65.0,60.0,65.0,,,,,,,,,,,,
65.0,70.0,64.0,68.0,,,,,,,,,,,,
68.0,72.0,66.0,71.0,,,,,,,,,,,,
71.0,71.0,67.0,70.0,,,,,,,,,,,,
70.0,74.0,67.0,73.0,,,,,,,,,,,,
73.0,73.0,69.0,72.0,,,,,,,,,,,,
72.0,73.0,69.0,71.0,,,,,,,,,,,,
71.0,71.0,67.0,70.0,,,,,,,,,,,,
70.0,72.0,69.0,69.0,,,,,,,,,,,,
69.0,71.0,67.0,68.0,,,,,,,,,,,,
68.0,70.0,65.0,67.0,,,,,,,,,,,,
67.0,70.0,64.0,70.0,,,,,,,,,,,,
70.0,70.0,68.0,69.0,,,,,,,,,,,,
70.0,929.8175998907202,68.97541703485857,927.6083402461775,0.20703933747412417,-0.10351966873706209,-6.211180124223614,-14.389233954451353,-23.06418219461698,-30.607315389924082,0.125,0.4,0.5,0.5172413793103449,0.5555555555555556,0.5348837209302325
927.6083402461775,24219.72520447518,927.2877122644392,24217.383332377114,-79.353842686753,-85.90377717450114,-88.51317161737865,-90.19903340281601,-91.49084118376632,-92.51375254973262,0.25,0.4,0.5,0.5517241379310345,0.5833333333333334,0.5348837209302325
24217.383332377114,50623.53616898308,24217.002503957287,50620.78339830588,-84.96476015784233,-92.33638105676475,-94.80833539904762,-96.05891247240469,-96.81999480612902,-97.33436345324027,0.375,0.4,0.5,0.5517241379310345,0.5833333333333334,0.5581395348837209
50620.78339830588,75673.27994400728,50619.063199992044,75670.86988477975,-78.54078052356597,-89.20040206908789,-92.75953567047127,-94.54608717990973,-95.62292854747966,-96.34472670381236,0.5,0.4,0.5,0.5517241379310345,0.6111111111111112,0.5813953488372093
75670.86988477975,99244.39878550544,75668.18599936127,99242.74075761727,-71.3717642909904,-85.63934602694931,-90.39816427642265,-92.78224589176382,-94.21582873345477,-95.17453976331896,0.625,0.4,0.5,0.5517241379310345,0.6111111111111112,0.5813953488372093
99242.74075761727,121352.8726389324,99242.27146578801,121351.47520992231,-63.89539659474145,-81.91243123427591,-87.91978883141097,-90.92674242869445,-92.73341926828024,-93.94024562340981,0.75,0.4666666666666667,0.5,0.5862068965517241,0.6111111111111112,0.6046511627906976
