Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
42.0,43.0,39.0,41.0,,,,,,,,,,,,
41.0,44.0,40.0,44.0,,,,,,,,,,,,
44.0,47.0,41.0,47.0,,,,,,,,,,,,
47.0,48.0,44.0,46.0,,,,,,,,,,,,
46.0,51.0,45.0,49.0,,,,,,,,,,,,
49.0,52.0,46.0,52.0,,,,,,,,,,,,
52.0,56.0,50.0,55.0,,,,,,,,,,,,
55.0,59.0,52.0,58.0,,,,,,,,,,,,
58.0,58.0,54.0,57.0,,,,,,,,,,,,
57.0,57.0,53.0,56.0,,,,,,,,,,,,
56.0,57.0,55.0,55.0,,,,,,,,,,,,
55.0,56.0,53.0,54.0,,,,,,,,,,,,
54.0,58.0,51.0,57.0,,,,,,,,,,,,
57.0,60.0,55.0,60.0,,,,,,,,,,,,
60.0,61.0,59.0,59.0,,,,,,,,,,,,
59.0,63.0,56.0,62.0,,,,,,,,,,,,
62.0,63.0,60.0,61.0,,,,,,,,,,,,
61.0,66.0,58.0,64.0,,,,,,,,,,,,
64.0,68.0,62.0,67.0,,,,,,,,,,,,
67.0,68.0,65.0,66.0,,,,,,,,,,,,
66.0,66.0,64.0,65.0,,,,,,,,,,,,
65.0,70.0,63.0,68.0,,,,,,,,,,,,
68.0,69.0,66.0,67.0,,,,,,,,,,,,
67.0,70.0,65.0,70.0,,,,,,,,,,,,
70.0,73.0,69.0,73.0,,,,,,,,,,,,
73.0,74.0,70.0,72.0,,,,,,,,,,,,
72.0,77.0,70.0,75.0,,,,,,,,,,,,
75.0,75.0,73.0,74.0,,,,,,,,,,,,
74.0,74.0,72.0,73.0,,,,,,,,,,,,
73.0,77.0,72.0,76.0,,,,,,,,,,,,
76.0,76.0,72.0,75.0,,,,,,,,,,,,
75.0,80.0,73.0,78.0,,,,,,,,,,,,
78.0,83.0,75.0,81.0,,,,,,,,,,,,
81.0,83.0,79.0,80.0,,,,,,,,,,,,
80.0,82.0,79.0,79.0,,,,,,,,,,,,
79.0,83.0,77.0,82.0,,,,,,,,,,,,
82.0,87.0,80.0,85.0,,,,,,,,,,,,
85.0,90.0,82.0,88.0,,,,,,,,,,,,
88.0,88.0,85.0,87.0,,,,,,,,,,,,
87.0,92.0,85.0,90.0,,,,,,,,,,,,
90.0,95.0,89.0,93.0,,,,,,,,,,,,
93.0,96.0,92.0,96.0,,,,,,,,,,,,
96.0,97.0,95.0,95.0,,,,,,,,,,,,
95.0,99.0,93.0,98.0,,,,,,,,,,,,
98.0,103.0,95.0,101.0,,,,,,,,,,,,
98.0,1349.2947221896675,96.99152974007853,1346.4756098106977,-6.647807637906644,-12.800565770862804,-17.44460160301745,-21.570014144271575,-25.714285714285722,-29.302215935879307,0.625,0.6666666666666666,0.5909090909090909,0.5862068965517241,0.5555555555555556,0.5581395348837209
1346.4756098106977,24855.304849244312,1345.7883274772041,24853.586808207143,-79.63492250408606,-86.73003595681075,-89.30373138311269,-90.71524317605396,-91.68734481705495,-92.39730254641249,0.75,0.6666666666666666,0.5909090909090909,0.5862068965517241,0.5833333333333334,0.5813953488372093
24853.586808207143,51171.314393373614,24850.66811870732,51168.76421100374,-84.6627125125534,-92.16150437115425,-94.67240595653357,-95.9351853838605,-96.69871594796646,-97.21185568729727,0.75,0.6666666666666666,0.6363636363636364,0.5862068965517241,0.6111111111111112,0.5813953488372093
51168.76421100374,76156.40995271705,51166.00087115831,76154.28904055813,-78.29065451270543,-89.06101242520896,-92.65736693212142,-94.45882464672314,-95.54254699494665,-96.267215534526,0.75,0.7333333333333333,0.6363636363636364,0.6206896551724138,0.6111111111111112,0.5813953488372093
76154.28904055813,99674.81336219079,76153.88565966593,99672.4392576536,-71.14558622511726,-85.51454669805463,-90.30914003524504,-92.70845328662902,-94.15010471752237,-95.11267511937487,0.75,0.8,0.6818181818181818,0.6551724137931034,0.6111111111111112,0.5813953488372093
99672.4392576536,121737.6390133197,99670.74180701056,121734.95794013626,-63.68181374704116,-81.79547233351836,-87.83732389895836,-90.85993376951758,-92.67496162342414,-93.88629402008748,0.875,0.8,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.5813953488372093
121734.95794013626,142380.10929491202,121734.85612904382,142378.04801658515,-55.98969160857603,-77.95688276844666,-85.28268299960207,-88.94696198897,-91.14682024316035,-92.61446812976186,0.875,0.8,0.7272727272727273,0.6896551724137931,0.6388888888888888,0.6046511627906976
142378.04801658515,161655.40023904477,142376.37012919594,161653.58167410808,-48.095072229945444,-74.01442507166263,-82.65711911058649,-86.97984575685302,-89.57450517686073,-91.30526476573215,0.875,0.8,0.7727272727272727,0.6896551724137931,0.6666666666666666,0.627906976744186
161653.58167410808,179631.27055446024,161653.4936741624,179629.30877545272,-40.11748014923858,-69.9739257455578,-79.96547291893977,-84.96254999846731,-87.9616269467034,-89.96188057408514,0.875,0.8666666666666667,0.7727272727272727,0.6896551724137931,0.6666666666666666,0.6511627906976745
179629.30877545272,196438.42286510637,179626.56124899304,196436.2329239952,-33.8008611345239,-65.83939378943803,-77.21059534072263,-82.89736916706111,-86.31024465724396,-88.58617097934895,0.875,0.8666666666666667,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.6744186046511628
196436.2329239952,212168.6031608234,196435.85751972804,212166.69951043915,-28.900310797640206,-61.622671986316455,-74.40047280439238,-80.79059134773644,-84.62534608344302,-87.18246739828831,0.875,0.8666666666666667,0.8181818181818182,0.7241379310344828,0.6944444444444444,0.6744186046511628
212166.69951043915,226889.58157624005,212164.97810605913,226889.27793333057,-25.013729388387652,-57.32841922707149,-71.53834165722317,-78.64463268917318,-82.9089863678428,-85.75250603487218,0.875,0.8666666666666667,0.8636363636363636,0.7586206896551724,0.7222222222222222,0.6744186046511628
226889.27793333057,240659.46876233257,226889.01505814117,240658.442024092,-21.869499011214277,-52.95746153894114,-68.62500143308733,-76.46007787015469,-81.16171558810336,-84.29667592207484,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.7222222222222222,0.6976744186046512
240658.442024092,253514.84077315524,240657.6552978886,253514.55580928284,-19.28028908516186,-48.509030678671515,-65.65988494041228,-74.23660317199412,-79.38319210389437,-82.81479553389018,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.75,0.6976744186046512
253514.55580928284,265498.7239978637,253512.98267742473,265497.5857828419,-17.11109368312991,-43.98020564517672,-62.64107328340241,-71.97273272952008,-77.57234825452645,-81.3059042518659,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.75,0.7209302325581395
265497.5857828419,276642.75806672836,265494.86654683854,276641.0480149275,-15.264653073638645,-39.4019840932082,-59.56689544759397,-69.66734262023637,-75.72824585023017,-79.7692694942542,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.75,0.7209302325581395
276641.0480149275,287003.78266077425,276640.89575710555,287003.6878587136,-13.668227474083572,-35.34181235721541,-56.43523807005402,-67.31879875826068,-73.84954452192918,-78.20381397013713,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.7777777777777778,0.7209302325581395
287003.6878587136,296635.24822157447,287001.22439330607,296634.10941011977,-12.277319496564964,-31.80699486066283,-53.24783849403951,-64.92836278990629,-71.93734435736248,-76.61038864271879,0.875,0.9333333333333333,0.9090909090909091,0.8620689655172413,0.7777777777777778,0.7441860465116279
296634.10941011977,305572.8518937834,296632.261361904,305572.1239689574,-11.057396096206972,-28.711840108367713,-50.005314519109035,-62.49650914585387,-69.99198684007759,-74.98931711177107,0.875,0.9333333333333333,0.9090909090909091,0.896551724137931,0.8055555555555556,0.7674418604651163
305572.1239689574,313857.6608861632,305571.18800674874,313856.4785859179,-9.980496918413495,-25.98404736391995,-46.70723964402516,-60.023019745206895,-68.01326386773096,-73.34045949665568,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.7674418604651163
313856.4785859179,321516.80221422826,313856.366782844,321515.78138481977,-9.024860278448521,-23.56535529003928,-43.35350333530486,-57.50776517365248,-66.00111426741331,-71.66370354414806,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.7906976744186046
321515.78138481977,328583.28763002396,321514.71856982226,328580.9616545056,-8.1706566802057,-21.40645924084761,-39.94255441439181,-54.94958446659983,-63.9545756214942,-69.95831035499012,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.7906976744186046
328580.9616545056,335077.88866204175,328579.21576081234,335077.8166732223,-7.4025043867533284,-19.467634508801947,-36.49152434847815,-52.3477800013556,-61.87316327834972,-68.2238463201736,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.7906976744186046
335077.8166732223,341046.92071474646,335076.8522885974,341044.0277983549,-6.706491505170343,-17.71538666409892,-33.31419411141536,-49.701244030396765,-59.75595588317171,-66.4595163528835,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.813953488372093
341044.0277983549,346517.7149849776,341043.8030355664,346515.1728064029,-6.0749129685614855,-16.12619171904125,-30.433343778404975,-47.01071386449884,-57.60351099922081,-64.6658435070671,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8888888888888888,0.813953488372093
346515.1728064029,351521.1624995789,346512.30687225703,351518.1913625998,-5.501463767780335,-14.681100063815379,-27.816363088700435,-44.27692516641948,-55.4164197636582,-62.84329231478127,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.9166666666666666,0.8372093023255814
351518.1913625998,356083.6054831046,351517.92338080634,356082.03045554116,-4.97917369703652,-13.362947842094997,-25.432050037804956,-41.499546149106614,-53.194483761878544,-60.99167102431634,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
356082.03045554116,360232.6832519772,356081.45246813993,360231.3790243771,-4.502984523367559,-12.158010212983438,-23.25383757805427,-38.678890251877604,-50.93792078135038,-59.111189528913854,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
360231.3790243771,363991.4757748126,360228.7184870167,363990.18494136306,-4.067626664737734,-11.053786618037842,-21.258036332030617,-35.81479421196978,-48.64660063880133,-57.20171328393321,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
363990.18494136306,367381.5574985801,363987.4608505523,367380.35924991313,-3.668564051399914,-10.039509234915933,-19.424108101896465,-32.91939643187217,-46.32045021167668,-55.26323483303164,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
367380.35924991313,370430.764066482,367377.9763081149,370428.9245136325,-3.3014117763859763,-9.105446800230965,-17.734071367289395,-30.208595656370306,-43.95936047456487,-53.295636855046254,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
370428.9245136325,373165.9506170309,370427.2193859846,373165.4317600757,-2.9639859615833597,-8.244832121159662,-16.17441029341784,-27.70487322580356,-41.56413959482763,-51.29956741898138,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9069767441860465
373165.4317600757,375613.5014001459,373164.56562160776,375611.00088473165,-2.6553340349375065,-7.452787640226433,-14.73464323472582,-25.392445896265116,-39.136255258254735,-49.27625047406472,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9302325581395349
