Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
49.0,53.0,48.0,52.0,,,,,,,,,,,,
52.0,57.0,51.0,55.0,,,,,,,,,,,,
55.0,56.0,52.0,54.0,,,,,,,,,,,,
54.0,58.0,51.0,57.0,,,,,,,,,,,,
57.0,59.0,56.0,56.0,,,,,,,,,,,,
56.0,58.0,53.0,55.0,,,,,,,,,,,,
55.0,57.0,53.0,54.0,,,,,,,,,,,,
54.0,58.0,51.0,57.0,,,,,,,,,,,,
57.0,61.0,54.0,60.0,,,,,,,,,,,,
60.0,61.0,58.0,59.0,,,,,,,,,,,,
59.0,59.0,57.0,58.0,,,,,,,,,,,,
58.0,61.0,56.0,61.0,,,,,,,,,,,,
61.0,63.0,60.0,60.0,,,,,,,,,,,,
60.0,64.0,59.0,63.0,,,,,,,,,,,,
63.0,66.0,60.0,66.0,,,,,,,,,,,,
66.0,70.0,63.0,69.0,,,,,,,,,,,,
69.0,71.0,66.0,68.0,,,,,,,,,,,,
68.0,71.0,66.0,71.0,,,,,,,,,,,,
71.0,75.0,69.0,74.0,,,,,,,,,,,,
74.0,77.0,73.0,77.0,,,,,,,,,,,,
77.0,80.0,76.0,80.0,,,,,,,,,,,,
80.0,80.0,78.0,79.0,,,,,,,,,,,,
79.0,80.0,77.0,78.0,,,,,,,,,,,,
78.0,83.0,76.0,81.0,,,,,,,,,,,,
81.0,81.0,78.0,80.0,,,,,,,,,,,,
80.0,85.0,79.0,83.0,,,,,,,,,,,,
83.0,88.0,82.0,86.0,,,,,,,,,,,,
86.0,88.0,85.0,85.0,,,,,,,,,,,,
85.0,88.0,83.0,88.0,,,,,,,,,,,,
88.0,90.0,87.0,87.0,,,,,,,,,,,,
87.0,89.0,86.0,86.0,,,,,,,,,,,,
86.0,88.0,84.0,85.0,,,,,,,,,,,,
85.0,90.0,82.0,88.0,,,,,,,,,,,,
88.0,91.0,85.0,91.0,,,,,,,,,,,,
91.0,94.0,89.0,94.0,,,,,,,,,,,,
94.0,96.0,92.0,93.0,,,,,,,,,,,,
93.0,97.0,92.0,96.0,,,,,,,,,,,,
96.0,100.0,93.0,99.0,,,,,,,,,,,,
99.0,101.0,98.0,98.0,,,,,,,,,,,,
98.0,99.0,96.0,97.0,,,,,,,,,,,,
97.0,99.0,96.0,96.0,,,,,,,,,,,,
96.0,101.0,93.0,99.0,,,,,,,,,,,,
99.0,102.0,97.0,102.0,,,,,,,,,,,,
102.0,102.0,98.0,101.0,,,,,,,,,,,,
101.0,104.0,99.0,104.0,,,,,,,,,,,,
101.0,800.2512142950955,99.65732146919427,797.808393872247,-4.258241758241765,-7.760989010989006,-11.263736263736257,-14.903846153846157,-19.697802197802194,-23.969780219780223,0.375,0.5333333333333333,0.5,0.5517241379310345,0.5555555555555556,0.5348837209302325
797.808393872247,21786.581218140775,796.4457884935091,21785.11854012245,-74.988473698684,-81.59414493090999,-84.14819054973242,-85.65351737116185,-86.88260624980241,-87.87807643960298,0.5,0.6,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5348837209302325
21785.11854012245,48115.56301704254,21783.669350167092,48114.62910043455,-84.86192903296524,-92.21194213371977,-94.67571736901526,-95.91531011539793,-96.67047591131157,-97.18124237986734,0.625,0.6,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5581395348837209
48114.62910043455,73218.51683285984,48114.02716661613,73217.54502724965,-78.888643533221,-89.34441155329246,-92.83590266987798,-94.584840010617,-95.63889359298145,-96.34550529615859,0.75,0.6,0.5454545454545454,0.5517241379310345,0.6111111111111112,0.5813953488372093
73217.54502724965,96876.36188885858,73216.6657372816,96875.49871835305,-71.8603549369791,-85.8640340715612,-90.53576434397232,-92.87392206104485,-94.27943120904307,-95.21926645005504,0.75,0.6,0.5909090909090909,0.5517241379310345,0.6111111111111112,0.6046511627906976
96875.49871835305,119083.55547229842,96872.84866712382,119082.2159503201,-64.46166132696618,-82.18017654637336,-88.08944504442701,-91.04566453874911,-92.82125429029313,-94.00721733894837,0.75,0.6666666666666666,0.5909090909090909,0.5862068965517241,0.6111111111111112,0.6046511627906976
119082.2159503201,139871.65139776355,119080.80733772014,139870.44835207012,-56.815332180663816,-78.36615815311886,-85.55212612495413,-89.14639973608864,-91.30447546348867,-92.7450120863249,0.875,0.6666666666666666,0.6363636363636364,0.6206896551724138,0.6111111111111112,0.6046511627906976
139870.44835207012,159289.6719783681,139870.43375930702,159288.2305575092,-48.958557214876585,-74.44368444521727,-82.94046315592698,-87.19015473672894,-89.74109317383116,-91.44333594127806,0.875,0.6666666666666666,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.627906976744186
159288.2305575092,177401.7514102532,159285.74851033208,177401.4587185024,-40.96652124245467,-70.42062446299737,-80.26071557354398,-85.1820839778751,-88.13581980422902,-90.10633723947356,0.875,0.7333333333333333,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6511627906976745
177401.4587185024,194331.89877404826,177400.42084906634,194329.95716006248,-34.46260795764269,-66.30181706008936,-77.51661389373332,-83.12528062030667,-86.49123761572135,-88.73637659624508,0.875,0.8,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6511627906976745
194329.95716006248,210179.41595364336,194328.51036305263,210176.56182940994,-29.423031064244697,-62.09800935672223,-74.7155148951953,-81.02542548900654,-84.8120040542674,-87.33735768128153,0.875,0.8666666666666667,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6744186046511628
210176.56182940994,225010.69803355334,210174.1305883508,225008.51610200072,-25.43518365582359,-57.81619913331435,-71.86210485449087,-78.886060273518,-83.1010724435326,-85.91183955591978,0.875,0.8666666666666667,0.7272727272727273,0.6896551724137931,0.6388888888888888,0.6744186046511628
225008.51610200072,238882.0363985112,225006.35103981406,238881.41667162118,-22.215173395323696,-53.457222297651306,-68.95694239952445,-76.70780241261312,-81.35886443154618,-84.46023908560295,0.875,0.8666666666666667,0.7727272727272727,0.6896551724137931,0.6666666666666666,0.6744186046511628
238881.41667162118,251841.73419299952,238879.3262311421,251838.90236732364,-19.568186464905335,-49.020330168216056,-65.9997589940665,-74.49035549438324,-79.58522769637443,-82.98243709098625,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.6944444444444444,0.6744186046511628
251838.90236732364,263919.53590485355,251836.13329201026,263919.51132580364,-17.35504439481439,-44.50340251259621,-62.98908909266385,-72.23265563417087,-77.77937416025361,-81.47770649569473,0.875,0.9333333333333333,0.7727272727272727,0.7586206896551724,0.6944444444444444,0.6976744186046512
263919.51132580364,275158.5926841788,263918.51468930533,275157.083027067,-15.474428638693539,-39.92242994113637,-59.923083987009996,-69.93339522810817,-75.94022069564028,-79.9452311043133,0.875,0.9333333333333333,0.8181818181818182,0.7931034482758621,0.7222222222222222,0.6976744186046512
275157.083027067,285612.1187965726,275155.1330646212,285609.23625295423,-13.85118585309202,-35.79869911553539,-56.79962195412283,-67.59104609352876,-74.06655474895673,-78.38396721334084,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.7222222222222222,0.6976744186046512
285609.23625295423,295322.5778787021,285606.35739192204,295322.49899543426,-12.438244517827734,-32.20866039551446,-53.62027845507789,-65.2067932471207,-72.15933235406563,-76.79471689049359,0.875,0.9333333333333333,0.9090909090909091,0.7931034482758621,0.7222222222222222,0.6976744186046512
295322.49899543426,304341.3308728401,295320.8791229588,304339.59081997664,-11.199394802697393,-29.066370638285722,-50.38541566049473,-62.78086247650509,-70.21870137066954,-75.17763955737571,0.875,0.9333333333333333,0.9090909090909091,0.7931034482758621,0.75,0.6976744186046512
304339.59081997664,312700.2532294151,304339.07821604854,312697.5488749865,-10.106609419880197,-26.298832834602326,-47.09510707148637,-60.31326835077466,-68.2447565629228,-73.53275177468204,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.75,0.7209302325581395
312697.5488749865,320431.54170650896,312697.4999656215,320429.6037267054,-9.137011200983537,-23.84606208940988,-43.74881247337994,-57.80370577990199,-66.23718085159884,-71.8598249781354,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.7441860465116279
320429.6037267054,327561.0134810267,320429.14336865576,327559.7104260677,-8.271580711208081,-21.658742879744498,-40.345809949162216,-55.251588873434976,-64.19551097463881,-70.15850466430823,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.8055555555555556,0.7441860465116279
327559.7104260677,334121.38249822805,327558.78595416737,334121.12738868344,-7.492753900647086,-19.694650229730126,-36.89401694415877,-52.65528311410033,-62.11847835717547,-68.42770404263499,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8333333333333334,0.7674418604651163
334121.12738868344,340151.0264793762,334120.1973965762,340148.51439069724,-6.788324105983811,-17.921313340661438,-33.68185951917605,-50.014639313654015,-60.005999236782515,-66.66735479118715,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.7674418604651163
340148.51439069724,345675.4427647606,340148.3902462183,345674.50955142576,-6.149456987911439,-16.313659357686817,-30.76868362939035,-47.329952731897215,-57.858309192599975,-64.87765448358087,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8333333333333334,0.7674418604651163
345674.50955142576,350729.9229853422,345673.2133420993,350729.4628290777,-5.56886228262623,-14.851612963302617,-28.122141369927512,-44.60153684927123,-55.67562552886923,-63.05875769811242,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8333333333333334,0.7906976744186046
350729.4628290777,355342.2718373673,350728.16120460845,355341.6635068249,-5.040342475191705,-13.51843256714581,-25.71148223500732,-41.82958752983692,-53.45807352471309,-61.21082520136376,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.7906976744186046
