Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
20.0,25.0,17.0,23.0,,,,,,,,,,,,
23.0,26.0,20.0,26.0,,,,,,,,,,,,
26.0,27.0,23.0,25.0,,,,,,,,,,,,
25.0,29.0,22.0,28.0,,,,,,,,,,,,
28.0,33.0,25.0,31.0,,,,,,,,,,,,
31.0,35.0,28.0,34.0,,,,,,,,,,,,
34.0,38.0,32.0,37.0,,,,,,,,,,,,
37.0,39.0,34.0,36.0,,,,,,,,,,,,
36.0,37.0,35.0,35.0,,,,,,,,,,,,
35.0,38.0,34.0,38.0,,,,,,,,,,,,
38.0,43.0,36.0,41.0,,,,,,,,,,,,
41.0,42.0,39.0,40.0,,,,,,,,,,,,
40.0,41.0,38.0,39.0,,,,,,,,,,,,
39.0,42.0,38.0,42.0,,,,,,,,,,,,
42.0,42.0,38.0,41.0,,,,,,,,,,,,
41.0,41.0,39.0,40.0,,,,,,,,,,,,
40.0,45.0,37.0,43.0,,,,,,,,,,,,
43.0,44.0,41.0,42.0,,,,,,,,,,,,
42.0,45.0,39.0,45.0,,,,,,,,,,,,
45.0,50.0,44.0,48.0,,,,,,,,,,,,
48.0,50.0,46.0,47.0,,,,,,,,,,,,
47.0,50.0,44.0,50.0,,,,,,,,,,,,
50.0,54.0,49.0,53.0,,,,,,,,,,,,
53.0,55.0,52.0,52.0,,,,,,,,,,,,
52.0,54.0,50.0,51.0,,,,,,,,,,,,
51.0,56.0,49.0,54.0,,,,,,,,,,,,
54.0,56.0,52.0,53.0,,,,,,,,,,,,
53.0,55.0,50.0,52.0,,,,,,,,,,,,
52.0,54.0,50.0,51.0,,,,,,,,,,,,
51.0,53.0,48.0,50.0,,,,,,,,,,,,
50.0,51.0,47.0,49.0,,,,,,,,,,,,
49.0,54.0,48.0,52.0,,,,,,,,,,,,
52.0,57.0,51.0,55.0,,,,,,,,,,,,
55.0,56.0,53.0,54.0,,,,,,,,,,,,
54.0,58.0,52.0,57.0,,,,,,,,,,,,
57.0,57.0,53.0,56.0,,,,,,,,,,,,
56.0,58.0,54.0,55.0,,,,,,,,,,,,
55.0,57.0,53.0,54.0,,,,,,,,,,,,
54.0,54.0,50.0,53.0,,,,,,,,,,,,
53.0,53.0,50.0,52.0,,,,,,,,,,,,
52.0,52.0,48.0,51.0,,,,,,,,,,,,
51.0,52.0,49.0,50.0,,,,,,,,,,,,
50.0,51.0,49.0,49.0,,,,,,,,,,,,
49.0,50.0,46.0,48.0,,,,,,,,,,,,
48.0,49.0,47.0,47.0,,,,,,,,,,,,
48.0,241.4024292976939,47.41659363745686,239.6907738346806,6.382978723404253,11.398176291793316,10.739614994934144,8.662613981762913,4.316109422492409,-0.9625126646403137,0.0,0.2,0.18181818181818182,0.27586206896551724,0.3055555555555556,0.37209302325581395
239.6907738346806,16891.743151519273,237.792171190273,16890.236919691408,-68.01290707973082,-72.56313805894105,-74.53681966322858,-75.74716272085915,-77.17665565270264,-78.4773211158,0.125,0.2,0.22727272727272727,0.3103448275862069,0.3055555555555556,0.37209302325581395
16890.236919691408,43350.30553858825,16887.968900164375,43349.32232000385,-85.30433563810583,-92.49104346156946,-94.89196945135426,-96.09391259126289,-96.8257355193251,-97.31798742331932,0.25,0.2,0.22727272727272727,0.3103448275862069,0.3333333333333333,0.37209302325581395
43349.32232000385,68711.34754881873,43346.88056094784,68709.86344883619,-80.00520727681536,-89.94031892770174,-93.253670555,-94.91059353019955,-95.90863599037924,-96.57591999811339,0.375,0.26666666666666666,0.2727272727272727,0.3103448275862069,0.3611111111111111,0.37209302325581395
68709.86344883619,92639.23451420145,68707.56507745924,92638.27701716579,-73.10988824798012,-86.51637615329437,-90.98541336865445,-93.22008791152597,-94.56334601759502,-95.46006425090822,0.5,0.26666666666666666,0.3181818181818182,0.3448275862068966,0.3611111111111111,0.37209302325581395
92638.27701716579,115109.79436640193,92635.5039399375,115109.78264943273,-65.77743060348742,-82.86064914935275,-88.55459270242228,-91.40183434580698,-93.11175227004871,-94.25269991546192,0.625,0.3333333333333333,0.36363636363636365,0.3448275862068966,0.3888888888888889,0.3953488372093023
115109.78264943273,136152.88421886225,115108.98001691063,136152.7494427155,-58.17853613024966,-79.06711529981412,-86.02910628710774,-89.51056717498376,-91.6003124436039,-92.9944481128517,0.75,0.4,0.4090909090909091,0.3448275862068966,0.4166666666666667,0.4186046511627907
136152.7494427155,155819.2433696846,136152.40541832897,155818.20193066404,-50.36143233998196,-75.16235444016743,-83.42817430768797,-87.56168755542816,-90.0422781552562,-91.6968970772568,0.875,0.4666666666666667,0.45454545454545453,0.3793103448275862,0.4166666666666667,0.4186046511627907
155818.20193066404,174166.8539908903,155817.5400981657,174164.35789362984,-42.362461423541866,-71.15662828740786,-80.75935023723845,-85.56123838328091,-88.44264631671184,-90.36448647802818,0.875,0.5333333333333333,0.45454545454545453,0.41379310344827586,0.4444444444444444,0.4186046511627907
174164.35789362984,191304.77045858247,174161.6451424544,191303.98835496992,-35.53359069987877,-67.05421197247172,-78.02572422542144,-83.5118699674507,-86.8036722467264,-88.9990683550129,0.875,0.6,0.45454545454545453,0.41379310344827586,0.4444444444444444,0.4418604651162791
191303.98835496992,207346.36613335685,191301.3104326394,207343.4076500865,-30.260790784340465,-62.86499381342556,-75.23392010036108,-81.41866327682254,-85.12955398797844,-87.60421543748814,0.875,0.6666666666666666,0.5,0.4482758620689655,0.4444444444444444,0.46511627906976744
207343.4076500865,222360.51389648102,207342.0891246367,222358.6992846915,-26.10390537995988,-58.5965038104012,-72.38914872062261,-79.28552284984167,-83.4233886666598,-86.18264338284814,0.875,0.7333333333333333,0.5,0.4827586206896552,0.4722222222222222,0.46511627906976744
