Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
20.0,23.0,19.0,23.0,,,,,,,,,,,,
23.0,25.0,20.0,22.0,,,,,,,,,,,,
22.0,24.0,21.0,21.0,,,,,,,,,,,,
21.0,23.0,20.0,20.0,,,,,,,,,,,,
20.0,23.0,19.0,23.0,,,,,,,,,,,,
23.0,27.0,22.0,26.0,,,,,,,,,,,,
26.0,31.0,25.0,29.0,,,,,,,,,,,,
29.0,34.0,26.0,32.0,,,,,,,,,,,,
32.0,34.0,29.0,31.0,,,,,,,,,,,,
31.0,36.0,28.0,34.0,,,,,,,,,,,,
34.0,37.0,33.0,37.0,,,,,,,,,,,,
37.0,37.0,34.0,36.0,,,,,,,,,,,,
36.0,36.0,33.0,35.0,,,,,,,,,,,,
35.0,39.0,32.0,38.0,,,,,,,,,,,,
38.0,40.0,37.0,37.0,,,,,,,,,,,,
37.0,38.0,34.0,36.0,,,,,,,,,,,,
36.0,39.0,33.0,39.0,,,,,,,,,,,,
39.0,44.0,38.0,42.0,,,,,,,,,,,,
42.0,44.0,40.0,41.0,,,,,,,,,,,,
41.0,41.0,38.0,40.0,,,,,,,,,,,,
40.0,42.0,37.0,39.0,,,,,,,,,,,,
39.0,43.0,36.0,42.0,,,,,,,,,,,,
42.0,45.0,41.0,45.0,,,,,,,,,,,,
45.0,46.0,44.0,44.0,,,,,,,,,,,,
44.0,44.0,42.0,43.0,,,,,,,,,,,,
43.0,48.0,41.0,46.0,,,,,,,,,,,,
46.0,51.0,43.0,49.0,,,,,,,,,,,,
49.0,52.0,47.0,52.0,,,,,,,,,,,,
52.0,54.0,49.0,51.0,,,,,,,,,,,,
51.0,55.0,48.0,54.0,,,,,,,,,,,,
54.0,59.0,52.0,57.0,,,,,,,,,,,,
57.0,58.0,54.0,56.0,,,,,,,,,,,,
56.0,60.0,53.0,59.0,,,,,,,,,,,,
59.0,59.0,57.0,58.0,,,,,,,,,,,,
58.0,61.0,57.0,61.0,,,,,,,,,,,,
61.0,63.0,59.0,60.0,,,,,,,,,,,,
60.0,60.0,56.0,59.0,,,,,,,,,,,,
59.0,64.0,56.0,62.0,,,,,,,,,,,,
62.0,66.0,60.0,65.0,,,,,,,,,,,,
65.0,70.0,63.0,68.0,,,,,,,,,,,,
68.0,69.0,67.0,67.0,,,,,,,,,,,,
67.0,67.0,64.0,66.0,,,,,,,,,,,,
66.0,69.0,64.0,69.0,,,,,,,,,,,,
69.0,73.0,66.0,72.0,,,,,,,,,,,,
72.0,77.0,69.0,75.0,,,,,,,,,,,,
72.0,1948.9573002309385,71.93919604064929,1946.906814694536,-8.190476190476181,-14.57142857142858,-20.698412698412703,-26.57142857142858,-31.428571428571427,-36.66666666666667,0.625,0.5333333333333333,0.5909090909090909,0.5517241379310345,0.5277777777777778,0.5581395348837209
1946.906814694536,27043.87518241053,1945.6890052718895,27042.101067177224,-82.6544870571643,-89.77166243671228,-92.28836128087028,-93.67695393116009,-94.5556029306245,-95.20373892687545,0.625,0.6,0.6363636363636364,0.5517241379310345,0.5277777777777778,0.5813953488372093
27042.101067177224,53362.13518369056,27042.043388030466,53359.30789239348,-84.50141143725106,-92.13633379407817,-94.69099298746258,-95.9787560507128,-96.75468920474698,-97.27576395774861,0.625,0.6,0.6363636363636364,0.5862068965517241,0.5555555555555556,0.5813953488372093
53359.30789239348,78275.14978589585,53357.095111914685,78272.21800066717,-77.87765379434808,-88.87965928458975,-92.55190277182285,-94.39331211882646,-95.50003181430505,-96.23958516852365,0.75,0.6666666666666666,0.6363636363636364,0.6206896551724138,0.5833333333333334,0.5813953488372093
78272.21800066717,101701.01296909005,78272.20482050657,101700.6940313801,-70.64520685751188,-85.28181172482302,-90.16378273861065,-92.60819036831765,-94.07655057037884,-95.05640035670592,0.875,0.6666666666666666,0.6363636363636364,0.6551724137931034,0.5833333333333334,0.5813953488372093
101700.6940313801,123669.15885103798,101699.9921831566,123666.60184921522,-63.13155827273101,-81.53375238484563,-87.67020504842698,-90.74106515912554,-92.58501400127057,-93.81503898177742,0.875,0.7333333333333333,0.6818181818181818,0.6551724137931034,0.6111111111111112,0.5813953488372093
123666.60184921522,144212.6492433036,123665.3958336867,144210.0236477415,-55.402807238790054,-77.67431465640982,-85.1004223156109,-88.81552658910478,-91.04576743645248,-92.53326852281826,0.875,0.8,0.6818181818181818,0.6551724137931034,0.6388888888888888,0.6046511627906976
144210.0236477415,163390.99814976822,144207.50407609862,163388.63547964706,-47.47761039349789,-73.71493128662972,-82.46291729938596,-86.83847053018059,-89.46497139869639,-91.21654983860194,0.875,0.8,0.6818181818181818,0.6896551724137931,0.6388888888888888,0.6046511627906976
163388.63547964706,181274.259800297,163387.81852442704,181271.8995107287,-39.52721725300361,-69.66026576776,-79.76115317980695,-84.81288653663813,-87.84516811287034,-89.86714090578265,0.875,0.8,0.7272727272727273,0.7241379310344828,0.6388888888888888,0.6046511627906976
181271.8995107287,197993.41748430967,181269.10548580746,197991.5119128881,-33.33854654685974,-65.51323530106987,-76.99744888211504,-82.74063928555258,-86.18779869736464,-88.48631214766802,0.875,0.8,0.7272727272727273,0.7241379310344828,0.6666666666666666,0.627906976744186
197991.5119128881,213641.976192518,197988.67404938544,213640.68165287017,-28.532175455216567,-61.28506831146062,-74.17941497462054,-80.62758041222328,-84.49761969479657,-87.07806677664296,0.875,0.8666666666666667,0.7727272727272727,0.7241379310344828,0.6944444444444444,0.6511627906976745
213640.68165287017,228286.223025258,213638.59805461165,228286.03890134877,-24.715378619172856,-56.980284710338246,-71.31022648243494,-78.47604993483785,-82.77654702552024,-85.64406888491197,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.7222222222222222,0.6511627906976745
228286.03890134877,241981.16088134111,228285.7691258321,241980.4803356066,-21.623678848442186,-52.59945348602739,-68.39012378101488,-76.2862567997145,-81.02487528294118,-84.18448618589622,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.7222222222222222,0.6744186046511628
241980.4803356066,254766.1629536135,241978.75671383794,254765.09137397615,-19.074389238829205,-48.141268648145854,-65.41828303751865,-74.0576610226317,-79.2421261339747,-82.69893801963566,0.875,0.9333333333333333,0.8636363636363636,0.7586206896551724,0.7222222222222222,0.6976744186046512
254765.09137397615,266678.98177844624,254763.3565079899,266676.7861314432,-16.93612276435743,-43.60288694571888,-62.392915397374125,-71.78886886378999,-77.42714747685812,-81.18655128054242,0.875,0.9333333333333333,0.8636363636363636,0.7586206896551724,0.75,0.6976744186046512
266676.7861314432,277755.0941946893,266675.4239347603,277754.574675009,-15.113266469437614,-39.03127600355205,-59.31197298250055,-69.47830138092905,-75.57873053885565,-79.64631721532275,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.7777777777777778,0.6976744186046512
277754.574675009,288054.8696543856,277754.42739535373,288053.76292065746,-13.536454828350674,-35.015483457148434,-56.174009679008584,-67.12493965133048,-73.69606339626806,-78.0774897589842,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.7777777777777778,0.7209302325581395
288053.76292065746,297626.29068873695,288052.7284254215,297625.88880844216,-12.16136688053091,-31.519256970297384,-52.980184318001356,-64.72965811072012,-71.77988791943363,-76.48069411181082,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.7777777777777778,0.7441860465116279
297625.88880844216,306511.754870142,297624.92844705086,306511.3089104149,-10.955200908015028,-28.457340398387743,-49.731568210003616,-62.29331228079891,-69.8308483120222,-74.8564723190462,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.7674418604651163
306511.3089104149,314742.65920116205,306510.71866542037,314741.365427822,-9.890628737401597,-25.758430591145697,-46.42796104677145,-59.815657534372235,-67.84875082304855,-73.20472894211196,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8055555555555556,0.7674418604651163
314741.365427822,322353.3277590332,314739.8206362679,322351.52584441076,-8.944340673361994,-23.363424689564617,-43.06798121100687,-57.2956640783847,-65.83280938595402,-71.52477669110087,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8055555555555556,0.7674418604651163
322351.52584441076,329368.66971726425,322350.7088967549,329366.2953879448,-8.098765900893346,-21.22531577970621,-39.65125059569796,-54.73309772520349,-63.78279985327229,-69.81639993582837,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8055555555555556,0.7906976744186046
329366.2953879448,335817.1021189124,329365.18066885846,335816.7441029689,-7.337004775083866,-19.30353912306585,-36.202787920009094,-52.12645831014635,-61.6974885894074,-68.07860194669753,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.813953488372093
335816.7441029689,341740.8923021266,335816.2956497354,341739.77957312565,-6.646921064705613,-17.56639118461183,-33.04977420959263,-49.475319414699705,-59.57657154971044,-66.3111295916281,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.813953488372093
341739.77957312565,347166.76138310623,341736.9156801248,347166.7249545976,-6.020685811904514,-15.9905835564909,-30.19177570422331,-46.78028504389206,-57.42053265863616,-64.51441426172775,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.813953488372093
347166.7249545976,352129.94839636196,347165.61809188244,352129.7763835944,-5.451202588539028,-14.556566694269879,-27.594739329838212,-44.0414714087245,-55.229498367567075,-62.68853277698568,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.813953488372093
352129.7763835944,356658.0496793208,352127.044357451,356657.131356124,-4.933092901125469,-13.248702372665056,-25.228655961674264,-41.25944351427279,-53.00385487681957,-60.833807292246476,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.8372093023255814
356657.131356124,360774.9536715158,356655.70886816434,360773.07325091516,-4.460944704056724,-12.053254476941945,-23.06702164141945,-38.434380205021334,-50.74374705422677,-58.95038548937159,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8372093023255814
360773.07325091516,364500.2572027924,360771.252752073,364498.89860694157,-4.029521019964988,-10.957784206449206,-21.086272518427606,-35.56607608977792,-48.44904367214961,-57.03813089922532,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8372093023255814
364498.89860694157,367858.2849244582,364497.99351230677,367858.0556013828,-3.6335662221926857,-9.95099480086492,-19.265556035056196,-32.67235268305896,-46.11935254458454,-55.09669083280545,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
367858.0556013828,370878.93389809434,367855.1105459159,370878.5661313183,-3.269232644849329,-9.023714450523169,-17.587447254626632,-29.978281736051926,-43.75475793185339,-53.1261623611683,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
370878.5661313183,373586.91359699756,370876.0312547049,373586.66743332,-2.934643133969239,-8.169497092946843,-16.03884413803457,-27.490955431014818,-41.35620392299899,-51.127332400724,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
373586.66743332,376008.3790699602,373585.5056786743,376006.6546158673,-2.6279808775911406,-7.382823714823427,-14.608728230797363,-25.19340924139202,-38.924670237166836,-49.10104303214155,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
376006.6546158673,378161.3406183216,376006.4508778336,378160.1954647757,-2.3475091865946096,-6.658732947728341,-13.287512996649175,-23.069422486544312,-36.4611338660694,-47.04805740150129,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
378160.1954647757,380070.10670248105,378159.14407110895,380067.3615203598,-2.0913003012564935,-5.992408425324614,-12.06650677596861,-21.104031736295347,-33.96637515099638,-44.96902639930499,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
380067.3615203598,381746.1150819142,380065.84476794134,381744.9542187686,-1.857382448915701,-5.379443711481347,-10.937828686522199,-19.28361779731177,-31.441150754435988,-42.86460611383216,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
381744.9542187686,383210.4299795956,381744.5512631107,383210.34125873825,-1.643289548625937,-4.815196507599262,-9.893849964984513,-17.595488655197787,-28.899863848949515,-40.73514279762818,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
383210.34125873825,384488.8972192055,383208.02591081813,384488.58953811467,-1.4470847241496942,-4.295786942930002,-8.927983722004928,-16.028583608751035,-26.51622690859905,-38.58124028737115,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
384488.58953811467,385596.680606483,384486.0048611414,385596.0628249407,-1.269046120937256,-3.819791290737451,-8.036407687490488,-14.575420398703775,-24.299898053814474,-36.404892021792215,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
385596.0628249407,386551.34397340554,385593.25513016124,386551.21264778543,-1.107683225141276,-3.3841585786061334,-7.214152485024816,-13.228101347840193,-22.240145987013637,-34.20699915031379,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
386551.21264778543,387370.31288345525,386549.3517888919,387370.0489382216,-0.9623478526816109,-2.986837879448545,-6.457414429724773,-11.980265138892321,-20.326851474839238,-31.989043176457667,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
387370.0489382216,388067.42406463315,387367.827302038,388065.45832440356,-0.8320494164047676,-2.6255810261668677,-5.762330205141842,-10.825878765082786,-18.550257861690923,-29.752297267634308,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
388065.45832440356,388653.2033173406,388064.8383589034,388651.7262118672,-0.7153263194216941,-2.297722619781717,-5.124835363521873,-9.75889326221112,-16.900822477927036,-27.497688219268333,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
388651.7262118672,389142.33910137136,388649.36036218563,389142.20592280576,-0.6112208885051262,-2.001209104863899,-4.541564281164079,-8.774157322087351,-15.37017071109723,-25.23803021680576,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389142.20592280576,389551.094610397,389140.12703327567,389549.33464039944,-0.518728366297494,-1.734049118257186,-4.009341506403641,-7.866857783714021,-13.9506229505016,-23.116764867257935,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389549.33464039944,389888.48101980216,389547.23396807513,389886.9505385584,-0.43710924072870583,-1.4943984929306264,-3.5252333910091638,-7.03262676911105,-12.635577982241719,-21.142301036061607,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
389886.9505385584,390165.58883558464,389885.83547811204,390165.13148837106,-0.366103065519241,-1.2810711774935535,-3.0870083351987043,-6.268003771935482,-11.419673859820257,-19.307625047225883,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390165.13148837106,390396.35373163444,390164.5166893292,390394.02718711074,-0.3048183478552291,-1.0922530429888333,-2.691890017127596,-5.5690966315527834,-10.29740459866143,-17.60482550401218,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390394.02718711074,390582.1854208626,390393.5049611523,390581.5141119109,-0.25261495952102475,-0.9264078969490885,-2.337431527895706,-4.932372622495462,-9.263817661012242,-16.026406382632572,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390581.5141119109,390737.30935309443,390579.7110959818,390735.750174945,-0.20846969660873738,-0.781685003557997,-2.020891964749394,-4.354120492628888,-8.313862118038884,-14.564855296975864,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390735.750174945,390863.44033881783,390733.2808237155,390863.048434698,-0.17166651661679744,-0.6564931602016766,-1.7398184349099899,-3.830941898791218,-7.442908093772216,-13.213237295714853,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
390863.048434698,390965.98588909744,390861.7451336109,390965.53492709924,-0.1412837741788242,-0.5489978655101035,-1.4915492900192007,-3.359288742930644,-6.646248720612324,-11.964772537663537,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
