Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
49.0,51.0,46.0,48.0,,,,,,,,,,,,
48.0,52.0,47.0,51.0,,,,,,,,,,,,
51.0,55.0,48.0,54.0,,,,,,,,,,,,
54.0,56.0,51.0,53.0,,,,,,,,,,,,
53.0,58.0,51.0,56.0,,,,,,,,,,,,
56.0,57.0,55.0,55.0,,,,,,,,,,,,
55.0,59.0,53.0,58.0,,,,,,,,,,,,
58.0,62.0,57.0,61.0,,,,,,,,,,,,
61.0,65.0,58.0,64.0,,,,,,,,,,,,
64.0,66.0,62.0,63.0,,,,,,,,,,,,
63.0,63.0,60.0,62.0,,,,,,,,,,,,
62.0,67.0,60.0,65.0,,,,,,,,,,,,
65.0,66.0,62.0,64.0,,,,,,,,,,,,
64.0,65.0,61.0,63.0,,,,,,,,,,,,
63.0,65.0,61.0,62.0,,,,,,,,,,,,
62.0,66.0,61.0,65.0,,,,,,,,,,,,
65.0,66.0,62.0,64.0,,,,,,,,,,,,
64.0,64.0,61.0,63.0,,,,,,,,,,,,
63.0,65.0,61.0,62.0,,,,,,,,,,,,
62.0,62.0,60.0,61.0,,,,,,,,,,,,
61.0,65.0,58.0,64.0,,,,,,,,,,,,
64.0,68.0,61.0,67.0,,,,,,,,,,,,
67.0,72.0,65.0,70.0,,,,,,,,,,,,
70.0,73.0,69.0,73.0,,,,,,,,,,,,
73.0,74.0,70.0,72.0,,,,,,,,,,,,
72.0,75.0,69.0,75.0,,,,,,,,,,,,
75.0,80.0,73.0,78.0,,,,,,,,,,,,
78.0,83.0,75.0,81.0,,,,,,,,,,,,
81.0,85.0,79.0,84.0,,,,,,,,,,,,
84.0,87.0,81.0,87.0,,,,,,,,,,,,
87.0,89.0,86.0,86.0,,,,,,,,,,,,
86.0,89.0,84.0,89.0,,,,,,,,,,,,
89.0,89.0,85.0,88.0,,,,,,,,,,,,
88.0,90.0,87.0,87.0,,,,,,,,,,,,
87.0,87.0,85.0,86.0,,,,,,,,,,,,
86.0,89.0,84.0,89.0,,,,,,,,,,,,
89.0,93.0,88.0,92.0,,,,,,,,,,,,
92.0,92.0,90.0,91.0,,,,,,,,,,,,
91.0,95.0,88.0,94.0,,,,,,,,,,,,
94.0,98.0,93.0,97.0,,,,,,,,,,,,
97.0,98.0,94.0,96.0,,,,,,,,,,,,
96.0,97.0,93.0,95.0,,,,,,,,,,,,
95.0,96.0,93.0,94.0,,,,,,,,,,,,
94.0,98.0,91.0,97.0,,,,,,,,,,,,
97.0,97.0,94.0,96.0,,,,,,,,,,,,
97.0,97.15812799280641,95.8670423624027,77.40704599869804,-0.44642857142856984,-3.9434523809523836,-8.03571428571428,-13.913690476190476,-17.886904761904766,-21.40376984126985,0.375,0.4,0.5,0.5172413793103449,0.4722222222222222,0.4883720930232558
77.40704599869804,98.67273035558242,75.5502083994784,95.76696651099924,20.403776385950966,18.05930118153929,14.386476740236208,7.4287145660514975,2.4051127647387593,-1.7744442844570663,0.25,0.3333333333333333,0.5,0.5172413793103449,0.4722222222222222,0.4883720930232558
95.76696651099924,96.40118197560585,94.51658130392313,77.5074420383618,-2.8633125606286502,-3.9950786339358446,-6.5104606571077195,-11.907664340665358,-16.309525247786596,-19.617028255414404,0.25,0.4,0.5,0.5517241379310345,0.4722222222222222,0.4883720930232558
77.5074420383618,97.34227148425961,74.58717495821168,96.61016760043992,16.61211176431612,17.74735256257984,15.483930753982333,9.606131820161501,3.904546100709405,0.011331905291056543,0.25,0.4,0.45454545454545453,0.5517241379310345,0.4722222222222222,0.4883720930232558
96.61016760043992,99.0300320814744,94.70108207075747,77.86390375958285,-6.207502658400966,-4.750366924065652,-6.581279953539365,-10.860771621844467,-15.646511779026373,-18.812360270967655,0.375,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5,0.4883720930232558
77.86390375958285,99.63889209691766,75.1757741508025,97.05741765810433,13.413183784424486,17.160057874047794,15.53464776922695,11.098404164035758,5.244274668344628,1.2497865179822876,0.375,0.4,0.4090909090909091,0.5172413793103449,0.5,0.46511627906976744
97.05741765810433,97.61058396320384,94.21531675828238,77.96337736455374,-9.006300676293522,-5.636641653932717,-6.819371686798458,-9.876140379317455,-14.624529522381335,-17.961841943454825,0.375,0.4,0.4090909090909091,0.5172413793103449,0.5,0.46511627906976744
77.96337736455374,97.67526772498223,75.98721769496996,97.11063995365323,9.974038217665516,16.279533493208586,15.510664528189588,12.423495853842969,6.796528591482631,2.587126542253082,0.375,0.4,0.4090909090909091,0.4827586206896552,0.5,0.46511627906976744
97.11063995365323,97.70929416499618,94.85712956241082,78.93621675912986,-8.810946362455773,-6.418452080489889,-6.8668106030870035,-8.819504298408976,-13.256909488820911,-16.77909212615285,0.5,0.4,0.4090909090909091,0.5172413793103449,0.5277777777777778,0.4883720930232558
