Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
57.0,60.0,54.0,60.0,,,,,,,,,,,,
60.0,63.0,57.0,63.0,,,,,,,,,,,,
63.0,63.0,59.0,62.0,,,,,,,,,,,,
62.0,65.0,61.0,65.0,,,,,,,,,,,,
65.0,67.0,62.0,64.0,,,,,,,,,,,,
64.0,68.0,62.0,67.0,,,,,,,,,,,,
67.0,67.0,63.0,66.0,,,,,,,,,,,,
66.0,68.0,65.0,65.0,,,,,,,,,,,,
65.0,66.0,62.0,64.0,,,,,,,,,,,,
64.0,69.0,63.0,67.0,,,,,,,,,,,,
67.0,68.0,64.0,66.0,,,,,,,,,,,,
66.0,66.0,62.0,65.0,,,,,,,,,,,,
65.0,65.0,62.0,64.0,,,,,,,,,,,,
64.0,66.0,62.0,63.0,,,,,,,,,,,,
63.0,68.0,61.0,66.0,,,,,,,,,,,,
66.0,69.0,65.0,69.0,,,,,,,,,,,,
69.0,74.0,68.0,72.0,,,,,,,,,,,,
72.0,73.0,71.0,71.0,,,,,,,,,,,,
71.0,71.0,68.0,70.0,,,,,,,,,,,,
70.0,75.0,68.0,73.0,,,,,,,,,,,,
73.0,75.0,72.0,72.0,,,,,,,,,,,,
72.0,72.0,68.0,71.0,,,,,,,,,,,,
71.0,74.0,69.0,74.0,,,,,,,,,,,,
74.0,78.0,73.0,77.0,,,,,,,,,,,,
77.0,78.0,76.0,76.0,,,,,,,,,,,,
76.0,79.0,75.0,79.0,,,,,,,,,,,,
79.0,81.0,76.0,78.0,,,,,,,,,,,,
78.0,81.0,75.0,81.0,,,,,,,,,,,,
81.0,85.0,78.0,84.0,,,,,,,,,,,,
84.0,88.0,81.0,87.0,,,,,,,,,,,,
87.0,91.0,86.0,90.0,,,,,,,,,,,,
90.0,91.0,88.0,89.0,,,,,,,,,,,,
89.0,93.0,86.0,92.0,,,,,,,,,,,,
92.0,96.0,89.0,95.0,,,,,,,,,,,,
95.0,97.0,94.0,94.0,,,,,,,,,,,,
94.0,96.0,91.0,93.0,,,,,,,,,,,,
93.0,93.0,91.0,92.0,,,,,,,,,,,,
92.0,97.0,89.0,95.0,,,,,,,,,,,,
95.0,96.0,92.0,94.0,,,,,,,,,,,,
94.0,98.0,93.0,97.0,,,,,,,,,,,,
97.0,99.0,95.0,96.0,,,,,,,,,,,,
96.0,96.0,93.0,95.0,,,,,,,,,,,,
95.0,97.0,92.0,94.0,,,,,,,,,,,,
94.0,98.0,92.0,97.0,,,,,,,,,,,,
97.0,102.0,95.0,100.0,,,,,,,,,,,,
97.0,99.05408476392475,94.80633467832634,75.55712042982456,-3.857142857142859,-5.500000000000005,-9.619047619047617,-14.071428571428568,-17.97142857142857,-20.738095238095244,0.375,0.4,0.5,0.4827586206896552,0.4722222222222222,0.46511627906976744
75.55712042982456,106.33902717019747,73.54312828578892,104.21419143955377,23.75823685373424,23.80010485351054,19.591459234519814,13.942041782277691,8.926374568125905,5.2359649491783955,0.375,0.4,0.5,0.4827586206896552,0.4722222222222222,0.4418604651162791
104.21419143955377,107.1671796016572,101.56469562002076,77.37628204182138,-9.284179503213908,-9.405585498536094,-12.14196704337196,-16.21749405517824,-19.951365231894926,-22.783313472835363,0.375,0.4,0.5,0.5172413793103449,0.5,0.46511627906976744
77.37628204182138,102.95189407311508,74.55366543699859,102.38695230413649,18.74210711228068,20.390120986605286,18.293145379902587,13.044404069613025,8.307371144552778,4.318529819513839,0.375,0.3333333333333333,0.5,0.4827586206896552,0.5,0.4418604651162791
102.38695230413649,103.85302970592936,100.9323114355692,79.06194043977582,-9.233057034322611,-8.433188529411773,-9.608341665861687,-13.509677523237851,-17.05040871710356,-20.317819774606317,0.5,0.4,0.5,0.5172413793103449,0.5277777777777778,0.46511627906976744
79.06194043977582,103.7300492844685,78.74726648833504,101.00995636935262,14.846027796082883,17.32180033526074,16.7617666587212,12.371048790446215,7.893578486797503,3.613652172348747,0.5,0.4,0.45454545454545453,0.5172413793103449,0.5,0.46511627906976744
