Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
37.0,38.0,34.0,36.0,,,,,,,,,,,,
36.0,40.0,35.0,39.0,,,,,,,,,,,,
39.0,40.0,36.0,38.0,,,,,,,,,,,,
38.0,42.0,35.0,41.0,,,,,,,,,,,,
41.0,41.0,39.0,40.0,,,,,,,,,,,,
40.0,44.0,38.0,43.0,,,,,,,,,,,,
43.0,47.0,42.0,46.0,,,,,,,,,,,,
46.0,46.0,44.0,45.0,,,,,,,,,,,,
45.0,50.0,44.0,48.0,,,,,,,,,,,,
48.0,53.0,47.0,51.0,,,,,,,,,,,,
51.0,54.0,49.0,54.0,,,,,,,,,,,,
54.0,57.0,52.0,57.0,,,,,,,,,,,,
57.0,58.0,54.0,56.0,,,,,,,,,,,,
56.0,56.0,54.0,55.0,,,,,,,,,,,,
55.0,56.0,54.0,54.0,,,,,,,,,,,,
54.0,58.0,52.0,57.0,,,,,,,,,,,,
57.0,58.0,55.0,56.0,,,,,,,,,,,,
56.0,61.0,55.0,59.0,,,,,,,,,,,,
59.0,59.0,55.0,58.0,,,,,,,,,,,,
58.0,60.0,56.0,57.0,,,,,,,,,,,,
57.0,62.0,54.0,60.0,,,,,,,,,,,,
60.0,61.0,58.0,59.0,,,,,,,,,,,,
59.0,60.0,58.0,58.0,,,,,,,,,,,,
58.0,61.0,57.0,61.0,,,,,,,,,,,,
61.0,64.0,58.0,64.0,,,,,,,,,,,,
64.0,69.0,62.0,67.0,,,,,,,,,,,,
67.0,72.0,66.0,70.0,,,,,,,,,,,,
70.0,74.0,69.0,73.0,,,,,,,,,,,,
73.0,74.0,71.0,72.0,,,,,,,,,,,,
72.0,76.0,71.0,75.0,,,,,,,,,,,,
75.0,78.0,72.0,78.0,,,,,,,,,,,,
78.0,78.0,76.0,77.0,,,,,,,,,,,,
77.0,77.0,73.0,76.0,,,,,,,,,,,,
76.0,81.0,75.0,79.0,,,,,,,,,,,,
79.0,79.0,77.0,78.0,,,,,,,,,,,,
78.0,83.0,75.0,81.0,,,,,,,,,,,,
81.0,81.0,79.0,80.0,,,,,,,,,,,,
80.0,85.0,77.0,83.0,,,,,,,,,,,,
83.0,86.0,82.0,86.0,,,,,,,,,,,,
86.0,91.0,84.0,89.0,,,,,,,,,,,,
89.0,90.0,87.0,88.0,,,,,,,,,,,,
88.0,92.0,85.0,91.0,,,,,,,,,,,,
91.0,96.0,89.0,94.0,,,,,,,,,,,,
94.0,97.0,92.0,97.0,,,,,,,,,,,,
97.0,98.0,96.0,96.0,,,,,,,,,,,,
97.0,99.18023312624635,96.56052106610827,20.029477215776396,-4.613095238095244,-11.086309523809524,-15.972222222222221,-21.651785714285722,-25.744047619047617,-30.33234126984127,0.625,0.5333333333333333,0.6363636363636364,0.5862068965517241,0.5555555555555556,0.5813953488372093
20.029477215776396,1104.8564683304214,19.595562810866546,1102.521533144494,310.1308650681031,305.84094594890274,292.28598630862774,268.5691869730276,251.05822864446213,231.4198044427098,0.5,0.5333333333333333,0.5909090909090909,0.5517241379310345,0.5277777777777778,0.5581395348837209
1102.521533144494,1105.190229519717,1102.0405638031289,746.0724749934411,-79.41665066843152,-85.97661979323517,-88.40082686811641,-89.92066653957886,-90.91290567007468,-91.6845355664411,0.5,0.6,0.5909090909090909,0.5862068965517241,0.5277777777777778,0.5813953488372093
746.0724749934411,747.8335193401734,744.1213277178424,447.23611056800985,-56.98189881670559,-72.89019134713607,-78.54400018875184,-81.80651912543213,-83.92870234838549,-85.46795245393697,0.5,0.5333333333333333,0.5454545454545454,0.5862068965517241,0.5277777777777778,0.5581395348837209
447.23611056800985,447.9639278242616,444.2577118371387,243.61117314916885,-16.85888586692502,-48.87871912003057,-60.222783493413814,-66.55761674742556,-70.68432734497307,-73.621797360657,0.375,0.5333333333333333,0.5,0.5517241379310345,0.5277777777777778,0.5348837209302325
243.61117314916885,243.7710064957044,241.00437520565725,190.90909166644664,61.40889795169544,-1.3805857215823503,-23.620072832830108,-35.89798517642697,-43.95670178248796,-49.63216038422621,0.25,0.4666666666666667,0.5,0.5517241379310345,0.5277777777777778,0.5348837209302325
190.90909166644664,226.2920079405075,190.07190606840106,225.98277087442256,112.99441050272145,29.993803797603103,0.35641336176412963,-15.715683211727182,-26.481390130960957,-33.945376148541186,0.125,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5,0.5116279069767442
225.98277087442256,227.54921823696736,223.63124507086016,218.3055548318101,88.1535747232258,14.337497551398615,-12.101123894344445,-26.189653853127226,-35.742729261477294,-42.35377398735869,0.25,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5277777777777778,0.5116279069767442
218.3055548318101,235.86858113126556,217.21806652282953,235.79525086190233,107.74543091831875,22.687414937826112,-5.927656355960231,-21.06954025057981,-31.398013074159504,-38.53451142318263,0.25,0.4,0.45454545454545453,0.5172413793103449,0.5,0.4883720930232558
235.79525086190233,236.62198941763424,233.66830732049436,207.99187488194403,39.82545198545224,18.03410625661548,-9.678227777271541,-24.36744198541403,-34.332090265410855,-41.288212911798695,0.25,0.4,0.5,0.5172413793103449,0.5277777777777778,0.4883720930232558
207.99187488194403,208.09204877023942,207.5497472702448,206.83255176582801,21.559132183701134,37.93311172327392,5.34878814489399,-11.887778667521365,-23.47976758571254,-31.699995543278636,0.25,0.4,0.45454545454545453,0.4827586206896552,0.5277777777777778,0.4883720930232558
206.83255176582801,208.55657795609133,205.71509155628723,205.63143740973524,5.636057144091056,42.706462949788325,8.905392851517124,-9.08297870149115,-21.022546773885665,-29.569345189318085,0.25,0.3333333333333333,0.45454545454545453,0.4482758620689655,0.5,0.4883720930232558
205.63143740973524,212.15653539053676,205.57124474205006,210.97178735848348,3.6145439265600654,47.417679306727976,12.42766977190426,-6.230998087590745,-18.523863093133365,-27.40225192700658,0.25,0.26666666666666666,0.4090909090909091,0.4482758620689655,0.5,0.4883720930232558
210.97178735848348,218.18252211038273,209.37045603010225,216.15113691281795,2.350261203122339,47.5448157339408,12.537978726881803,-6.30278853154751,-18.514614624106716,-27.50225528174103,0.375,0.26666666666666666,0.45454545454545453,0.4482758620689655,0.5277777777777778,0.4883720930232558
216.15113691281795,221.55042181140487,215.58948288398773,220.31022837220564,-0.7520111377170235,47.979864247898504,12.77475519581175,-6.26528557320063,-18.416314571282033,-27.475324731982308,0.375,0.3333333333333333,0.45454545454545453,0.4482758620689655,0.5277777777777778,0.5116279069767442
220.31022837220564,230.1228116118511,218.9320894972366,227.20899948703482,-2.495658140593826,51.679715182838315,13.548809111277604,-5.711652658074529,-17.92933471568129,-27.10114684917685,0.5,0.4,0.45454545454545453,0.4827586206896552,0.5277777777777778,0.5116279069767442
227.20899948703482,228.69151675986268,227.09618232342726,212.19202260514396,-5.996051491703858,19.55670932675677,12.997734321513942,-6.197731934563011,-18.406634192148886,-27.541419604392058,0.5,0.4,0.45454545454545453,0.5172413793103449,0.5277777777777778,0.5348837209302325
212.19202260514396,218.06826042110225,211.44994863145675,215.67319760125966,0.9394459592323212,10.04621294728647,23.781716300442348,2.6824901533916368,-10.717614643957841,-20.672105553248876,0.5,0.4,0.45454545454545453,0.4827586206896552,0.5,0.5348837209302325
215.67319760125966,218.59619322004954,214.7031973858833,214.3318363218983,-0.1042300162361065,0.6008532341109651,24.536451146442495,3.304886796392026,-10.26864786916104,-20.233960299746588,0.625,0.4666666666666667,0.45454545454545453,0.5172413793103449,0.5,0.5348837209302325
