Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
24.0,26.0,23.0,23.0,,,,,,,,,,,,
23.0,26.0,20.0,26.0,,,,,,,,,,,,
26.0,26.0,22.0,25.0,,,,,,,,,,,,
25.0,30.0,23.0,28.0,,,,,,,,,,,,
28.0,29.0,26.0,27.0,,,,,,,,,,,,
27.0,29.0,24.0,26.0,,,,,,,,,,,,
26.0,29.0,23.0,29.0,,,,,,,,,,,,
29.0,29.0,26.0,28.0,,,,,,,,,,,,
28.0,31.0,25.0,31.0,,,,,,,,,,,,
31.0,36.0,28.0,34.0,,,,,,,,,,,,
34.0,35.0,31.0,33.0,,,,,,,,,,,,
33.0,35.0,31.0,32.0,,,,,,,,,,,,
32.0,35.0,31.0,35.0,,,,,,,,,,,,
35.0,35.0,31.0,34.0,,,,,,,,,,,,
34.0,37.0,31.0,37.0,,,,,,,,,,,,
37.0,39.0,36.0,36.0,,,,,,,,,,,,
36.0,38.0,33.0,35.0,,,,,,,,,,,,
35.0,40.0,33.0,38.0,,,,,,,,,,,,
38.0,41.0,37.0,41.0,,,,,,,,,,,,
41.0,42.0,38.0,40.0,,,,,,,,,,,,
40.0,41.0,38.0,39.0,,,,,,,,,,,,
39.0,44.0,38.0,42.0,,,,,,,,,,,,
42.0,44.0,40.0,41.0,,,,,,,,,,,,
41.0,41.0,38.0,40.0,,,,,,,,,,,,
40.0,43.0,39.0,43.0,,,,,,,,,,,,
43.0,46.0,40.0,46.0,,,,,,,,,,,,
46.0,50.0,44.0,49.0,,,,,,,,,,,,
49.0,53.0,47.0,52.0,,,,,,,,,,,,
52.0,53.0,50.0,51.0,,,,,,,,,,,,
51.0,52.0,50.0,50.0,,,,,,,,,,,,
50.0,50.0,47.0,49.0,,,,,,,,,,,,
49.0,51.0,46.0,48.0,,,,,,,,,,,,
48.0,53.0,47.0,51.0,,,,,,,,,,,,
51.0,52.0,50.0,50.0,,,,,,,,,,,,
50.0,53.0,47.0,53.0,,,,,,,,,,,,
53.0,55.0,51.0,52.0,,,,,,,,,,,,
52.0,54.0,50.0,51.0,,,,,,,,,,,,
51.0,52.0,49.0,50.0,,,,,,,,,,,,
50.0,50.0,48.0,49.0,,,,,,,,,,,,
49.0,50.0,46.0,48.0,,,,,,,,,,,,
48.0,53.0,46.0,51.0,,,,,,,,,,,,
51.0,51.0,48.0,50.0,,,,,,,,,,,,
50.0,53.0,49.0,53.0,,,,,,,,,,,,
53.0,58.0,51.0,56.0,,,,,,,,,,,,
56.0,60.0,55.0,59.0,,,,,,,,,,,,
56.0,57.35075714591022,53.35693541162304,-1.6990653921307626,-11.38014527845036,-12.711864406779661,-14.366424535916057,-18.76513317191283,-23.29297820823244,-27.88539144471347,0.5,0.4,0.45454545454545453,0.4482758620689655,0.4166666666666667,0.4418604651162791
-1.6990653921307626,0.3649483830620097,-3.770971318413502,-8559.663115596126,-2751.045149108685,-2922.1436902773808,-2948.347263414224,-2837.431288988742,-2705.299430723118,-2562.559630537422,0.5,0.4,0.4090909090909091,0.41379310344827586,0.4166666666666667,0.4186046511627907
-8559.663115596126,-8559.032984602674,-8561.137622930793,-8870.276582506047,-86.16039962420756,-93.37477081768861,-95.7778922579769,-96.95483585442487,-97.64931930952258,-98.10034741722686,0.625,0.4,0.4090909090909091,0.41379310344827586,0.4444444444444444,0.4418604651162791
-8870.276582506047,-8868.154443556434,-8872.273006669235,-9175.548393201267,-72.27717502318276,-86.4236486824638,-91.13752938713448,-93.47393567207646,-94.8632174253422,-95.77893691276978,0.625,0.4666666666666667,0.4090909090909091,0.4482758620689655,0.4444444444444444,0.46511627906976744
-9175.548393201267,-9174.285998882573,-9176.216041960277,-9480.726223000795,-58.83595644845131,-79.69121996953655,-86.64349345423886,-90.10445009962831,-92.16638891645785,-93.53089472970308,0.75,0.4666666666666667,0.4090909090909091,0.4827586206896552,0.4722222222222222,0.46511627906976744
