Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
44.0,46.0,41.0,43.0,,,,,,,,,,,,
43.0,43.0,40.0,42.0,,,,,,,,,,,,
42.0,44.0,39.0,41.0,,,,,,,,,,,,
41.0,42.0,40.0,40.0,,,,,,,,,,,,
40.0,44.0,37.0,43.0,,,,,,,,,,,,
43.0,45.0,42.0,42.0,,,,,,,,,,,,
42.0,46.0,40.0,45.0,,,,,,,,,,,,
45.0,46.0,43.0,44.0,,,,,,,,,,,,
44.0,49.0,41.0,47.0,,,,,,,,,,,,
47.0,50.0,44.0,50.0,,,,,,,,,,,,
50.0,50.0,46.0,49.0,,,,,,,,,,,,
49.0,51.0,48.0,48.0,,,,,,,,,,,,
48.0,52.0,46.0,51.0,,,,,,,,,,,,
51.0,54.0,49.0,54.0,,,,,,,,,,,,
54.0,59.0,53.0,57.0,,,,,,,,,,,,
57.0,59.0,54.0,56.0,,,,,,,,,,,,
56.0,56.0,53.0,55.0,,,,,,,,,,,,
55.0,57.0,53.0,54.0,,,,,,,,,,,,
54.0,58.0,52.0,57.0,,,,,,,,,,,,
57.0,58.0,54.0,56.0,,,,,,,,,,,,
56.0,59.0,55.0,59.0,,,,,,,,,,,,
59.0,59.0,56.0,58.0,,,,,,,,,,,,
58.0,59.0,56.0,57.0,,,,,,,,,,,,
57.0,58.0,55.0,56.0,,,,,,,,,,,,
56.0,59.0,54.0,59.0,,,,,,,,,,,,
59.0,61.0,57.0,58.0,,,,,,,,,,,,
58.0,59.0,56.0,57.0,,,,,,,,,,,,
57.0,62.0,56.0,60.0,,,,,,,,,,,,
60.0,64.0,59.0,63.0,,,,,,,,,,,,
63.0,66.0,62.0,66.0,,,,,,,,,,,,
66.0,66.0,64.0,65.0,,,,,,,,,,,,
65.0,70.0,62.0,68.0,,,,,,,,,,,,
68.0,69.0,65.0,67.0,,,,,,,,,,,,
67.0,72.0,65.0,70.0,,,,,,,,,,,,
70.0,73.0,67.0,73.0,,,,,,,,,,,,
73.0,77.0,70.0,76.0,,,,,,,,,,,,
76.0,78.0,74.0,75.0,,,,,,,,,,,,
75.0,79.0,72.0,78.0,,,,,,,,,,,,
78.0,82.0,75.0,81.0,,,,,,,,,,,,
81.0,86.0,78.0,84.0,,,,,,,,,,,,
84.0,89.0,82.0,87.0,,,,,,,,,,,,
87.0,90.0,85.0,90.0,,,,,,,,,,,,
90.0,91.0,89.0,89.0,,,,,,,,,,,,
89.0,94.0,87.0,92.0,,,,,,,,,,,,
92.0,96.0,90.0,95.0,,,,,,,,,,,,
92.0,93.97694341547812,90.4267227918507,-12.831100251093488,-7.067669172932323,-15.413533834586456,-22.15538847117795,-26.691729323308277,-30.225563909774433,-34.06015037593985,0.75,0.7333333333333333,0.6818181818181818,0.5862068965517241,0.5555555555555556,0.5581395348837209
-12.831100251093488,-12.74966743891295,-15.673879981284598,-2784.544824996377,-683.5919751801441,-681.2712189888118,-649.6944999941428,-624.1641855939661,-602.833819070963,-578.4077172050313,0.625,0.6666666666666666,0.6363636363636364,0.5862068965517241,0.5555555555555556,0.5581395348837209
-2784.544824996377,-2782.9135307121774,-2786.1019808484753,-3220.8418770570024,-87.97251014034725,-95.36375643099991,-97.67188430834945,-98.7707968890023,-99.41064907362812,-99.78676866766871,0.625,0.7333333333333333,0.6818181818181818,0.5862068965517241,0.5833333333333334,0.5581395348837209
-3220.8418770570024,-3217.90334538133,-3222.3308080654533,-3643.6045523703274,-74.9301668052919,-88.69368853391015,-93.14107485323284,-95.30378129608957,-96.58809896904621,-97.40365293981422,0.625,0.7333333333333333,0.7272727272727273,0.6206896551724138,0.5833333333333334,0.5813953488372093
-3643.6045523703274,-3641.7540492476687,-3644.4276419027856,-4043.5704249270225,-63.20040372983748,-82.71958004384821,-89.09658692993816,-92.21941757264315,-94.08449027702746,-95.2945455842554,0.625,0.7333333333333333,0.7272727272727273,0.6206896551724138,0.5833333333333334,0.5813953488372093
-4043.5704249270225,-4042.2098052013007,-4044.3503577154042,-4440.20898278654,-52.24025389518473,-77.1517470587974,-85.33899090898643,-89.36637010433748,-91.77219878478915,-93.35312042544585,0.75,0.7333333333333333,0.7272727272727273,0.6551724137931034,0.5833333333333334,0.6046511627906976
-4440.20898278654,-4439.117988521296,-4441.130200613537,-4827.964249389869,-41.924864243470324,-71.92924633239492,-81.8159548151251,-86.69898371056715,-89.61400122963259,-91.540723258133,0.75,0.8,0.7272727272727273,0.6896551724137931,0.6111111111111112,0.6046511627906976
-4827.964249389869,-4827.405002700484,-4829.554306436848,-5204.597941514223,-32.02232178713095,-66.92547704966452,-78.45038091460073,-84.15439354582949,-87.55845562240555,-89.81451505629624,0.75,0.8,0.7727272727272727,0.7241379310344828,0.6388888888888888,0.6046511627906976
-5204.597941514223,-5202.730565306716,-5207.070613615505,-5575.625981234558,-22.691070007315883,-62.06491114216246,-75.18571055269473,-81.68915512429643,-85.57200808722608,-88.14822501344473,0.875,0.8,0.7727272727272727,0.7241379310344828,0.6666666666666666,0.627906976744186
-5575.625981234558,-5574.052741505721,-5575.73235891619,-5940.759013725663,-20.684334398461424,-57.33881970433858,-72.01784197283516,-79.29906368790542,-83.64576203541215,-86.53544738822336,0.875,0.8,0.8181818181818182,0.7586206896551724,0.6666666666666666,0.6511627906976745
-5940.759013725663,-5938.676509434639,-5941.207836799886,-6296.8088417043955,-19.018690401244175,-52.71341488112989,-68.9196769552854,-76.96569648295808,-81.76685655310038,-84.96161819536313,0.875,0.8,0.8181818181818182,0.7931034482758621,0.6944444444444444,0.6511627906976745
-6296.8088417043955,-6295.936820254878,-6297.587149871999,-6639.168516771984,-17.578351763860066,-48.14226092341105,-65.85998753696629,-74.66269995248138,-79.9139265152079,-83.41058489841356,0.875,0.8,0.8181818181818182,0.7931034482758621,0.6944444444444444,0.6511627906976745
-6639.168516771984,-6636.710067476669,-6641.22011857125,-6974.664288564762,-16.243527378909672,-43.577781535395054,-62.80405827231398,-72.36394126283294,-78.06759507051369,-81.86465161119575,0.875,0.8666666666666667,0.8181818181818182,0.7931034482758621,0.7222222222222222,0.6511627906976745
-6974.664288564762,-6972.069922257339,-6975.542225898484,-7303.178944006613,-15.081240334227386,-39.05473118422228,-59.78014946531428,-70.08806846237346,-76.24209641566307,-80.33693017081444,0.875,0.8666666666666667,0.8636363636363636,0.7931034482758621,0.75,0.6744186046511628
-7303.178944006613,-7300.764065172292,-7303.435550999517,-7623.67495864133,-14.05933563927666,-34.560425132000624,-56.77657239431662,-67.8303643798422,-74.43173326481552,-78.8225393622175,0.875,0.8666666666666667,0.8636363636363636,0.8275862068965517,0.7777777777777778,0.6976744186046512
-7623.67495864133,-7623.0666316565885,-7624.962600566482,-7936.1892966513915,-13.13922785435685,-30.18064141173039,-53.78116765685144,-65.57947779377768,-72.6273577678649,-77.3150135559873,0.875,0.9333333333333333,0.8636363636363636,0.8275862068965517,0.7777777777777778,0.7209302325581395
-7936.1892966513915,-7934.32914172222,-7938.335956731422,-8241.200788276748,-12.310480438513327,-28.293348994368174,-50.78888396475193,-63.333322675867954,-70.82722458721592,-75.8102586768432,0.875,0.9333333333333333,0.8636363636363636,0.8620689655172413,0.8055555555555556,0.7209302325581395
-8241.200788276748,-8239.026322655915,-8243.759764220415,-8538.069115709062,-11.568216911880135,-26.595980578599875,-47.7980403099781,-61.08861313780314,-69.0300212734796,-74.30840340028126,0.875,0.9333333333333333,0.8636363636363636,0.8620689655172413,0.8333333333333334,0.7441860465116279
-8538.069115709062,-8536.091040616631,-8540.837724715784,-8823.928963697974,-10.892957869233456,-25.053578834622957,-44.801000276747175,-58.8395964486307,-67.2296252160467,-72.80429390027649,0.875,0.9333333333333333,0.8636363636363636,0.8620689655172413,0.8333333333333334,0.7441860465116279
-8823.928963697974,-8823.058229494443,-8825.703432007364,-9102.531118719497,-10.242597011515631,-23.611902952511198,-41.77929177088574,-56.57083907709707,-65.41371176953025,-71.28872305230539,0.875,0.9333333333333333,0.9090909090909091,0.8620689655172413,0.8333333333333334,0.7674418604651163
-9102.531118719497,-9101.459494230821,-9104.057052517202,-9373.187482824482,-9.650290146359808,-22.29134580650973,-38.75122557932751,-54.299224867929595,-63.59443880631224,-69.77163032124338,0.875,0.9333333333333333,0.9090909090909091,0.896551724137931,0.8333333333333334,0.7906976744186046
-9373.187482824482,-9371.22283589043,-9376.161821682228,-9635.44055148867,-9.104283081314723,-21.071532540609738,-35.70965231273876,-52.0177133314061,-61.76871482966077,-68.24931512337176,0.875,0.9333333333333333,0.9090909090909091,0.896551724137931,0.8611111111111112,0.813953488372093
-9635.44055148867,-9633.040248755564,-9637.637430413568,-9888.942971393204,-8.5955541080314,-19.9351399770488,-32.703914417666425,-49.72222187363429,-59.93197016687888,-66.71795942737265,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8611111111111112,0.813953488372093
-9888.942971393204,-9887.81685940733,-9890.347041468467,-10135.240375054555,-8.117724186495579,-18.872056557735217,-31.008005475013533,-47.40932401256167,-58.08261084948381,-65.17622541489848,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8888888888888888,0.8372093023255814
-10135.240375054555,-10132.675861178048,-10135.672304638707,-10373.164241713515,-7.680897604851344,-17.88747415526003,-29.43595020855778,-45.08524944547451,-56.22437317281922,-63.62813842913303,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8888888888888888,0.8604651162790697
-10373.164241713515,-10373.086121865059,-10374.397934489354,-10601.805915891382,-7.2711164860125415,-16.963908846504992,-27.965169412919867,-42.74238536219591,-54.35118224526474,-62.06765669738172,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8888888888888888,0.8604651162790697
-10601.805915891382,-10599.606756209525,-10601.905348909264,-10822.647590830486,-6.875282508650349,-16.08490370094171,-26.572998242587133,-40.37580998546832,-52.45803357360506,-60.49061589015707,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8888888888888888,0.8604651162790697
-10822.647590830486,-10820.711940114561,-10824.289018060976,-11035.437251749618,-6.505015082304211,-15.257597395189904,-25.263076374821893,-37.99068397571636,-50.551209175499146,-58.90135293950145,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.9166666666666666,0.8604651162790697
-11035.437251749618,-11035.191704461276,-11037.09863046424,-11240.00971353441,-6.1559886645723205,-14.475872067964456,-24.02559476884145,-35.58419842585321,-48.627362757327596,-57.2988568237156,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.9166666666666666,0.8837209302325582
-11240.00971353441,-11237.562829373863,-11241.926370573048,-11436.79560667436,-5.824626301644797,-13.734317447076528,-22.851415628179872,-33.189238985761826,-46.684631769892114,-55.68067720161316,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8837209302325582
-11436.79560667436,-11435.558496902186,-11439.328258094456,-11626.332866422157,-5.511619441846771,-13.032332234305166,-21.738465908050763,-31.63692652151331,-44.723868694972914,-54.048351796709724,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.9069767441860465
-11626.332866422157,-11625.612588304733,-11627.898145851803,-11807.988830163853,-5.2198462219307125,-12.370395104399334,-20.68562451528264,-30.169373402461332,-42.74648002566885,-52.402186808551875,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.9069767441860465
-11807.988830163853,-11807.553215688935,-11809.719966582963,-11981.90890303718,-4.942058531769722,-11.740471654578021,-19.683270508707253,-28.774269990567003,-40.748357331679216,-50.73876704262339,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.9069767441860465
-11981.90890303718,-11980.323478115493,-11982.22206662644,-12149.047727112296,-4.676385267380645,-11.138990202546573,-18.72574950485486,-27.44195935243068,-38.73004277625256,-49.05775028233814,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9069767441860465
-12149.047727112296,-12147.414299120568,-12151.402916349509,-12309.34637364882,-4.428110952372089,-10.570327671243817,-17.81573262707743,-26.174016242896712,-36.694176753538976,-47.36293038454136,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9302325581395349
-12309.34637364882,-12307.1717331617,-12309.52999797604,-12462.233201127987,-4.194251477403843,-10.031135104074506,-16.94932872780448,-24.96477115830573,-34.639384314774325,-45.65235776875326,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.9302325581395349
-12462.233201127987,-12459.73519044384,-12464.044740052672,-12608.542594838691,-3.968537630955371,-9.514668942742388,-16.1193490830733,-23.805410102607937,-32.58702799137432,-43.92266759160207,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
