Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
78.0,82.0,76.0,81.0,,,,,,,,,,,,
81.0,84.0,80.0,84.0,,,,,,,,,,,,
84.0,86.0,81.0,83.0,,,,,,,,,,,,
83.0,88.0,81.0,86.0,,,,,,,,,,,,
86.0,88.0,83.0,85.0,,,,,,,,,,,,
85.0,85.0,82.0,84.0,,,,,,,,,,,,
84.0,85.0,81.0,83.0,,,,,,,,,,,,
83.0,85.0,80.0,82.0,,,,,,,,,,,,
82.0,82.0,78.0,81.0,,,,,,,,,,,,
81.0,83.0,78.0,80.0,,,,,,,,,,,,
80.0,85.0,79.0,83.0,,,,,,,,,,,,
83.0,85.0,81.0,82.0,,,,,,,,,,,,
82.0,82.0,78.0,81.0,,,,,,,,,,,,
81.0,82.0,79.0,80.0,,,,,,,,,,,,
80.0,84.0,77.0,83.0,,,,,,,,,,,,
83.0,85.0,82.0,82.0,,,,,,,,,,,,
82.0,87.0,80.0,85.0,,,,,,,,,,,,
85.0,88.0,82.0,88.0,,,,,,,,,,,,
88.0,88.0,84.0,87.0,,,,,,,,,,,,
87.0,90.0,85.0,90.0,,,,,,,,,,,,
90.0,95.0,88.0,93.0,,,,,,,,,,,,
93.0,96.0,92.0,96.0,,,,,,,,,,,,
96.0,101.0,94.0,99.0,,,,,,,,,,,,
99.0,101.0,96.0,98.0,,,,,,,,,,,,
98.0,100.0,96.0,97.0,,,,,,,,,,,,
97.0,101.0,94.0,100.0,,,,,,,,,,,,
100.0,103.0,97.0,103.0,,,,,,,,,,,,
103.0,107.0,100.0,106.0,,,,,,,,,,,,
106.0,110.0,104.0,109.0,,,,,,,,,,,,
109.0,113.0,108.0,112.0,,,,,,,,,,,,
112.0,112.0,110.0,111.0,,,,,,,,,,,,
111.0,114.0,110.0,114.0,,,,,,,,,,,,
114.0,119.0,112.0,117.0,,,,,,,,,,,,
117.0,119.0,116.0,116.0,,,,,,,,,,,,
116.0,120.0,113.0,119.0,,,,,,,,,,,,
119.0,119.0,117.0,118.0,,,,,,,,,,,,
118.0,122.0,117.0,121.0,,,,,,,,,,,,
121.0,121.0,119.0,120.0,,,,,,,,,,,,
120.0,122.0,118.0,119.0,,,,,,,,,,,,
119.0,121.0,117.0,118.0,,,,,,,,,,,,
118.0,121.0,115.0,121.0,,,,,,,,,,,,
121.0,122.0,120.0,120.0,,,,,,,,,,,,
120.0,124.0,118.0,123.0,,,,,,,,,,,,
123.0,125.0,120.0,122.0,,,,,,,,,,,,
122.0,127.0,120.0,125.0,,,,,,,,,,,,
122.0,124.83606747404205,121.952445498542,116.9850950600421,-3.0857142857142916,-4.400000000000004,-8.152380952380955,-12.51428571428571,-16.845714285714287,-19.638095238095243,0.375,0.4666666666666667,0.5454545454545454,0.5862068965517241,0.5555555555555556,0.4883720930232558
116.9850950600421,118.6372335204251,116.84838210956907,115.85330267889657,3.3080440871358086,2.3320287206459955,-1.046201703349292,-5.6355642854206796,-10.318609558754677,-13.501697580347315,0.375,0.4,0.5454545454545454,0.5517241379310345,0.5277777777777778,0.46511627906976744
115.85330267889657,116.56427006033674,113.75734377976235,115.48671444904791,4.0525731650917995,3.2610304220541897,0.5721127355214017,-3.8242351812175057,-8.607614431399103,-12.022599788814425,0.375,0.3333333333333333,0.5,0.5517241379310345,0.5277777777777778,0.46511627906976744
115.48671444904791,116.4086678302731,114.4198642652567,115.40318788544111,3.7008723331611204,3.557064066737281,1.4062268432339486,-2.7307684205006733,-7.46430679353296,-11.09418263141716,0.25,0.3333333333333333,0.45454545454545453,0.5172413793103449,0.5277777777777778,0.46511627906976744
115.40318788544111,116.0054485537872,113.37626743186219,115.4661839643461,3.2068914646146585,3.4093926746592285,1.8676282984361414,-1.9670464507822283,-6.520821991713022,-10.36130474211918,0.25,0.26666666666666666,0.4090909090909091,0.4827586206896552,0.5277777777777778,0.46511627906976744
115.4661839643461,118.38229493280423,114.8033968260358,115.67049662779213,2.2184845655006225,3.1962300725504766,2.0787211935520356,-1.4184322008349515,-5.768465752370622,-9.720125640757749,0.25,0.3333333333333333,0.4090909090909091,0.4827586206896552,0.5277777777777778,0.4883720930232558
115.67049662779213,116.61174425849828,113.83521959493649,115.97464249458966,1.2562166508137462,2.6848448915556267,2.0495225635102976,-1.077843836289094,-5.103225043312221,-9.165935231122802,0.375,0.3333333333333333,0.4090909090909091,0.4827586206896552,0.5555555555555556,0.5116279069767442
115.97464249458966,118.69308236237823,113.42487682906099,116.31102925087045,-0.1210700990727287,2.1676307533927686,1.9861538257024858,-0.783741728269316,-4.589004732753732,-8.665592189839122,0.375,0.4,0.45454545454545453,0.5172413793103449,0.5555555555555556,0.5348837209302325
116.31102925087045,116.8628499006907,115.1941669933545,116.79077891159146,-0.4927241123523052,1.707014316813682,1.7858126334145075,-0.4777266706333161,-4.169494561574904,-8.24784772020719,0.5,0.4666666666666667,0.45454545454545453,0.5517241379310345,0.5555555555555556,0.5348837209302325
116.79077891159146,118.65723764412519,116.15348049076368,117.38870192592098,-0.7868060985889103,1.2152700229979274,1.3591693620994771,-0.3730840713515371,-3.8343494493499275,-7.9154830907404055,0.625,0.5333333333333333,0.45454545454545453,0.5517241379310345,0.5833333333333334,0.5581395348837209
117.38870192592098,118.35479416946005,116.72462471490998,118.02425267699651,-1.0606876711909075,0.4799869491104669,0.8992263447971105,-0.4427756565057228,-3.6575540841967125,-7.646459632360614,0.75,0.5333333333333333,0.5,0.5517241379310345,0.5833333333333334,0.5813953488372093
118.02425267699651,120.63512789974946,117.75585444749285,118.7193998209051,-1.276212624308637,-0.18066211482009598,0.3165241174979849,-0.6150276190022619,-3.5705605155335163,-7.37669666180214,0.875,0.6,0.5,0.5517241379310345,0.5833333333333334,0.6046511627906976
118.7193998209051,119.90279432198474,118.0686458875416,119.27185897454356,-1.4628126797916696,-1.0226882988598973,-0.2420116558825014,-0.9045762313808714,-3.588418410137595,-7.2026782174197335,0.875,0.6,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.6046511627906976
119.27185897454356,122.24036138738425,118.41765446762933,119.78572762989853,-1.4878792597001422,-1.6445252023834178,-0.7730795652134859,-1.1458338866481843,-3.549380397784352,-6.888473409695218,0.875,0.6666666666666666,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.627906976744186
119.78572762989853,121.52973783986762,119.15281443557771,120.2849225704729,-1.455974103583535,-2.377388791072954,-1.2072710989416202,-1.3079605366502656,-3.4435081362619746,-6.596484816825255,0.875,0.6666666666666666,0.5909090909090909,0.5862068965517241,0.6111111111111112,0.627906976744186
120.2849225704729,121.22546640225355,118.45341931864962,120.86222685780137,-1.392980128507515,-2.5865797400327906,-1.5664029884818076,-1.5309345733334756,-3.291137933981436,-6.345062606913531,0.875,0.7333333333333333,0.6363636363636364,0.5862068965517241,0.6388888888888888,0.627906976744186
120.86222685780137,122.29427852830094,120.5944480472978,121.49314168181418,-1.3827429618725406,-2.755856410188451,-1.9238056856778374,-1.8871496407705912,-3.2598963967728434,-6.125333470148842,0.875,0.8,0.6818181818181818,0.5862068965517241,0.6388888888888888,0.6511627906976745
121.49314168181418,122.92196643499943,120.24667579031022,122.12179511565057,-1.4122445095615777,-2.9077145300891227,-2.413787509579046,-2.235173306824012,-3.3273670182747184,-5.995640948086067,0.875,0.8666666666666667,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.6511627906976745
122.12179511565057,123.31257579718886,121.83530346549121,122.7639122047396,-1.4404230215776193,-3.01455333804288,-2.833402380648231,-2.6471466625322293,-3.4478312720881643,-5.911778404999946,0.875,0.9333333333333333,0.7272727272727273,0.6206896551724138,0.6388888888888888,0.6511627906976745
122.7639122047396,125.11783251827072,122.34516842518455,123.31512723322783,-1.4852899554494314,-3.0972273276850815,-3.3507902617917695,-3.0177601255823694,-3.63251367328824,-5.884832819282426,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6511627906976745
