Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
86.0,90.0,83.0,89.0,,,,,,,,,,,,
89.0,89.0,86.0,88.0,,,,,,,,,,,,
88.0,89.0,87.0,87.0,,,,,,,,,,,,
87.0,87.0,83.0,86.0,,,,,,,,,,,,
86.0,87.0,84.0,85.0,,,,,,,,,,,,
85.0,90.0,84.0,88.0,,,,,,,,,,,,
88.0,90.0,86.0,87.0,,,,,,,,,,,,
87.0,89.0,85.0,86.0,,,,,,,,,,,,
86.0,89.0,84.0,89.0,,,,,,,,,,,,
89.0,94.0,88.0,92.0,,,,,,,,,,,,
92.0,97.0,90.0,95.0,,,,,,,,,,,,
95.0,97.0,94.0,94.0,,,,,,,,,,,,
94.0,99.0,92.0,97.0,,,,,,,,,,,,
97.0,102.0,95.0,100.0,,,,,,,,,,,,
100.0,100.0,98.0,99.0,,,,,,,,,,,,
99.0,99.0,95.0,98.0,,,,,,,,,,,,
98.0,101.0,95.0,101.0,,,,,,,,,,,,
101.0,102.0,99.0,100.0,,,,,,,,,,,,
100.0,104.0,99.0,103.0,,,,,,,,,,,,
103.0,105.0,101.0,102.0,,,,,,,,,,,,
102.0,103.0,101.0,101.0,,,,,,,,,,,,
101.0,102.0,98.0,100.0,,,,,,,,,,,,
100.0,105.0,98.0,103.0,,,,,,,,,,,,
103.0,108.0,102.0,106.0,,,,,,,,,,,,
106.0,109.0,105.0,109.0,,,,,,,,,,,,
109.0,111.0,106.0,108.0,,,,,,,,,,,,
108.0,110.0,105.0,107.0,,,,,,,,,,,,
107.0,110.0,105.0,110.0,,,,,,,,,,,,
110.0,114.0,108.0,113.0,,,,,,,,,,,,
113.0,116.0,110.0,116.0,,,,,,,,,,,,
116.0,120.0,114.0,119.0,,,,,,,,,,,,
119.0,121.0,116.0,118.0,,,,,,,,,,,,
118.0,120.0,117.0,117.0,,,,,,,,,,,,
117.0,122.0,114.0,120.0,,,,,,,,,,,,
120.0,123.0,119.0,123.0,,,,,,,,,,,,
123.0,125.0,122.0,122.0,,,,,,,,,,,,
122.0,125.0,120.0,125.0,,,,,,,,,,,,
125.0,126.0,124.0,124.0,,,,,,,,,,,,
124.0,128.0,122.0,127.0,,,,,,,,,,,,
127.0,129.0,125.0,126.0,,,,,,,,,,,,
126.0,127.0,123.0,125.0,,,,,,,,,,,,
125.0,130.0,122.0,128.0,,,,,,,,,,,,
128.0,131.0,127.0,131.0,,,,,,,,,,,,
131.0,133.0,129.0,130.0,,,,,,,,,,,,
130.0,135.0,129.0,133.0,,,,,,,,,,,,
130.0,132.16575552975814,129.32561022958063,124.88386913493473,-3.329752953813092,-6.068743286788402,-9.380594343000359,-12.835660580021479,-15.574650912996768,-18.671679197994983,0.5,0.4666666666666667,0.5454545454545454,0.5172413793103449,0.5277777777777778,0.5116279069767442
124.88386913493473,126.97218139226136,122.36102060472314,123.40971308193365,2.7107224100664906,0.4295248342015556,-2.8856287968787364,-6.459271441762859,-9.404200957374409,-12.64486452067809,0.375,0.4666666666666667,0.5,0.5172413793103449,0.5,0.5116279069767442
123.40971308193365,124.47553943149569,121.63404708488805,122.86479746807568,3.6377769462312415,2.0001666578044253,-1.1309749788023904,-4.751257879639192,-7.641129868688146,-10.86034696495306,0.375,0.4666666666666667,0.5,0.4827586206896552,0.5,0.5116279069767442
122.86479746807568,125.74417317692783,122.15676814654441,122.74983712645708,3.8491552259787287,2.619093511164472,-0.07760629437936206,-3.7223247498782475,-6.630041140995669,-9.789372902346516,0.375,0.4,0.5,0.4827586206896552,0.4722222222222222,0.4883720930232558
122.74983712645708,122.77727875760019,121.707484372356,122.72250238331446,3.335396561367654,2.700643504327882,0.5105869312242772,-2.9993412718397505,-6.013067800849036,-9.011454930567053,0.25,0.3333333333333333,0.45454545454545453,0.4827586206896552,0.4444444444444444,0.4883720930232558
122.72250238331446,123.78621034319494,122.61869577064492,122.76653376087809,2.3948574003457734,2.7655706926219548,0.9102288919172308,-2.3164731694980345,-5.439842145225249,-8.278731295975472,0.125,0.3333333333333333,0.4090909090909091,0.4827586206896552,0.4444444444444444,0.4883720930232558
122.76653376087809,125.57102734229127,121.3434359889705,122.96957787962363,1.5164110085605476,2.598764322059788,1.1364988052084968,-1.7764756543021343,-4.897366040558005,-7.656754827288359,0.25,0.3333333333333333,0.4090909090909091,0.4827586206896552,0.4722222222222222,0.4883720930232558
122.96957787962363,123.78272162710475,120.45566522024451,123.1629606719783,0.18352804990962035,2.369502465794482,1.1232238188799482,-1.445809102097484,-4.5439437327000505,-7.209592705570634,0.25,0.4,0.4090909090909091,0.4827586206896552,0.4722222222222222,0.4883720930232558
123.1629606719783,124.13451072783761,123.14878475373177,123.49459520835246,-0.17338263797950226,1.9862385059738363,1.1640643084879887,-1.1898610671213783,-4.156486913980151,-6.810847823729993,0.375,0.4,0.45454545454545453,0.4827586206896552,0.5,0.4883720930232558
123.49459520835246,126.45073091881815,120.97086270009325,124.0014278487051,-0.4316397066946531,1.5674516971423413,1.1428256971062645,-1.0071082480390348,-3.939708461144542,-6.492449392259103,0.5,0.4666666666666667,0.5,0.5172413793103449,0.5,0.5116279069767442
124.0014278487051,124.77199919292151,123.50166066722812,124.60878862039768,-0.7076600612236694,1.094792962820379,0.8830862115825733,-0.9220563526364689,-3.8253974287870474,-6.356189387425337,0.625,0.5333333333333333,0.5,0.5517241379310345,0.5277777777777778,0.5116279069767442
124.60878862039768,127.72385381101866,122.2581253636257,125.20130647308532,-0.9785063046435671,0.4076508210684615,0.4528474499881252,-0.9862718171082752,-3.752842346294205,-6.34241205438798,0.75,0.5333333333333333,0.5,0.5517241379310345,0.5555555555555556,0.5116279069767442
125.20130647308532,128.16466731208496,122.66776909045402,125.85272718843974,-1.16429123351387,-0.3983516718653046,0.09921065356666148,-1.106808155649086,-3.633230386788011,-6.2873785221684075,0.875,0.5333333333333333,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5348837209302325
125.85272718843974,127.42357333727078,124.42239938936946,126.40881435140138,-1.3255523442106565,-1.1492766326595127,-0.386643686797139,-1.339085699733411,-3.6132213149855374,-6.245506770063947,0.875,0.6,0.5454545454545454,0.5517241379310345,0.5833333333333334,0.5581395348837209
126.40881435140138,128.2249693802887,123.50323192801675,126.8641517190743,-1.3709577543186469,-1.9565741010176385,-0.7341128439139366,-1.5637853523578826,-3.575949801404177,-6.1793602207516285,0.875,0.6,0.5909090909090909,0.5517241379310345,0.5833333333333334,0.5581395348837209
126.8641517190743,129.10230703173616,125.19003949218612,127.36827711866619,-1.30817666734111,-2.196972664774377,-1.0954943982140586,-1.6675499065836874,-3.519708852415848,-6.0119195169792805,0.875,0.6666666666666666,0.5909090909090909,0.5862068965517241,0.5833333333333334,0.5813953488372093
127.36827711866619,129.16019228028657,124.75244909145565,127.9648198351556,-1.2643254175887852,-2.362080753751994,-1.43580416027963,-1.7660228139812717,-3.467107298490457,-5.9283984940396,0.875,0.7333333333333333,0.6363636363636364,0.6206896551724138,0.6111111111111112,0.5813953488372093
127.9648198351556,130.5006156554297,127.9069245263362,128.6257737951015,-1.2821440806558893,-2.532568692657444,-1.7849592132165193,-2.0016733507100093,-3.4490281795299116,-5.883829440545163,0.875,0.8,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.6046511627906976
128.6257737951015,130.79507663440302,127.25598482303963,129.2604150011979,-1.343270673402508,-2.7071099826441847,-2.2664781428376135,-2.3490402234635055,-3.5314319644884073,-5.85608075409163,0.875,0.8666666666666667,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.627906976744186
129.2604150011979,132.07521241782524,128.4171407636439,129.9133908333738,-1.3790462122787672,-2.8235160859593766,-2.8104146471135905,-2.6278825071820777,-3.6456556407272855,-5.7793361118297355,0.875,0.9333333333333333,0.6818181818181818,0.6551724137931034,0.6388888888888888,0.6511627906976745
129.9133908333738,130.56359462963053,129.5920158484165,130.48993170165826,-1.4282144980622857,-2.9190021346481854,-3.302087403615961,-2.982224848263293,-3.823962994610919,-5.759663885916111,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6388888888888888,0.6511627906976745
130.48993170165826,133.2428542029814,130.46486483722177,131.00242554778092,-1.4169414932302504,-2.936278178548901,-3.8209244034465906,-3.233250995583048,-3.997317668782363,-5.729194439484953,0.875,0.9333333333333333,0.7272727272727273,0.6896551724137931,0.6388888888888888,0.6511627906976745
131.00242554778092,132.86946252677595,128.6970521216226,131.54079892625808,-1.351332122256066,-2.8885567906210996,-3.974778054372563,-3.5026962846309573,-4.089308306178974,-5.6980994444198245,0.875,0.9333333333333333,0.7727272727272727,0.6896551724137931,0.6666666666666666,0.6511627906976745
131.54079892625808,134.42499450699663,130.09266562327963,132.16465123782916,-1.3019357536799392,-2.8490962736387515,-4.073439206367069,-3.7472060647443572,-4.166019284159505,-5.65796065480344,0.875,0.9333333333333333,0.8181818181818182,0.7241379310344828,0.6944444444444444,0.6744186046511628
132.16465123782916,134.19201615295597,130.57109888211147,132.82671529877155,-1.3138559157364282,-2.8664918279389218,-4.191163488883154,-4.00793756544322,-4.355405052354033,-5.649937806433747,0.875,0.9333333333333333,0.8636363636363636,0.7586206896551724,0.6944444444444444,0.6976744186046512
132.82671529877155,136.1349892555888,132.21290014209023,133.4517338526745,-1.353931432523614,-2.908720746927529,-4.307453748610602,-4.356622132740517,-4.620762209111873,-5.711043459523557,0.875,0.9333333333333333,0.9090909090909091,0.7586206896551724,0.6944444444444444,0.6976744186046512
133.4517338526745,134.14014038476222,133.2165648311884,134.07888128437233,-1.367266887076024,-2.9218507885151013,-4.372781026122318,-4.738952822054266,-4.822292402245565,-5.787758407761833,0.875,0.9333333333333333,0.9545454545454546,0.7586206896551724,0.7222222222222222,0.6976744186046512
