Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
71.0,72.0,68.0,70.0,,,,,,,,,,,,
70.0,74.0,67.0,73.0,,,,,,,,,,,,
73.0,73.0,69.0,72.0,,,,,,,,,,,,
72.0,77.0,70.0,75.0,,,,,,,,,,,,
75.0,77.0,72.0,74.0,,,,,,,,,,,,
74.0,74.0,72.0,73.0,,,,,,,,,,,,
73.0,75.0,71.0,72.0,,,,,,,,,,,,
72.0,75.0,70.0,75.0,,,,,,,,,,,,
75.0,79.0,74.0,78.0,,,,,,,,,,,,
78.0,81.0,77.0,81.0,,,,,,,,,,,,
81.0,81.0,77.0,80.0,,,,,,,,,,,,
80.0,82.0,77.0,79.0,,,,,,,,,,,,
79.0,80.0,76.0,78.0,,,,,,,,,,,,
78.0,79.0,77.0,77.0,,,,,,,,,,,,
77.0,80.0,74.0,80.0,,,,,,,,,,,,
80.0,85.0,78.0,83.0,,,,,,,,,,,,
83.0,83.0,79.0,82.0,,,,,,,,,,,,
82.0,85.0,81.0,85.0,,,,,,,,,,,,
85.0,86.0,84.0,84.0,,,,,,,,,,,,
84.0,87.0,83.0,87.0,,,,,,,,,,,,
87.0,88.0,84.0,86.0,,,,,,,,,,,,
86.0,88.0,83.0,85.0,,,,,,,,,,,,
85.0,85.0,83.0,84.0,,,,,,,,,,,,
84.0,87.0,83.0,87.0,,,,,,,,,,,,
87.0,87.0,85.0,86.0,,,,,,,,,,,,
86.0,89.0,84.0,89.0,,,,,,,,,,,,
89.0,92.0,88.0,92.0,,,,,,,,,,,,
92.0,96.0,91.0,95.0,,,,,,,,,,,,
95.0,100.0,94.0,98.0,,,,,,,,,,,,
98.0,98.0,96.0,97.0,,,,,,,,,,,,
97.0,101.0,96.0,100.0,,,,,,,,,,,,
100.0,100.0,97.0,99.0,,,,,,,,,,,,
99.0,103.0,97.0,102.0,,,,,,,,,,,,
102.0,105.0,99.0,105.0,,,,,,,,,,,,
105.0,108.0,103.0,108.0,,,,,,,,,,,,
108.0,112.0,105.0,111.0,,,,,,,,,,,,
111.0,115.0,110.0,114.0,,,,,,,,,,,,
114.0,114.0,111.0,113.0,,,,,,,,,,,,
113.0,114.0,112.0,112.0,,,,,,,,,,,,
112.0,112.0,108.0,111.0,,,,,,,,,,,,
111.0,115.0,108.0,114.0,,,,,,,,,,,,
114.0,117.0,113.0,117.0,,,,,,,,,,,,
117.0,118.0,116.0,116.0,,,,,,,,,,,,
116.0,117.0,114.0,115.0,,,,,,,,,,,,
115.0,119.0,112.0,118.0,,,,,,,,,,,,
115.0,116.5965425035015,113.71129710044528,109.06268909112386,-2.784503631961266,-5.871670702179177,-10.73446327683616,-14.95157384987893,-18.426150121065376,-21.368038740920092,0.375,0.5333333333333333,0.5909090909090909,0.5517241379310345,0.5,0.5116279069767442
109.06268909112386,111.36774306810645,108.71401017472701,107.7548723756619,4.797223342499168,2.500858001524864,-2.4124955011320504,-7.194178454715116,-10.980092081275227,-14.180796867713363,0.375,0.5333333333333333,0.5909090909090909,0.5172413793103449,0.5,0.4883720930232558
107.7548723756619,110.10396168171671,105.482280618616,107.37641823171576,5.638917015924494,4.126386043427854,-0.39926416508514473,-5.2804660621722395,-9.13721948142776,-12.393364635005256,0.375,0.4666666666666667,0.5454545454545454,0.5172413793103449,0.5,0.4883720930232558
107.37641823171576,108.21445853074879,105.29554988077271,107.27132187918512,5.130023986309773,4.65146854442382,0.6336940229604293,-4.268885268397327,-8.035301376080085,-11.322331433093991,0.25,0.4,0.5,0.4827586206896552,0.5,0.4883720930232558
107.27132187918512,109.773211887728,107.05275567392253,107.25714471262579,3.937418808074855,4.70547779693784,1.2770262674588917,-3.466900206721202,-7.138932768087791,-10.452583249791413,0.125,0.3333333333333333,0.45454545454545453,0.4827586206896552,0.5,0.4883720930232558
107.25714471262579,109.0937666432851,106.11867936476351,107.27981632642803,2.786685261053079,4.470059879620059,1.7014032437496107,-2.7130262471263045,-6.400575772374384,-9.724685314808557,0.125,0.26666666666666666,0.4090909090909091,0.4827586206896552,0.4722222222222222,0.46511627906976744
107.27981632642803,109.20600385378874,106.44569155151652,107.49671863716937,1.7369194981861513,4.000541767729282,2.136207971946602,-1.9585828556254459,-5.7737211030210345,-9.093931426118617,0.25,0.26666666666666666,0.45454545454545453,0.5172413793103449,0.4722222222222222,0.46511627906976744
107.49671863716937,110.57646784944397,107.27543162457988,107.69508235709333,0.1358115600019305,3.425016196309394,2.26221256845196,-1.475431766989399,-5.286172547363666,-8.690480143676272,0.25,0.3333333333333333,0.45454545454545453,0.5172413793103449,0.5,0.46511627906976744
107.69508235709333,111.09069576801791,105.26707836200752,108.12996187415325,-0.2300412744439373,2.9489946217034158,2.4583221839182823,-0.9374430690569979,-4.858527159114756,-8.246372806471802,0.375,0.4,0.5,0.5517241379310345,0.5,0.4883720930232558
108.12996187415325,110.20039686275068,107.04599214781963,108.67306131292524,-0.581742961945686,2.3453628413987904,2.316208649751217,-0.7040108634651987,-4.603577744792964,-7.9739665419326755,0.5,0.4666666666666667,0.5,0.5517241379310345,0.5277777777777778,0.5116279069767442
108.67306131292524,112.141336693535,107.27384050869313,109.19878726638919,-0.9081396474150738,1.4837576741255853,1.965826440230778,-0.6523048426177569,-4.510516145047816,-7.761845792207578,0.625,0.4666666666666667,0.5,0.5517241379310345,0.5277777777777778,0.5348837209302325
109.19878726638919,110.296025210695,107.37052966224383,109.73472821639507,-1.1330500476310013,0.48488583596619783,1.527199128218082,-0.6662217301243722,-4.363253068326223,-7.50385952382241,0.75,0.4666666666666667,0.5,0.5517241379310345,0.5555555555555556,0.5581395348837209
109.73472821639507,113.04952687509612,109.68738914934379,110.32173667326768,-1.2933711903882705,-0.41369848724982505,0.9764374116129071,-0.769446078949565,-4.186326371041071,-7.310443064966588,0.875,0.5333333333333333,0.5,0.5517241379310345,0.5833333333333334,0.5581395348837209
110.32173667326768,110.86381202513142,108.33149028902513,110.84972002128306,-1.4246746065833538,-1.2464824024293386,0.28038634613694047,-0.8661771826980358,-4.014451581981604,-7.213977939233063,0.875,0.6,0.5,0.5862068965517241,0.6111111111111112,0.5581395348837209
110.84972002128306,113.1937897382003,110.82684874558095,111.29057987630135,-1.4620775928883667,-2.1775956361754445,-0.2896268445256811,-0.9887937088743803,-3.8569113916637976,-7.036256831827215,0.875,0.6,0.5454545454545454,0.5862068965517241,0.6111111111111112,0.5813953488372093
111.29057987630135,111.85953271772517,108.91792865767903,111.8461822903697,-1.390887056393697,-2.4221128758844412,-0.7149682505188104,-0.9865935039762852,-3.58848641288394,-6.84205677965709,0.875,0.6666666666666666,0.5909090909090909,0.6206896551724138,0.6388888888888888,0.5813953488372093
111.8461822903697,113.01002031594108,110.13479254768775,112.44427497562307,-1.406073968249022,-2.6455524863045143,-1.172145802723168,-1.1640439141429426,-3.4838039229574513,-6.7120420077261596,0.875,0.7333333333333333,0.6363636363636364,0.6206896551724138,0.6388888888888888,0.6046511627906976
112.44427497562307,114.39836981516528,111.00645285177043,112.99698890945932,-1.4513748524018433,-2.8414540223979046,-1.7636959826758059,-1.453310451194434,-3.477697935488955,-6.669471927671411,0.875,0.8,0.6363636363636364,0.6206896551724138,0.6388888888888888,0.6046511627906976
112.99698890945932,113.58084609328353,112.37902193158803,113.53599106667035,-1.4532260062163904,-2.954760231986664,-2.4129038272470704,-1.7774052774207405,-3.494771425525156,-6.557137414803793,0.875,0.8666666666666667,0.6363636363636364,0.6206896551724138,0.6388888888888888,0.627906976744186
113.53599106667035,116.60553686310183,113.51423150221316,114.11202832600328,-1.4427726581287437,-3.0204547398079873,-2.9795349952288164,-2.1639353907146885,-3.56195699731916,-6.402323675138577,0.875,0.9333333333333333,0.6818181818181818,0.6206896551724138,0.6388888888888888,0.6511627906976745
114.11202832600328,117.16916865122099,112.93170094841238,114.66636031882084,-1.4657817269663975,-3.082344071580956,-3.5063492161771403,-2.654305408477342,-3.620324170188971,-6.246515765588434,0.875,0.9333333333333333,0.7272727272727273,0.6206896551724138,0.6666666666666666,0.6744186046511628
114.66636031882084,115.94969562956196,113.78820245815017,115.14455510047192,-1.4666297241799686,-3.1042583544230062,-4.1112693707251236,-3.0730031493728105,-3.720810931193752,-6.1252794179318055,0.875,0.9333333333333333,0.7272727272727273,0.6551724137931034,0.6666666666666666,0.6744186046511628
115.14455510047192,117.07738562588156,113.65522857600865,115.72267351589727,-1.3976846887381766,-3.0445466158137813,-4.257973866479581,-3.3780061096446046,-3.7200545385646433,-5.912491272408216,0.875,0.9333333333333333,0.7727272727272727,0.6896551724137931,0.6944444444444444,0.6976744186046512
115.72267351589727,118.41380096206478,114.28682722267122,116.31621614000052,-1.4117300625328788,-3.0602572664424788,-4.408405218585642,-3.7149518583925345,-3.8622355856374413,-5.832717003497079,0.875,0.9333333333333333,0.8181818181818182,0.7241379310344828,0.6944444444444444,0.6976744186046512
116.31621614000052,117.93244628481726,113.97043905532975,116.87785182341618,-1.439266164938724,-3.0855667746875426,-4.53020439886328,-4.135160503909729,-4.074844073708162,-5.8154927803719,0.875,0.9333333333333333,0.8636363636363636,0.7241379310344828,0.6944444444444444,0.6976744186046512
116.87785182341618,117.86808221039567,114.10882475141345,117.41198910350609,-1.4385331461154616,-3.0819745014062483,-4.597572707643282,-4.599554375690696,-4.318771380178887,-5.822399620956187,0.875,0.9333333333333333,0.9090909090909091,0.7241379310344828,0.6944444444444444,0.6976744186046512
117.41198910350609,118.56977355705239,115.1989782533085,117.96290202087197,-1.4153153578807531,-3.055826854500543,-4.6197305058923614,-4.990605721204067,-4.598018351411004,-5.857189472214408,0.875,0.9333333333333333,0.9545454545454546,0.7586206896551724,0.6944444444444444,0.6976744186046512
117.96290202087197,118.64494578118193,116.85418056874965,118.49428149564092,-1.409373615862941,-3.04589190704162,-4.633924679291379,-5.344616252754242,-4.947582545946694,-5.873743989653047,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.6944444444444444,0.7209302325581395
118.49428149564092,121.12249718430654,117.99300681388243,118.97990240187161,-1.3900009259224078,-3.0198603765992704,-4.619630555481969,-5.754194136439638,-5.2413600691526,-5.92423382632854,0.875,0.9333333333333333,0.9545454545454546,0.7931034482758621,0.7222222222222222,0.7209302325581395
118.97990240187161,120.37289981984641,117.80538599010424,119.5344820631324,-1.3319776927447347,-2.954066499842112,-4.5572793792543305,-5.841176176902174,-5.460507990599661,-5.908382095630738,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.75,0.7441860465116279
119.5344820631324,120.59891307614053,117.8978080696715,120.11187681682031,-1.334193543486828,-2.9448915237003215,-4.545762641157369,-5.926076649529454,-5.695130205915189,-5.995658424501205,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.7777777777777778,0.7441860465116279
120.11187681682031,121.9936924973395,117.92660854611567,120.66980013265835,-1.3570505259482446,-2.9554693775022733,-4.55112618943253,-5.999624822902739,-6.003081699603219,-6.147991025129995,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.7777777777777778,0.7441860465116279
120.66980013265835,123.86767372003685,119.10586659065336,121.21143101375657,-1.3642147983811581,-2.94998011555071,-4.539766937814871,-6.0376897981961,-6.350790314802879,-6.331931275539593,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.7777777777777778,0.7441860465116279
121.21143101375657,124.01993871177858,118.52719493918121,121.774314189914,-1.3571729350742023,-2.9313409224390963,-4.5154560660285785,-6.046403102428554,-6.646418381890307,-6.5499023644698395,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8055555555555556,0.7441860465116279
121.774314189914,122.75976394361489,119.30051547495805,122.30876693576378,-1.3660060173098065,-2.93058297781551,-4.508973253504777,-6.055590879361638,-6.918987990250846,-6.8298564427609065,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8333333333333334,0.7441860465116279
122.30876693576378,125.76161135550869,121.71315582800877,122.82003607977052,-1.3514736148421802,-2.908429191993056,-4.480100027907397,-6.033586527992185,-7.225071034985808,-7.055770814626506,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8333333333333334,0.7674418604651163
122.82003607977052,124.62067049654168,122.33765144915283,123.37566502390985,-1.3154607211798064,-2.8662134427874464,-4.430712362044886,-5.984933520907854,-7.29123493702295,-7.232920459947534,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.7906976744186046
123.37566502390985,126.33482954498739,121.47959045801979,123.96470058702711,-1.3151198441158751,-2.860589304574601,-4.416112754023582,-5.967009016110547,-7.347006365733955,-7.411871514411173,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.813953488372093
123.96470058702711,125.1601358739746,122.10311230687557,124.54820783351093,-1.3400347139519875,-2.8814544032933043,-4.427754287975761,-5.973267074933886,-7.40493266089789,-7.660427939477454,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.813953488372093
124.54820783351093,125.34496262228822,122.66282742771648,125.12800226261848,-1.357401325820451,-2.896557935824251,-4.433866728682001,-5.973635774391561,-7.4424069976558265,-7.948741088626976,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.813953488372093
125.12800226261848,127.08432687716828,122.79175714301991,125.73633390901968,-1.3673224571471687,-2.906033473086822,-4.435534288015253,-5.9699594065046995,-7.463223951073772,-8.20158192214585,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8372093023255814
125.73633390901968,128.2651083871791,124.91131607698338,126.33269284903453,-1.3943718971248908,-2.934194140064239,-4.457652418614089,-5.987053243693685,-7.491538296155964,-8.442412731201044,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8604651162790697
126.33269284903453,127.45549217090914,126.11207822173807,126.89618427246636,-1.4048180605153782,-2.949213281406715,-4.468920829573053,-5.993141372825061,-7.502233698564309,-8.717570649799578,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8604651162790697
126.89618427246636,129.74483576849437,126.80110719676112,127.48740698621974,-1.383752422743778,-2.9345746651105786,-4.452141797620735,-5.971373635280164,-7.480652331047077,-8.788306923609547,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
127.48740698621974,129.16189105975596,126.16807293015331,128.09947171793868,-1.3803402788495234,-2.939129448978006,-4.455809012257195,-5.969258468555716,-7.4758875762739985,-8.842776612872116,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
128.09947171793868,130.60201817407514,126.80331028311022,128.72660674765936,-1.3904375613681186,-2.9575002226350344,-4.474298462253579,-5.982072601431698,-7.484683212231302,-8.893155571126298,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
128.72660674765936,131.13708758770954,127.81317442749418,129.3660693089251,-1.407140385017036,-2.983214660287836,-4.501370341677835,-6.003705496127932,-7.501974322849869,-8.940172129318658,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
129.3660693089251,131.87814890726366,126.43783423521693,130.01681667212085,-1.426485701745317,-3.0125205336539396,-4.533400431843193,-6.031310242331278,-7.525624097858263,-8.983375529797632,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
130.01681667212085,132.01140115486993,128.53064610740824,130.64809959330424,-1.4495342644516018,-3.0451265372786196,-4.569742225818829,-6.064744852346971,-7.5556648206038695,-9.022548256853524,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
130.64809959330424,133.98571856670128,129.95940749622284,131.27104254723724,-1.453855476317667,-3.0576739368048167,-4.587868533279504,-6.081752998754175,-7.569378997750564,-9.04023068695069,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
131.27104254723724,133.29751889036234,129.0318884748258,131.8926481740914,-1.445404648442361,-3.057865959721495,-4.594778482434069,-6.08869369316265,-7.573126723591573,-9.0442643932937,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
131.8926481740914,133.55177291235557,129.96008407936802,132.51503142143542,-1.432743397266878,-3.0535001520805793,-4.5982359342383265,-6.093439120149435,-7.574472118448483,-9.043966973563178,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
132.51503142143542,133.6883422982255,131.26947861960892,133.13857676680738,-1.4196670309793658,-3.0479467120484105,-4.600604108956885,-6.097913771677954,-7.575823525620007,-9.042781566185297,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
133.13857676680738,135.99473534046155,132.0956087011056,133.76368137160557,-1.4079586636489227,-3.041143450626993,-4.601435741925797,-6.101505451452727,-7.576448972911997,-9.040651840639036,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
133.76368137160557,136.9414355737421,133.33334778273016,134.39063957586913,-1.3990422640789757,-3.0331144064869475,-4.600400042688291,-6.103729376253275,-7.576306830200208,-9.038015206844152,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
134.39063957586913,137.86471540062053,133.08686814848576,135.01910463154056,-1.3940976865356447,-3.0255075925941677,-4.598419413254129,-6.105206755556559,-7.576358198478772,-9.035949966053803,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
135.01910463154056,136.71534546654868,132.68328890847891,135.6494907981483,-1.390597698648821,-3.017355274594813,-4.594206246932986,-6.1051502522806,-7.575871831409664,-9.03314719924314,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
135.6494907981483,137.52567186304,135.1500980222744,136.28285857333668,-1.387742858451546,-3.0071296526887226,-4.58720180545421,-6.102612610054936,-7.573493358002725,-9.02833213265134,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
136.28285857333668,137.63018187595293,135.5380481212075,136.91901092590166,-1.3858389836102214,-2.9969119649526754,-4.5796334676627914,-6.100088073587051,-7.572000763847808,-9.02419338987709,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
136.91901092590166,140.35155120562266,136.49812082600232,137.5575077338476,-1.3845216910521763,-2.9875051925838503,-4.572437232230941,-6.097963977879606,-7.571512600792052,-9.021281395189328,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
137.5575077338476,141.1347101043034,136.94146957035653,138.19828053425644,-1.3833446042338937,-2.979249038918652,-4.5650304905418215,-6.095368036887705,-7.571007815512488,-9.018462179004338,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
138.19828053425644,139.5008909917178,135.677304446082,138.84140303559607,-1.3821828953922366,-2.9725994283487767,-4.55716289864837,-6.091780541299563,-7.569825312183176,-9.01541407991877,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
138.84140303559607,140.0284920769933,137.7091666383859,139.48664916270252,-1.3810377187913891,-2.9680456340830608,-4.549790062268267,-6.0877514856452875,-7.568320466416623,-9.012783530918156,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
139.48664916270252,140.67806561618696,137.72530413878945,140.13421624738226,-1.3796858957975,-2.964296141445355,-4.54226956535747,-6.08235265540098,-7.565904392222434,-9.010010672166334,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
140.13421624738226,142.81525745276687,139.3564219458451,140.7846930616456,-1.3782284564337166,-2.9609332531547072,-4.533542479820163,-6.0750854748520595,-7.561739678569013,-9.00589268372416,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
