Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
31.0,35.0,29.0,34.0,,,,,,,,,,,,
34.0,38.0,31.0,37.0,,,,,,,,,,,,
37.0,38.0,34.0,36.0,,,,,,,,,,,,
36.0,38.0,35.0,35.0,,,,,,,,,,,,
35.0,37.0,33.0,34.0,,,,,,,,,,,,
34.0,37.0,31.0,37.0,,,,,,,,,,,,
37.0,41.0,34.0,40.0,,,,,,,,,,,,
40.0,42.0,39.0,39.0,,,,,,,,,,,,
39.0,42.0,37.0,42.0,,,,,,,,,,,,
42.0,47.0,39.0,45.0,,,,,,,,,,,,
45.0,45.0,42.0,44.0,,,,,,,,,,,,
44.0,49.0,42.0,47.0,,,,,,,,,,,,
47.0,48.0,45.0,46.0,,,,,,,,,,,,
46.0,48.0,43.0,45.0,,,,,,,,,,,,
45.0,49.0,42.0,48.0,,,,,,,,,,,,
48.0,50.0,45.0,47.0,,,,,,,,,,,,
47.0,52.0,46.0,50.0,,,,,,,,,,,,
50.0,54.0,47.0,53.0,,,,,,,,,,,,
53.0,53.0,50.0,52.0,,,,,,,,,,,,
52.0,52.0,48.0,51.0,,,,,,,,,,,,
51.0,55.0,49.0,54.0,,,,,,,,,,,,
54.0,57.0,52.0,57.0,,,,,,,,,,,,
57.0,58.0,56.0,56.0,,,,,,,,,,,,
56.0,58.0,54.0,55.0,,,,,,,,,,,,
55.0,59.0,54.0,58.0,,,,,,,,,,,,
58.0,58.0,56.0,57.0,,,,,,,,,,,,
57.0,59.0,55.0,56.0,,,,,,,,,,,,
56.0,57.0,55.0,55.0,,,,,,,,,,,,
55.0,55.0,53.0,54.0,,,,,,,,,,,,
54.0,54.0,51.0,53.0,,,,,,,,,,,,
53.0,54.0,50.0,52.0,,,,,,,,,,,,
52.0,53.0,50.0,51.0,,,,,,,,,,,,
51.0,52.0,50.0,50.0,,,,,,,,,,,,
50.0,55.0,47.0,53.0,,,,,,,,,,,,
53.0,56.0,50.0,56.0,,,,,,,,,,,,
56.0,58.0,53.0,55.0,,,,,,,,,,,,
55.0,59.0,53.0,58.0,,,,,,,,,,,,
58.0,62.0,56.0,61.0,,,,,,,,,,,,
61.0,65.0,58.0,64.0,,,,,,,,,,,,
64.0,65.0,61.0,63.0,,,,,,,,,,,,
63.0,64.0,60.0,62.0,,,,,,,,,,,,
62.0,64.0,60.0,61.0,,,,,,,,,,,,
61.0,63.0,60.0,60.0,,,,,,,,,,,,
60.0,62.0,59.0,59.0,,,,,,,,,,,,
59.0,61.0,57.0,58.0,,,,,,,,,,,,
59.0,59.967533833210595,58.47077012599019,58.05336255486335,5.1724137931034475,-0.12315270935959743,-1.806239737274229,-3.078817733990147,-6.3546798029556655,-10.796387520525453,0.125,0.3333333333333333,0.2727272727272727,0.3103448275862069,0.3333333333333333,0.37209302325581395
58.05336255486335,58.985580880292396,55.488335474249915,57.250091798346276,3.612396798092865,0.6528829133912062,-1.8921221443515934,-2.857025904240973,-5.749110902919385,-9.932891874573146,0.125,0.4,0.2727272727272727,0.3103448275862069,0.3611111111111111,0.3953488372093023
57.250091798346276,58.41414901380451,55.2081922689999,57.381524660278714,3.6313882544990905,2.969698192200654,-0.49477761479818083,-1.1665056779266547,-3.9151407509771086,-7.702229328988553,0.125,0.4,0.2727272727272727,0.3103448275862069,0.3333333333333333,0.3953488372093023
57.381524660278714,57.87768981879059,56.608566932194805,57.6161552120126,2.244203275458312,3.279257805607916,-0.6080469525392207,-0.9956982526187819,-3.568514655473509,-7.067940161289787,0.25,0.4,0.3181818181818182,0.3448275862068966,0.3611111111111111,0.3953488372093023
57.6161552120126,60.547644763956484,57.12260199218229,57.82341974506609,0.9888218049602271,3.059033054497484,-0.7965792622620316,-1.1747208524809039,-3.335587187677014,-6.718411003236113,0.375,0.4,0.36363636363636365,0.3448275862068966,0.3888888888888889,0.3953488372093023
57.82341974506609,59.720277080339834,56.52589135327659,58.1089009654853,0.08909285661522492,3.0383978434546988,-0.8372996139137667,-1.4780960352342665,-3.196684832743568,-6.277695092863922,0.5,0.4666666666666667,0.4090909090909091,0.3448275862068966,0.3888888888888889,0.4186046511627907
58.1089009654853,60.77878787756383,56.45206225063427,58.40334330138998,-0.6217025964125988,2.545570358312288,-0.9058087205135457,-1.8325058395372462,-3.1260555759261233,-6.078094550946977,0.625,0.4666666666666667,0.45454545454545453,0.3793103448275862,0.4166666666666667,0.4186046511627907
58.40334330138998,61.4499285113942,56.94443314897207,58.69673034936926,-1.0240619398111939,1.7110067466254764,-0.8832999782092288,-2.1193022425978314,-3.203349750191875,-6.00518542156453,0.75,0.4666666666666667,0.5,0.41379310344827586,0.4166666666666667,0.4186046511627907
58.69673034936926,58.95149639589889,57.57328674593509,58.84366888732204,-1.3621947400094814,0.5572595256505553,-0.7543057253462271,-2.566151771298375,-3.4098776261425434,-5.878852082400976,0.75,0.4666666666666667,0.5454545454545454,0.41379310344827586,0.4166666666666667,0.4418604651162791
58.84366888732204,60.813229950975234,56.22601472152352,59.229082820237245,-1.2216241017402374,-0.19836664301426943,-0.2864611416725338,-2.6975551255013275,-3.3187798340243546,-5.634659494774475,0.875,0.5333333333333333,0.5909090909090909,0.4482758620689655,0.4444444444444444,0.4418604651162791
