Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
34.0,37.0,32.0,37.0,,,,,,,,,,,,
37.0,40.0,34.0,40.0,,,,,,,,,,,,
40.0,40.0,36.0,39.0,,,,,,,,,,,,
39.0,40.0,38.0,38.0,,,,,,,,,,,,
38.0,42.0,37.0,41.0,,,,,,,,,,,,
41.0,44.0,39.0,44.0,,,,,,,,,,,,
44.0,46.0,42.0,43.0,,,,,,,,,,,,
43.0,43.0,41.0,42.0,,,,,,,,,,,,
42.0,46.0,39.0,45.0,,,,,,,,,,,,
45.0,50.0,42.0,48.0,,,,,,,,,,,,
48.0,49.0,47.0,47.0,,,,,,,,,,,,
47.0,49.0,44.0,46.0,,,,,,,,,,,,
46.0,48.0,43.0,45.0,,,,,,,,,,,,
45.0,47.0,43.0,44.0,,,,,,,,,,,,
44.0,47.0,41.0,47.0,,,,,,,,,,,,
47.0,51.0,46.0,50.0,,,,,,,,,,,,
50.0,51.0,49.0,49.0,,,,,,,,,,,,
49.0,53.0,47.0,52.0,,,,,,,,,,,,
52.0,57.0,50.0,55.0,,,,,,,,,,,,
55.0,57.0,52.0,54.0,,,,,,,,,,,,
54.0,57.0,53.0,57.0,,,,,,,,,,,,
57.0,57.0,55.0,56.0,,,,,,,,,,,,
56.0,61.0,54.0,59.0,,,,,,,,,,,,
59.0,59.0,55.0,58.0,,,,,,,,,,,,
58.0,61.0,56.0,61.0,,,,,,,,,,,,
61.0,64.0,59.0,64.0,,,,,,,,,,,,
64.0,69.0,62.0,67.0,,,,,,,,,,,,
67.0,72.0,65.0,70.0,,,,,,,,,,,,
70.0,71.0,68.0,69.0,,,,,,,,,,,,
69.0,70.0,67.0,68.0,,,,,,,,,,,,
68.0,70.0,67.0,67.0,,,,,,,,,,,,
67.0,67.0,65.0,66.0,,,,,,,,,,,,
66.0,68.0,65.0,65.0,,,,,,,,,,,,
65.0,67.0,63.0,64.0,,,,,,,,,,,,
64.0,68.0,63.0,67.0,,,,,,,,,,,,
67.0,71.0,65.0,70.0,,,,,,,,,,,,
70.0,70.0,68.0,69.0,,,,,,,,,,,,
69.0,72.0,66.0,72.0,,,,,,,,,,,,
72.0,72.0,70.0,71.0,,,,,,,,,,,,
71.0,76.0,69.0,74.0,,,,,,,,,,,,
74.0,75.0,73.0,73.0,,,,,,,,,,,,
73.0,74.0,70.0,72.0,,,,,,,,,,,,
72.0,77.0,70.0,75.0,,,,,,,,,,,,
75.0,76.0,73.0,74.0,,,,,,,,,,,,
74.0,78.0,71.0,77.0,,,,,,,,,,,,
74.0,76.23100922702,72.85621315742881,-4880.128436425472,-4.267161410018561,-8.256029684601119,-10.018552875695729,-14.37847866419295,-19.33209647495362,-23.469387755102034,0.375,0.4,0.45454545454545453,0.4827586206896552,0.4444444444444444,0.46511627906976744
-4880.128436425472,-4879.41107662347,-4880.3000470583465,-1054326.1233648674,-87.01694463811504,-94.20810261747371,-96.5983248559365,-97.74147598438591,-98.38814052756948,-98.80802881656524,0.375,0.4,0.4090909090909091,0.4482758620689655,0.4444444444444444,0.46511627906976744
-1054326.1233648674,-1054324.4951597413,-1054327.8823556842,-2061262.2518566432,-85.65318875472752,-92.82989370890026,-95.22206094554367,-96.41793115741076,-97.13527171967439,-97.61343778791071,0.375,0.4666666666666667,0.4090909090909091,0.4482758620689655,0.4722222222222222,0.46511627906976744
-2061262.2518566432,-2061262.0349869276,-2061262.5530734991,-2982877.438240374,-78.37545208145085,-89.18944482111819,-92.79404669257907,-94.59626619415785,-95.67749948106649,-96.39828124403668,0.5,0.5333333333333333,0.4090909090909091,0.4827586206896552,0.5,0.46511627906976744
-2982877.438240374,-2982875.7924636602,-2982877.576616997,-3823751.5191414086,-70.77069723895961,-85.38654832396068,-90.25844281116753,-92.69435293816525,-94.15583100716377,-95.13011220412046,0.625,0.5333333333333333,0.4090909090909091,0.4827586206896552,0.5277777777777778,0.4883720930232558
-3823751.5191414086,-3823750.801040423,-3823753.600250379,-4589533.245456652,-62.91246432669897,-81.4571773831673,-87.63869983338284,-90.72944331226873,-92.5838333588996,-93.82006163358982,0.625,0.5333333333333333,0.45454545454545453,0.5172413793103449,0.5277777777777778,0.5116279069767442
-4589533.245456652,-4589530.588197869,-4589533.86539505,-5286070.167186856,-54.81472132933642,-77.40815595251227,-84.93925621193057,-88.70479778179013,-90.96407603361718,-92.47023300200323,0.75,0.6,0.5,0.5172413793103449,0.5277777777777778,0.5116279069767442
-5286070.167186856,-5286069.352825417,-5286072.5469637485,-5919186.231069963,-46.48279008421584,-73.2420922924601,-82.16182095907752,-86.62168056297492,-89.29755578750218,-91.08144422738587,0.75,0.6,0.5454545454545454,0.5517241379310345,0.5555555555555556,0.5116279069767442
-5919186.231069963,-5919186.200799201,-5919186.323201239,-6494550.497040691,-37.93305369934728,-68.96117484897711,-79.30783444381242,-84.48116001767654,-87.5851210908748,-89.6544015227129,0.875,0.6666666666666666,0.5909090909090909,0.5517241379310345,0.5555555555555556,0.5348837209302325
