Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
10.0,15.0,9.0,13.0,,,,,,,,,,,,
13.0,15.0,12.0,12.0,,,,,,,,,,,,
12.0,16.0,9.0,15.0,,,,,,,,,,,,
15.0,18.0,14.0,18.0,,,,,,,,,,,,
18.0,21.0,17.0,21.0,,,,,,,,,,,,
21.0,26.0,20.0,24.0,,,,,,,,,,,,
24.0,29.0,23.0,27.0,,,,,,,,,,,,
27.0,28.0,26.0,26.0,,,,,,,,,,,,
26.0,29.0,23.0,29.0,,,,,,,,,,,,
29.0,32.0,26.0,32.0,,,,,,,,,,,,
32.0,33.0,30.0,31.0,,,,,,,,,,,,
31.0,31.0,27.0,30.0,,,,,,,,,,,,
30.0,33.0,27.0,33.0,,,,,,,,,,,,
33.0,34.0,30.0,32.0,,,,,,,,,,,,
32.0,34.0,31.0,31.0,,,,,,,,,,,,
31.0,32.0,30.0,30.0,,,,,,,,,,,,
30.0,35.0,28.0,33.0,,,,,,,,,,,,
33.0,33.0,30.0,32.0,,,,,,,,,,,,
32.0,33.0,31.0,31.0,,,,,,,,,,,,
31.0,33.0,30.0,30.0,,,,,,,,,,,,
30.0,31.0,29.0,29.0,,,,,,,,,,,,
29.0,30.0,27.0,28.0,,,,,,,,,,,,
28.0,32.0,25.0,31.0,,,,,,,,,,,,
31.0,35.0,30.0,34.0,,,,,,,,,,,,
34.0,34.0,32.0,33.0,,,,,,,,,,,,
33.0,33.0,29.0,32.0,,,,,,,,,,,,
32.0,33.0,30.0,31.0,,,,,,,,,,,,
31.0,34.0,29.0,34.0,,,,,,,,,,,,
34.0,35.0,33.0,33.0,,,,,,,,,,,,
33.0,34.0,30.0,32.0,,,,,,,,,,,,
32.0,35.0,29.0,35.0,,,,,,,,,,,,
35.0,36.0,33.0,34.0,,,,,,,,,,,,
34.0,34.0,30.0,33.0,,,,,,,,,,,,
33.0,34.0,30.0,32.0,,,,,,,,,,,,
32.0,36.0,29.0,35.0,,,,,,,,,,,,
35.0,35.0,32.0,34.0,,,,,,,,,,,,
34.0,37.0,32.0,37.0,,,,,,,,,,,,
37.0,37.0,35.0,36.0,,,,,,,,,,,,
36.0,39.0,33.0,39.0,,,,,,,,,,,,
39.0,43.0,38.0,42.0,,,,,,,,,,,,
42.0,42.0,38.0,41.0,,,,,,,,,,,,
41.0,46.0,40.0,44.0,,,,,,,,,,,,
44.0,49.0,43.0,47.0,,,,,,,,,,,,
47.0,48.0,46.0,46.0,,,,,,,,,,,,
46.0,47.0,44.0,45.0,,,,,,,,,,,,
46.0,48.08363049484763,44.3108465704722,-9845.273891671317,-3.4920634920634908,-13.492063492063489,-17.989417989417987,-21.42857142857143,-23.17460317460318,-26.61375661375661,0.5,0.4,0.36363636363636365,0.3448275862068966,0.3333333333333333,0.4186046511627907
-9845.273891671317,-9845.175966177581,-9845.369456994353,-1028791.2657892238,-86.09880668621285,-93.22787911498203,-95.59698147856056,-96.77609132584142,-97.48500825674552,-97.95012259424777,0.375,0.4,0.36363636363636365,0.3448275862068966,0.3333333333333333,0.3953488372093023
-1028791.2657892238,-1028789.9497657659,-1028791.3006249847,-2034782.9785862952,-85.58067157877898,-92.79210624432238,-95.19581134077552,-96.39761181679818,-97.11870598833282,-97.59938220665859,0.375,0.4666666666666667,0.4090909090909091,0.3793103448275862,0.3611111111111111,0.3953488372093023
-2034782.9785862952,-2034780.5422468085,-2034785.4787168764,-2956908.062999314,-78.42355003942217,-89.21270175946935,-92.80901311834239,-94.60714246994488,-95.68602148505751,-96.40526129041373,0.5,0.5333333333333333,0.45454545454545453,0.41379310344827586,0.3611111111111111,0.3953488372093023
-2956908.062999314,-2956906.8786159316,-2956909.5856179753,-3798728.6602741173,-70.86633618250433,-85.43382756390348,-90.2895952174507,-92.71746575814524,-94.1741813187399,-95.14532261015228,0.5,0.5333333333333333,0.45454545454545453,0.4482758620689655,0.3888888888888889,0.3953488372093023
-3798728.6602741173,-3798728.33126279,-3798731.3483262854,-4565621.026486318,-63.036636274322966,-81.51885591106574,-87.67953185881656,-90.75986325154278,-92.6080508052085,-93.8401789748662,0.5,0.6,0.5,0.4827586206896552,0.4166666666666667,0.4186046511627907
-4565621.026486318,-4565618.667319997,-4565622.9281116715,-5263317.531047807,-54.959554760239456,-77.4802389039398,-84.98707625396398,-88.74048632429466,-90.99252297956794,-92.49388335722932,0.625,0.6,0.5454545454545454,0.4827586206896552,0.4444444444444444,0.4186046511627907
-5263317.531047807,-5263314.648506072,-5263320.522368019,-5897582.97648252,-46.64420387463634,-73.32251449623345,-82.2152277051613,-86.6615768455659,-89.3293781871985,-91.10791467678972,0.75,0.6666666666666666,0.5454545454545454,0.4827586206896552,0.4444444444444444,0.4186046511627907
-5897582.97648252,-5897581.2675850475,-5897583.630204188,-6474064.828929003,-38.120576311799596,-69.04868500795418,-79.36598863388946,-84.52463136323271,-87.61980973393916,-89.68326399965999,0.875,0.6666666666666666,0.5909090909090909,0.5172413793103449,0.4722222222222222,0.4418604651162791
-6474064.828929003,-6474062.454410158,-6474066.422396361,-6999342.481306029,-31.615040972351782,-64.66183539263068,-76.44141115664951,-82.33118635067088,-85.86504484726385,-88.22095235049801,0.875,0.6666666666666666,0.6363636363636364,0.5517241379310345,0.5,0.46511627906976744
-6999342.481306029,-6999341.06480784,-6999343.813376936,-7477937.994158706,-26.614401559746735,-60.170949536605825,-73.44747929977815,-80.085728363552,-84.06867167879219,-86.72396756245364,0.875,0.7333333333333333,0.6818181818181818,0.5862068965517241,0.5277777777777778,0.46511627906976744
-7477937.994158706,-7477935.563233409,-7477939.307783231,-7913353.070028985,-22.674261406778427,-55.57714944157909,-70.38494013910115,-77.7888168616427,-82.23113869232836,-85.19268435067373,0.875,0.7333333333333333,0.6818181818181818,0.5862068965517241,0.5555555555555556,0.4883720930232558
-7913353.070028985,-7913351.66225767,-7913354.494442471,-8308601.998653155,-19.500947117340473,-50.87852080221678,-67.25251930358802,-75.4394955371208,-80.35167874986682,-83.62646304519694,0.875,0.7333333333333333,0.7272727272727273,0.6206896551724138,0.5833333333333334,0.5116279069767442
-8308601.998653155,-8308600.659954014,-8308602.945882671,-8666450.958997807,-16.894733419582497,-46.072384500853424,-64.04842540709954,-73.03642221863147,-78.42921652289604,-82.02440842726797,0.875,0.8,0.7272727272727273,0.6551724137931034,0.5833333333333334,0.5348837209302325
-8666450.958997807,-8666450.00876627,-8666452.773246279,-8989528.272163833,-14.716557062017033,-41.15623120746867,-60.770987842103594,-70.57834019723643,-76.46274798385222,-80.38568238728107,0.875,0.8666666666666667,0.7727272727272727,0.6551724137931034,0.5833333333333334,0.5348837209302325
-8989528.272163833,-8989528.093139896,-8989530.259323306,-9280379.145199247,-12.868017185829517,-36.136000472281914,-57.41892548217331,-68.06429184439214,-74.45150689427163,-78.70964628798146,0.875,0.9333333333333333,0.7727272727272727,0.6896551724137931,0.6111111111111112,0.5581395348837209
-9280379.145199247,-9280377.245517835,-9280379.316304786,-9541930.007227957,-11.278880468827257,-31.786500007414787,-53.99150743730128,-65.49372871128188,-72.39505439467875,-76.99593433524505,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.6388888888888888,0.5813953488372093
-9541930.007227957,-9541928.36009025,-9541930.492040299,-9776646.539911699,-9.904148770075027,-28.036610936351437,-50.49070662849664,-62.86812878336777,-70.29457279395149,-75.24553172479537,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.6666666666666666,0.6046511627906976
-9776646.539911699,-9776643.602624813,-9776646.67515008,-9986669.593869938,-8.708267579817264,-24.781770904942448,-46.91739348689167,-60.188144842615785,-68.15058425862775,-73.45887452375435,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.6666666666666666,0.627906976744186
-9986669.593869938,-9986668.061837772,-9986672.280182209,-10173932.308136562,-7.662329397800249,-21.9377781561814,-43.271811560906684,-57.45396094987949,-65.96323599238436,-71.63608435182958,0.875,0.9333333333333333,0.8181818181818182,0.7931034482758621,0.6944444444444444,0.6511627906976745
-10173932.308136562,-10173930.730998324,-10173932.508468203,-10340231.129841182,-6.742707294923189,-19.437149885537373,-39.55403164406489,-54.66562728901862,-63.732569230354684,-69.77719461697268,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.7222222222222222,0.6511627906976745
-10340231.129841182,-10340229.13946414,-10340232.201053591,-10487267.450156322,-5.930098050503463,-17.225771703707515,-35.76424045510177,-51.82328534036088,-61.45869486378168,-67.88229867985743,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.7222222222222222,0.6511627906976745
-10487267.450156322,-10487264.570283761,-10487269.805834617,-10616673.280842487,-5.208787015744987,-15.260279483870775,-31.90742102813957,-48.927303218293716,-59.141909594680584,-65.95164377344838,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.75,0.6744186046511628
-10616673.280842487,-10616672.585912555,-10616675.823541362,-10730233.248656962,-4.566082810293848,-13.506034443768211,-28.436936131036063,-45.97838177104546,-56.78277404204592,-63.98569706460891,0.875,0.9333333333333333,0.9545454545454546,0.8275862068965517,0.7777777777777778,0.6976744186046512
-10730233.248656962,-10730231.289650451,-10730234.470716422,-10829515.954050982,-3.9940273959216843,-11.937851587707149,-25.335399934471436,-42.978659951617125,-54.382998256663505,-61.98588358137731,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8055555555555556,0.7209302325581395
-10829515.954050982,-10829515.061683182,-10829518.593378393,-10915916.190796334,-3.485301155541254,-10.534576104485517,-22.558202353254597,-39.92997642127426,-51.94405316239924,-59.953429082032585,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8055555555555556,0.7209302325581395
-10915916.190796334,-10915914.102342412,-10915917.720174594,-10990700.1505281,-3.03311203382034,-9.277966454026497,-20.06639323097201,-36.8339908919729,-49.4672675715053,-57.88944090053426,0.875,0.9333333333333333,0.9545454545454546,0.8620689655172413,0.8333333333333334,0.7441860465116279
-10990700.1505281,-10990699.507596418,-10990702.806418618,-11055035.720282162,-2.631268281493482,-8.15217001985814,-17.826511975965985,-33.69234749629674,-46.953954685249364,-55.79501422971591,0.875,0.9333333333333333,0.9545454545454546,0.896551724137931,0.8333333333333334,0.7674418604651163
-11055035.720282162,-11055033.89961926,-11055036.315962194,-11110011.671179144,-2.2742163987415798,-7.143377508174775,-15.809971024106284,-30.506786505627602,-44.405507772446185,-53.67130838184806,0.875,0.9333333333333333,0.9545454545454546,0.9310344827586207,0.8611111111111112,0.7674418604651163
-11110011.671179144,-11110011.498070056,-11110013.93582749,-11156650.533025509,-1.9570449827006176,-6.23955947705197,-13.992451590193067,-27.282397820323744,-41.82345451347194,-51.51959814739557,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.7906976744186046
-11156650.533025509,-11156648.760374349,-11156652.696525598,-11196025.499696407,-1.6754775981068337,-5.430261182232954,-12.35336350186379,-24.344288424898508,-39.209500045139286,-49.341304457431,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8611111111111112,0.813953488372093
-11196025.499696407,-11196023.021406151,-11196026.680239206,-11229070.146288205,-1.4269384872930835,-4.707568340068525,-10.876667913862882,-21.688008107499023,-36.56613901323769,-47.13850532007008,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.8372093023255814
-11229070.146288205,-11229068.848124066,-11229070.620983025,-11256599.787247002,-1.2087009111736213,-4.064100135662152,-9.548197715391392,-19.287484861621106,-33.89565665217054,-44.91310509561184,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.8372093023255814
-11256599.787247002,-11256599.162420558,-11256600.928106667,-11279335.988838678,-1.0179488574861506,-3.4928930930476,-8.355109475975874,-17.118688961999553,-31.200169586906334,-42.66686848270071,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.8888888888888888,0.8604651162790697
-11279335.988838678,-11279335.256905785,-11279336.282539815,-11297924.238031622,-0.8519024473214176,-2.9874080587850127,-7.285658611106527,-15.159961315009319,-28.481697604247714,-40.401476941687044,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9166666666666666,0.8604651162790697
-11297924.238031622,-11297922.484682776,-11297925.433197616,-11312946.118244687,-0.7079072859750735,-2.5415411261948795,-6.329073345613301,-13.391925115686998,-25.742211002126048,-38.11857323414712,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9444444444444444,0.8837209302325582
-11312946.118244687,-11312944.015711991,-11312947.664888183,-11324928.427457303,-0.5834914537116043,-2.149627699686374,-5.475468903007141,-11.79733018575434,-22.98615772441157,-35.81978181404723,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
-11324928.427457303,-11324925.503269227,-11324928.457053196,-11334410.431819284,-0.4764063995338019,-1.806447436748182,-4.715788445999292,-10.360884799543047,-20.470050778716463,-33.506726305429424,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.8837209302325582
-11334410.431819284,-11334410.393034786,-11334412.300160695,-11341839.43037236,-0.38524643498770716,-1.5078452611045234,-4.0424286973110295,-9.069910986283702,-18.192361878886675,-31.18139145270744,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
-11341839.43037236,-11341838.607064832,-11341842.107080843,-11347585.541691953,-0.30845537143244783,-1.2497076507791194,-3.4481308445333037,-7.9127681288721945,-16.13368364754405,-28.84550659228873,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
-11347585.541691953,-11347583.31859974,-11347587.796452848,-11351958.132370424,-0.24439259998719765,-1.02799332005451,-2.925926863569095,-6.878541734044729,-14.275468324897812,-26.500575066499444,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9069767441860465
-11351958.132370424,-11351957.390553033,-11351958.207503736,-11355218.128699943,-0.19142651719714632,-0.8388056876535321,-2.469161472586645,-5.956943283220784,-12.600453664131884,-24.147923827322025,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9302325581395349
-11355218.128699943,-11355217.077329006,-11355220.157542164,-11357587.124094356,-0.1480007931285332,-0.6784481401366338,-2.071518627126001,-5.138274740994908,-11.092732025964658,-21.788738562091304,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9534883720930233
-11357587.124094356,-11357584.609190563,-11357587.214803327,-11359254.402391512,-0.11267817359958965,-0.5434631493477449,-1.727045172015873,-4.413417783050056,-9.737744318292862,-19.42616360973981,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
-11359254.402391512,-11359254.27598732,-11359255.284211038,-11360418.345071493,-0.08417004312067933,-0.43066095963708584,-1.4301724993418197,-3.773834866902581,-8.522242692345493,-17.27267704044949,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
-11360418.345071493,-11360416.374245118,-11360420.305835588,-11361225.721441083,-0.06170209244815705,-0.33750051656640245,-1.1761191982533337,-3.212007012312723,-7.434805459633386,-15.326656815118234,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
-11361225.721441083,-11361223.240397448,-11361225.742866244,-11361782.047319883,-0.0444276187309689,-0.26149610752606023,-0.9602830492937975,-2.720768904643245,-6.464806877462892,-13.571395774481498,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
-11361782.047319883,-11361780.989466334,-11361783.046531713,-11362162.67569184,-0.03147196168727939,-0.20025441639548447,-0.7782629771635352,-2.293283415903724,-5.602211720162698,-11.990729341596197,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
-11362162.67569184,-11362161.083603106,-11362163.38086032,-11362421.094787113,-0.021990638869906487,-0.15152843060142196,-0.6259061936328747,-1.9230642898686146,-4.837522034864284,-10.569455623076152,0.875,0.9333333333333333,0.9545454545454546,0.9655172413793104,0.9722222222222222,0.9767441860465116
