Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
58.0,58.0,55.0,57.0,,,,,,,,,,,,
57.0,61.0,54.0,60.0,,,,,,,,,,,,
60.0,62.0,57.0,59.0,,,,,,,,,,,,
59.0,64.0,58.0,62.0,,,,,,,,,,,,
62.0,62.0,60.0,61.0,,,,,,,,,,,,
61.0,66.0,60.0,64.0,,,,,,,,,,,,
64.0,64.0,61.0,63.0,,,,,,,,,,,,
63.0,66.0,61.0,66.0,,,,,,,,,,,,
66.0,70.0,65.0,69.0,,,,,,,,,,,,
69.0,73.0,66.0,72.0,,,,,,,,,,,,
72.0,72.0,68.0,71.0,,,,,,,,,,,,
71.0,72.0,70.0,70.0,,,,,,,,,,,,
70.0,74.0,68.0,73.0,,,,,,,,,,,,
73.0,73.0,70.0,72.0,,,,,,,,,,,,
72.0,74.0,70.0,71.0,,,,,,,,,,,,
71.0,73.0,70.0,70.0,,,,,,,,,,,,
70.0,72.0,69.0,69.0,,,,,,,,,,,,
69.0,72.0,67.0,72.0,,,,,,,,,,,,
72.0,72.0,68.0,71.0,,,,,,,,,,,,
71.0,75.0,69.0,74.0,,,,,,,,,,,,
74.0,76.0,73.0,73.0,,,,,,,,,,,,
73.0,77.0,72.0,76.0,,,,,,,,,,,,
76.0,81.0,73.0,79.0,,,,,,,,,,,,
79.0,84.0,76.0,82.0,,,,,,,,,,,,
82.0,85.0,80.0,85.0,,,,,,,,,,,,
85.0,86.0,84.0,84.0,,,,,,,,,,,,
84.0,87.0,81.0,87.0,,,,,,,,,,,,
87.0,88.0,86.0,86.0,,,,,,,,,,,,
86.0,90.0,84.0,89.0,,,,,,,,,,,,
89.0,93.0,86.0,92.0,,,,,,,,,,,,
92.0,92.0,88.0,91.0,,,,,,,,,,,,
91.0,96.0,88.0,94.0,,,,,,,,,,,,
94.0,94.0,91.0,93.0,,,,,,,,,,,,
93.0,96.0,92.0,96.0,,,,,,,,,,,,
96.0,98.0,95.0,95.0,,,,,,,,,,,,
95.0,100.0,94.0,98.0,,,,,,,,,,,,
98.0,99.0,96.0,97.0,,,,,,,,,,,,
97.0,100.0,94.0,100.0,,,,,,,,,,,,
100.0,105.0,98.0,103.0,,,,,,,,,,,,
103.0,106.0,102.0,106.0,,,,,,,,,,,,
106.0,107.0,104.0,105.0,,,,,,,,,,,,
105.0,108.0,104.0,108.0,,,,,,,,,,,,
108.0,109.0,107.0,107.0,,,,,,,,,,,,
107.0,107.0,105.0,106.0,,,,,,,,,,,,
106.0,109.0,103.0,109.0,,,,,,,,,,,,
106.0,107.01184182047959,103.513617028349,-5224.012378541267,-2.490170380078627,-7.142857142857151,-11.271297509829626,-16.186107470511136,-19.9475753604194,-23.307121013543032,0.5,0.5333333333333333,0.5454545454545454,0.5862068965517241,0.5,0.5348837209302325
-5224.012378541267,-5223.498244968772,-5226.115681201299,-1068231.6790207345,-87.46718026996436,-94.66609722310452,-97.01195525127811,-98.12814079885892,-98.77433435333745,-99.19100116104858,0.375,0.4666666666666667,0.5,0.5517241379310345,0.5,0.5116279069767442
-1068231.6790207345,-1068230.1132762595,-1068232.0546484077,-2075192.7560331263,-85.65157844540614,-92.8304364221934,-95.22310824316766,-96.41918003224492,-97.13667600009589,-97.61495538125877,0.375,0.5333333333333333,0.5454545454545454,0.5862068965517241,0.5277777777777778,0.5348837209302325
-2075192.7560331263,-2075192.0343321734,-2075193.898118009,-2996295.8897639425,-78.32753168674014,-89.16618902618715,-92.77893024111886,-94.58517177279545,-95.66882444563734,-96.39124235076004,0.5,0.5333333333333333,0.5454545454545454,0.5862068965517241,0.5277777777777778,0.5348837209302325
-2996295.8897639425,-2996295.134265624,-2996296.0475025773,-3836510.8156724875,-70.7037214172728,-85.3535699619144,-90.23674632944986,-92.67824988491721,-94.14307668709081,-95.11962232611639,0.5,0.6,0.5909090909090909,0.6206896551724138,0.5555555555555556,0.5581395348837209
-3836510.8156724875,-3836509.863298256,-3836513.002362303,-4601591.784571506,-62.83363923842102,-81.41817129382707,-87.61293215141485,-90.71025020954806,-92.5685762534133,-93.80745593843167,0.625,0.6,0.5909090909090909,0.6206896551724138,0.5833333333333334,0.5581395348837209
-4601591.784571506,-4601589.7588626295,-4601592.999782809,-5297430.940455351,-54.727039126097665,-77.36466047259619,-84.91046078122233,-88.68331514392773,-90.94697125936386,-92.45606757503185,0.75,0.6666666666666666,0.5909090909090909,0.6206896551724138,0.6111111111111112,0.5581395348837209
-5297430.940455351,-5297430.013227408,-5297431.46048544,-5929874.698080813,-46.38781892215306,-73.19491264276479,-82.13054672714445,-86.59832399264099,-89.27894342892446,-91.06600912003444,0.75,0.6666666666666666,0.6363636363636364,0.6206896551724138,0.6388888888888888,0.5581395348837209
-5929874.698080813,-5929874.354721833,-5929877.565545133,-6504604.455164398,-37.83263348127812,-68.91079625253928,-79.2744118391305,-84.45618409806889,-87.56520746222313,-89.63787243971173,0.875,0.6666666666666666,0.6363636363636364,0.6206896551724138,0.6388888888888888,0.5813953488372093
-6504604.455164398,-6504601.815630108,-6504605.323193343,-7028254.445551107,-31.38596434684684,-64.51478305661227,-76.34369750149682,-82.25812013305789,-85.806739011301,-88.17246479787084,0.875,0.6666666666666666,0.6818181818181818,0.6551724137931034,0.6666666666666666,0.6046511627906976
-7028254.445551107,-7028252.9210072225,-7028256.185928282,-7505313.256069143,-26.43049705470141,-60.01569523873128,-73.3442738121022,-80.00853108514876,-84.00705495979676,-86.67271484539484,0.875,0.7333333333333333,0.6818181818181818,0.6551724137931034,0.6666666666666666,0.6046511627906976
-7505313.256069143,-7505312.450345486,-7505315.369670221,-7939269.293989671,-22.52425713657872,-55.41425013151513,-70.27662167016076,-77.7077755573081,-82.16644086112535,-85.13885933539292,0.875,0.7333333333333333,0.7272727272727273,0.6896551724137931,0.6944444444444444,0.627906976744186
-7939269.293989671,-7939268.182389401,-7939272.225729323,-8333133.080397854,-19.37664139623727,-50.708328978419146,-67.13932143410672,-75.35478752243698,-80.2840430638243,-83.57018733382704,0.875,0.8,0.7272727272727273,0.6896551724137931,0.6944444444444444,0.6511627906976745
-8333133.080397854,-8333131.273367812,-8333134.963642144,-8689670.981638767,-16.79020586269274,-45.895141463634516,-63.93051431918266,-72.94817031765407,-78.3587436876794,-81.9657666004048,0.875,0.8666666666666667,0.7727272727272727,0.6896551724137931,0.6944444444444444,0.6744186046511628
-8689670.981638767,-8689668.64245867,-8689673.547370575,-9011513.056793433,-14.627508714295324,-40.97212143300207,-60.64848866434354,-70.48664309922835,-76.38951636110156,-80.32474136452525,0.875,0.8666666666666667,0.7727272727272727,0.7241379310344828,0.6944444444444444,0.6976744186046512
-9011513.056793433,-9011510.730743036,-9011515.372447189,-9301203.336158434,-12.79130814912197,-35.941558772120175,-57.29195073847772,-67.96923334301732,-74.37558419951189,-78.64646284088931,0.875,0.9333333333333333,0.7727272727272727,0.7241379310344828,0.6944444444444444,0.6976744186046512
-9301203.336158434,-9301201.09432347,-9301205.25585268,-9561684.107000219,-11.212168144388091,-31.61417969884863,-53.86015365325445,-65.39538210249265,-72.31649981970088,-76.9305580751619,0.875,0.9333333333333333,0.7727272727272727,0.7586206896551724,0.7222222222222222,0.7209302325581395
-9561684.107000219,-9561683.806029897,-9561685.549227713,-9795409.526808407,-9.845847182819123,-27.884528453793024,-50.35514491598653,-62.76662164126512,-70.21348885129667,-75.17804831558792,0.875,0.9333333333333333,0.8181818181818182,0.7586206896551724,0.7222222222222222,0.7209302325581395
-9795409.526808407,-9795408.267210742,-9795411.32350164,-10004512.682536118,-8.657092004789547,-24.6473101977443,-46.77774910986954,-60.08357325223138,-68.0670481949667,-73.38934756561602,0.875,0.9333333333333333,0.8181818181818182,0.7931034482758621,0.75,0.7441860465116279
-10004512.682536118,-10004512.561713839,-10004513.95928832,-10190921.946267435,-7.6172225984314945,-21.818519644950886,-43.128185492943736,-57.34639828846746,-65.87730683155921,-71.564563248435,0.875,0.9333333333333333,0.8636363636363636,0.7931034482758621,0.75,0.7441860465116279
-10190921.946267435,-10190919.346992956,-10190924.617176747,-10356430.723689195,-6.702797439133057,-19.33100822915279,-39.406513240257866,-54.55514251238408,-63.644300169988476,-69.70372482394764,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.75,0.7441860465116279
-10356430.723689195,-10356428.474988235,-10356433.63858981,-10502738.485950511,-5.894666940466175,-17.130994813195766,-35.61291842347435,-51.70994538697102,-61.368141977515336,-67.80692614039386,0.875,0.9333333333333333,0.9090909090909091,0.8275862068965517,0.7777777777777778,0.7441860465116279
