Open,High,Low,Close
78,82,76,81
81,84,80,84
84,86,81,83
83,88,81,86
86,88,83,85
85,85,82,84
84,85,81,83
83,85,80,82
82,82,78,81
81,83,78,80
80,85,79,83
83,85,81,82
82,82,78,81
81,82,79,80
80,84,77,83
83,85,82,82
82,87,80,85
85,88,82,88
88,88,84,87
87,90,85,90
90,95,88,93
93,96,92,96
96,101,94,99
99,101,96,98
98,100,96,97
97,101,94,100
100,103,97,103
103,107,100,106
106,110,104,109
109,113,108,112
112,112,110,111
111,114,110,114
114,119,112,117
117,119,116,116
116,120,113,119
119,119,117,118
118,122,117,121
121,121,119,120
120,122,118,119
119,121,117,118
118,121,115,121
121,122,120,120
120,124,118,123
123,125,120,122
122,127,120,125
