Open,High,Low,Close
43,43,41,42
42,45,41,45
45,49,44,48
48,50,45,47
47,50,46,50
50,55,49,53
53,57,50,56
56,60,54,59
59,60,57,58
58,59,55,57
57,59,56,56
56,56,54,55
55,55,52,54
54,57,51,57
57,62,54,60
60,62,57,59
59,62,56,62
62,64,59,61
61,63,59,60
60,64,57,63
63,67,61,66
66,69,65,69
69,72,67,72
72,75,69,75
75,78,74,78
78,80,77,77
77,80,74,80
80,85,78,83
83,85,81,82
82,86,79,85
85,87,83,84
84,86,82,83
83,85,82,82
82,85,81,85
85,89,82,88
88,92,87,91
91,96,90,94
94,98,93,97
97,101,96,100
100,104,99,103
103,105,102,102
102,106,101,105
105,106,104,104
104,105,102,103
103,108,102,106
