Open,High,Low,Close
44,49,41,47
47,52,44,50
50,51,47,49
49,49,47,48
48,50,46,47
47,49,44,46
46,50,44,49
49,50,47,48
48,51,47,51
51,54,48,54
54,54,52,53
53,55,52,52
52,53,51,51
51,53,48,50
50,50,47,49
49,52,47,52
52,55,49,55
55,56,54,54
54,56,52,53
53,57,51,56
56,61,55,59
59,63,57,62
62,62,60,61
61,62,58,60
60,61,58,59
59,59,57,58
58,58,55,57
57,62,56,60
60,64,57,63
63,65,60,62
62,65,60,65
65,67,64,64
64,67,63,67
67,70,66,70
70,74,67,73
73,77,72,76
76,78,75,75
75,78,73,78
78,83,75,81
81,81,79,80
80,85,79,83
83,88,82,86
86,87,84,85
85,87,82,84
84,86,81,83
