Open,High,Low,Close
24,26,23,23
23,26,20,26
26,26,22,25
25,30,23,28
28,29,26,27
27,29,24,26
26,29,23,29
29,29,26,28
28,31,25,31
31,36,28,34
34,35,31,33
33,35,31,32
32,35,31,35
35,35,31,34
34,37,31,37
37,39,36,36
36,38,33,35
35,40,33,38
38,41,37,41
41,42,38,40
40,41,38,39
39,44,38,42
42,44,40,41
41,41,38,40
40,43,39,43
43,46,40,46
46,50,44,49
49,53,47,52
52,53,50,51
51,52,50,50
50,50,47,49
49,51,46,48
48,53,47,51
51,52,50,50
50,53,47,53
53,55,51,52
52,54,50,51
51,52,49,50
50,50,48,49
49,50,46,48
48,53,46,51
51,51,48,50
50,53,49,53
53,58,51,56
56,60,55,59
