Open,High,Low,Close
44,49,43,47
47,51,45,50
50,53,48,53
53,54,52,52
52,55,49,55
55,56,53,54
54,57,52,57
57,60,55,60
60,63,57,63
63,63,59,62
62,63,59,61
61,61,58,60
60,65,59,63
63,68,61,66
66,70,65,69
69,72,68,72
72,75,70,75
75,79,72,78
78,78,74,77
77,80,74,80
80,80,76,79
79,82,78,82
82,84,79,81
81,83,80,80
80,81,77,79
79,84,78,82
82,85,79,85
85,86,84,84
84,84,81,83
83,84,80,82
82,84,80,81
81,86,80,84
84,89,82,87
87,92,84,90
90,91,87,89
89,91,88,88
88,91,85,91
91,94,89,94
94,95,92,93
93,97,90,96
96,98,94,95
95,96,93,94
94,97,92,97
97,99,96,96
96,101,94,99
