Open,High,Low,Close
11,12,8,10
10,13,7,13
13,18,10,16
16,19,14,19
19,21,18,18
18,23,16,21
21,24,18,24
24,26,21,23
23,26,20,26
26,28,23,25
25,26,24,24
24,29,23,27
27,27,23,26
26,26,22,25
25,26,24,24
24,26,21,23
23,24,22,22
22,25,20,25
25,29,24,28
28,28,25,27
27,29,25,26
26,31,23,29
29,29,27,28
28,31,26,31
31,34,28,34
34,37,32,37
37,38,36,36
36,41,35,39
39,43,38,42
42,43,40,41
41,45,39,44
44,46,41,43
43,43,39,42
42,42,40,41
41,43,39,40
40,43,37,43
43,48,40,46
46,47,44,45
45,45,43,44
44,48,42,47
47,52,46,50
50,51,47,49
49,54,47,52
52,56,49,55
55,58,54,58
