Open,High,Low,Close
80,80,76,79
79,79,76,78
78,80,75,77
77,79,75,76
76,78,75,75
75,78,74,78
78,83,76,81
81,86,79,84
84,86,82,83
83,85,81,82
82,82,78,81
81,86,79,84
84,85,81,83
83,86,80,86
86,91,83,89
89,90,86,88
88,89,87,87
87,88,86,86
86,88,83,85
85,88,83,88
88,92,86,91
91,92,89,90
90,90,87,89
89,94,88,92
92,93,91,91
91,95,90,94
94,98,93,97
97,102,96,100
100,104,99,103
103,103,99,102
102,106,99,105
105,109,103,108
108,113,106,111
111,113,108,110
110,113,108,113
113,115,111,112
112,115,111,115
115,120,112,118
118,123,115,121
121,125,118,124
124,129,123,127
127,132,125,130
130,132,128,129
129,134,128,132
132,136,129,135
