Open,High,Low,Close
57,59,54,56
56,58,53,55
55,60,52,58
58,60,56,57
57,58,56,56
56,56,53,55
55,55,52,54
54,57,53,57
57,59,54,56
56,57,54,55
55,59,54,58
58,60,56,57
57,57,55,56
56,58,54,55
55,55,51,54
54,57,52,57
57,57,54,56
56,59,54,59
59,62,58,62
62,66,59,65
65,66,63,64
64,66,62,63
63,68,60,66
66,67,64,65
65,69,63,68
68,73,65,71
71,72,69,70
70,75,69,73
73,73,69,72
72,76,71,75
75,78,73,78
78,83,76,81
81,84,78,84
84,88,82,87
87,92,85,90
90,92,89,89
89,90,88,88
88,89,87,87
87,88,84,86
86,90,84,89
89,92,88,92
92,95,89,95
95,98,94,98
98,99,96,97
97,97,93,96
