Open,High,Low,Close
80,84,79,83
83,83,80,82
82,83,80,81
81,83,78,80
80,80,78,79
79,79,75,78
78,82,76,81
81,85,78,84
84,89,83,87
87,87,85,86
86,91,85,89
89,91,86,88
88,92,85,91
91,94,89,94
94,97,92,97
97,98,96,96
96,96,94,95
95,97,93,94
94,98,91,97
97,98,94,96
96,99,93,99
99,101,98,98
98,100,96,97
97,102,96,100
100,103,97,103
103,105,100,102
102,107,100,105
105,107,104,104
104,106,101,103
103,103,101,102
102,104,99,101
101,103,100,100
100,102,97,99
99,103,96,102
102,106,99,105
105,107,103,104
104,106,101,103
103,104,101,102
102,106,101,105
105,110,102,108
108,112,105,111
111,114,108,114
114,119,112,117
117,119,114,116
116,118,115,115
