Open,High,Low,Close
33,38,32,36
36,36,32,35
35,39,33,38
38,39,35,37
37,38,36,36
36,36,32,35
35,39,34,38
38,38,34,37
37,41,36,40
40,43,38,43
43,45,40,42
42,47,39,45
45,49,42,48
48,53,46,51
51,51,49,50
50,53,47,53
53,58,51,56
56,60,53,59
59,64,56,62
62,63,61,61
61,62,59,60
60,64,58,63
63,67,61,66
66,67,63,65
65,68,63,68
68,68,65,67
67,67,63,66
66,70,63,69
69,74,66,72
72,73,71,71
71,75,68,74
74,79,72,77
77,77,73,76
76,77,74,75
75,77,72,74
74,76,73,73
73,75,70,72
72,73,69,71
71,71,68,70
70,75,68,73
73,77,71,76
76,76,74,75
75,79,73,78
78,83,76,81
81,83,80,80
