Open,High,Low,Close
37,42,35,40
40,41,38,39
39,44,38,42
42,46,40,45
45,50,43,48
48,49,45,47
47,48,45,46
46,50,43,49
49,54,48,52
52,55,51,55
55,55,52,54
54,56,51,53
53,58,52,56
56,57,55,55
55,55,53,54
54,57,53,57
57,62,56,60
60,64,59,63
63,67,61,66
66,68,64,65
65,67,64,64
64,68,63,67
67,67,64,66
66,67,65,65
65,69,64,68
68,72,66,71
71,74,68,74
74,78,73,77
77,81,76,80
80,83,79,83
83,87,80,86
86,87,85,85
85,88,83,88
88,93,86,91
91,91,87,90
90,91,89,89
89,92,87,92
92,96,89,95
95,95,91,94
94,98,93,97
97,102,95,100
100,105,99,103
103,106,100,106
106,110,103,109
109,113,108,112
