Open,High,Low,Close
26,27,24,25
25,30,22,28
28,28,26,27
27,29,26,26
26,30,24,29
29,31,28,28
28,31,27,31
31,35,30,34
34,37,31,37
37,42,34,40
40,43,39,43
43,43,40,42
42,43,41,41
41,44,40,44
44,48,41,47
47,48,45,46
46,51,43,49
49,54,46,52
52,54,51,51
51,51,49,50
50,54,49,53
53,55,52,52
52,53,49,51
51,51,48,50
50,50,48,49
49,49,46,48
48,49,47,47
47,52,45,50
50,50,46,49
49,49,47,48
48,51,47,51
51,53,50,50
50,50,46,49
49,52,48,52
52,54,49,51
51,51,47,50
50,51,48,49
49,53,46,52
52,54,49,51
51,51,47,50
50,52,47,49
49,50,47,48
48,51,46,51
51,55,49,54
54,55,53,53
