Open,High,Low,Close
24,29,23,27
27,28,26,26
26,29,25,29
29,29,25,28
28,28,25,27
27,27,23,26
26,28,24,25
25,26,24,24
24,29,23,27
27,31,24,30
30,32,28,29
29,31,28,28
28,29,25,27
27,27,25,26
26,29,25,29
29,33,26,32
32,33,31,31
31,34,28,34
34,37,33,37
37,37,35,36
36,39,34,39
39,42,38,42
42,46,40,45
45,47,42,44
44,49,42,47
47,47,43,46
46,46,44,45
45,47,43,44
44,47,41,47
47,52,45,50
50,55,48,53
53,54,52,52
52,56,49,55
55,58,53,58
58,59,55,57
57,62,55,60
60,61,58,59
59,63,58,62
62,64,61,61
61,63,58,60
60,60,57,59
59,59,57,58
58,59,57,57
57,59,54,56
56,56,54,55
