Open,High,Low,Close
34,37,32,37
37,40,34,40
40,40,36,39
39,40,38,38
38,42,37,41
41,44,39,44
44,46,42,43
43,43,41,42
42,46,39,45
45,50,42,48
48,49,47,47
47,49,44,46
46,48,43,45
45,47,43,44
44,47,41,47
47,51,46,50
50,51,49,49
49,53,47,52
52,57,50,55
55,57,52,54
54,57,53,57
57,57,55,56
56,61,54,59
59,59,55,58
58,61,56,61
61,64,59,64
64,69,62,67
67,72,65,70
70,71,68,69
69,70,67,68
68,70,67,67
67,67,65,66
66,68,65,65
65,67,63,64
64,68,63,67
67,71,65,70
70,70,68,69
69,72,66,72
72,72,70,71
71,76,69,74
74,75,73,73
73,74,70,72
72,77,70,75
75,76,73,74
74,78,71,77
