Open,High,Low,Close
4,5,3,3
3,7,2,6
6,6,2,5
5,5,1,4
4,5,1,3
3,3,0,2
2,7,0,5
5,8,3,8
8,12,7,11
11,12,10,10
10,10,8,9
9,12,7,12
12,16,10,15
15,19,13,18
18,18,14,17
17,17,15,16
16,19,15,19
19,20,17,18
18,20,15,17
17,22,14,20
20,23,17,23
23,23,20,22
22,25,20,25
25,29,24,28
28,28,26,27
27,32,26,30
30,30,27,29
29,32,28,32
32,32,30,31
31,31,28,30
30,34,27,33
33,33,30,32
32,35,30,35
35,35,31,34
34,34,32,33
33,35,32,32
32,37,30,35
35,35,31,34
34,36,33,33
33,34,30,32
32,33,30,31
31,33,30,30
30,33,27,33
33,33,31,32
32,33,29,31
