Open,High,Low,Close
14,17,13,17
17,22,15,20
20,22,19,19
19,22,17,22
22,23,21,21
21,21,19,20
20,24,18,23
23,24,21,22
22,23,19,21
21,26,18,24
24,24,22,23
23,26,21,26
26,28,23,25
25,28,23,28
28,33,26,31
31,35,30,34
34,37,32,37
37,38,34,36
36,39,34,39
39,42,37,42
42,47,40,45
45,46,43,44
44,46,42,43
43,47,42,46
46,51,45,49
49,52,46,52
52,55,51,55
55,59,54,58
58,61,55,61
61,61,59,60
60,62,57,59
59,64,56,62
62,65,60,65
65,70,64,68
68,72,66,71
71,71,67,70
70,74,67,73
73,73,69,72
72,73,69,71
71,71,67,70
70,72,69,69
69,71,67,68
68,70,65,67
67,70,64,70
70,70,68,69
