Open,High,Low,Close
49,52,48,52
52,55,49,55
55,58,53,58
58,61,56,61
61,62,59,60
60,60,58,59
59,64,56,62
62,66,59,65
65,70,63,68
68,73,67,71
71,71,68,70
70,74,68,73
73,77,72,76
76,80,73,79
79,81,76,78
78,80,75,77
77,81,76,80
80,81,77,79
79,82,77,82
82,84,79,81
81,83,80,80
80,85,79,83
83,84,82,82
82,86,81,85
85,89,84,88
88,92,86,91
91,95,90,94
94,97,91,97
97,97,93,96
96,97,95,95
95,97,93,94
94,98,92,97
97,98,95,96
96,97,93,95
95,96,94,94
94,99,93,97
97,101,96,100
100,104,98,103
103,107,102,106
106,106,103,105
105,107,103,104
104,104,102,103
103,105,100,102
102,102,100,101
101,105,99,104
