Open,High,Low,Close
31,35,29,34
34,38,31,37
37,38,34,36
36,38,35,35
35,37,33,34
34,37,31,37
37,41,34,40
40,42,39,39
39,42,37,42
42,47,39,45
45,45,42,44
44,49,42,47
47,48,45,46
46,48,43,45
45,49,42,48
48,50,45,47
47,52,46,50
50,54,47,53
53,53,50,52
52,52,48,51
51,55,49,54
54,57,52,57
57,58,56,56
56,58,54,55
55,59,54,58
58,58,56,57
57,59,55,56
56,57,55,55
55,55,53,54
54,54,51,53
53,54,50,52
52,53,50,51
51,52,50,50
50,55,47,53
53,56,50,56
56,58,53,55
55,59,53,58
58,62,56,61
61,65,58,64
64,65,61,63
63,64,60,62
62,64,60,61
61,63,60,60
60,62,59,59
59,61,57,58
