Open,High,Low,Close
85,86,84,84
84,89,81,87
87,88,85,86
86,90,84,89
89,91,86,88
88,91,86,91
91,91,89,90
90,95,88,93
93,95,91,92
92,93,89,91
91,95,90,94
94,96,91,93
93,98,91,96
96,99,95,99
99,101,96,98
98,98,95,97
97,98,96,96
96,98,95,95
95,95,92,94
94,94,92,93
93,98,92,96
96,98,95,95
95,96,92,94
94,95,91,93
93,94,90,92
92,92,88,91
91,91,88,90
90,92,89,89
89,93,86,92
92,94,90,91
91,93,88,90
90,93,88,93
93,96,92,96
96,98,95,95
95,99,93,98
98,103,97,101
101,102,98,100
100,100,98,99
99,102,97,102
102,104,99,101
101,105,100,104
104,108,101,107
107,112,105,110
110,112,109,109
109,109,107,108
