Open,High,Low,Close
6,8,5,5
5,7,2,4
4,6,3,3
3,7,2,6
6,8,3,5
5,7,2,4
4,8,2,7
7,12,4,10
10,15,7,13
13,14,10,12
12,12,9,11
11,15,9,14
14,17,12,17
17,19,14,16
16,21,13,19
19,24,18,22
22,25,19,25
25,30,24,28
28,28,26,27
27,29,26,26
26,27,25,25
25,25,22,24
24,28,21,27
27,31,25,30
30,30,27,29
29,33,26,32
32,37,29,35
35,37,33,34
34,38,33,37
37,42,36,40
40,41,39,39
39,41,38,38
38,38,36,37
37,41,36,40
40,41,37,39
39,41,38,38
38,39,35,37
37,38,35,36
36,39,35,39
39,44,38,42
42,46,41,45
45,47,42,44
44,47,42,47
47,49,45,46
46,47,43,45
