Open,High,Low,Close
99,100,96,98
98,99,97,97
97,99,94,96
96,96,92,95
95,98,94,98
98,98,94,97
97,98,94,96
96,98,93,95
95,100,92,98
98,100,97,97
97,99,95,96
96,98,95,95
95,99,92,98
98,100,97,97
97,102,95,100
100,101,98,99
99,100,96,98
98,99,97,97
97,98,94,96
96,96,93,95
95,100,92,98
98,99,96,97
97,102,95,100
100,102,99,99
99,101,96,98
98,103,95,101
101,105,98,104
104,106,103,103
103,108,100,106
106,108,105,105
105,106,102,104
104,108,102,107
107,112,104,110
110,113,109,113
113,116,112,116
116,116,112,115
115,118,112,118
118,123,117,121
121,123,120,120
120,125,117,123
123,127,122,126
126,126,124,125
125,128,124,128
128,129,126,127
127,129,126,126
