Open,High,Low,Close
48,48,45,47
47,48,45,46
46,48,45,45
45,45,43,44
44,48,42,47
47,50,45,50
50,50,47,49
49,54,48,52
52,52,50,51
51,53,48,50
50,52,49,49
49,54,46,52
52,54,51,51
51,53,50,50
50,50,46,49
49,53,47,52
52,54,50,51
51,54,50,54
54,55,52,53
53,58,51,56
56,60,54,59
59,61,56,58
58,63,57,61
61,63,58,60
60,64,57,63
63,67,60,66
66,66,64,65
65,67,63,64
64,69,61,67
67,72,65,70
70,72,68,69
69,71,66,68
68,72,65,71
71,75,69,74
74,77,71,77
77,78,74,76
76,81,74,79
79,80,77,78
78,79,77,77
77,82,74,80
80,83,78,83
83,83,80,82
82,84,79,81
81,85,79,84
84,89,83,87
