Open,High,Low,Close
63,67,61,66
66,70,63,69
69,71,66,68
68,69,67,67
67,68,65,66
66,69,63,69
69,71,67,68
68,68,66,67
67,67,63,66
66,66,63,65
65,69,64,68
68,70,65,67
67,71,66,70
70,73,69,73
73,76,72,76
76,76,72,75
75,78,73,78
78,83,75,81
81,83,78,80
80,84,79,83
83,88,80,86
86,90,83,89
89,94,87,92
92,97,91,95
95,97,94,94
94,95,93,93
93,96,91,96
96,97,94,95
95,97,93,94
94,96,91,93
93,94,91,92
92,95,90,95
95,99,93,98
98,101,95,101
101,102,98,100
100,104,98,103
103,104,102,102
102,107,101,105
105,105,101,104
104,107,101,107
107,111,105,110
110,112,107,109
109,109,106,108
108,111,107,111
111,112,109,110
