Open,High,Low,Close
21,26,19,24
24,26,22,23
23,23,20,22
22,27,19,25
25,26,22,24
24,29,22,27
27,30,26,30
30,34,29,33
33,37,30,36
36,39,33,39
39,43,36,42
42,42,39,41
41,43,39,40
40,44,37,43
43,48,41,46
46,51,43,49
49,53,47,52
52,54,50,51
51,56,50,54
54,54,51,53
53,57,52,56
56,59,53,59
59,62,56,62
62,62,59,61
61,62,58,60
60,63,58,63
63,63,59,62
62,65,60,65
65,70,62,68
68,71,66,71
71,73,69,70
70,75,68,73
73,74,70,72
72,73,71,71
71,75,69,74
74,74,72,73
73,74,72,72
72,76,69,75
75,79,72,78
78,82,75,81
81,86,78,84
84,85,82,83
83,84,80,82
82,85,80,85
85,88,82,88
