Open,High,Low,Close
13,18,12,16
16,21,14,19
19,22,16,22
22,27,21,25
25,27,23,24
24,27,21,27
27,32,25,30
30,31,29,29
29,32,28,32
32,37,29,35
35,38,33,38
38,38,35,37
37,41,34,40
40,41,38,39
39,39,37,38
38,38,35,37
37,42,34,40
40,45,38,43
43,45,41,42
42,46,39,45
45,50,42,48
48,48,46,47
47,47,44,46
46,51,43,49
49,51,46,48
48,50,46,47
47,47,44,46
46,49,44,49
49,52,48,52
52,56,51,55
55,56,53,54
54,55,51,53
53,55,52,52
52,52,49,51
51,51,47,50
50,55,49,53
53,56,50,56
56,59,54,59
59,64,56,62
62,64,60,61
61,63,60,60
60,64,58,63
63,64,62,62
62,64,59,61
61,66,60,64
