Open,High,Low,Close
39,41,38,38
38,43,36,41
41,42,38,40
40,44,37,43
43,43,39,42
42,47,39,45
45,47,44,44
44,45,43,43
43,48,40,46
46,47,43,45
45,45,42,44
44,48,42,47
47,52,45,50
50,50,47,49
49,51,48,48
48,51,46,51
51,53,50,50
50,53,48,53
53,53,49,52
52,57,49,55
55,57,53,54
54,55,51,53
53,58,50,56
56,56,53,55
55,58,53,58
58,62,55,61
61,64,59,64
64,66,62,63
63,64,62,62
62,65,60,65
65,65,63,64
64,68,62,67
67,68,65,66
66,67,63,65
65,66,63,64
64,68,63,67
67,72,65,70
70,70,67,69
69,69,67,68
68,72,65,71
71,76,70,74
74,78,72,77
77,81,75,80
80,84,77,83
83,83,81,82
